"interface","type_signature","domain_or_input","codomain_or_output","authority_section","invariants_or_preconditions"
"resolution_map","rho_{D,tau} : prod_{i in C} Obs_i -> Y","prod_{i in C} Obs_i where Obs_i = (X_i x T) union {bottom}","Y = prod_{i in C} (X_i union {bottom})","appendix-c C.2.0.1 and C.2.0.7","D well-formed (t not in D and D strict subset of C); tau specified per component (age_i symbolic in the specification); evaluation order fixed — exclusion before validation before freshness."
"resolved_classifier","f : Y x V -> S","Y x V with V = {small; medium; big}","S = {SAFE; CAUTION; UNSAFE}","appendix-c C.2.0.1 and C.8.1","Total by Theorem C.1 on the ideal domain; extended to Y x V by Theorem C.1b (operational totality)."
"operational_classifier","F_{D,tau} = f o rho_{D,tau} : (prod_{i in C} Obs_i) x V -> S","(prod_{i in C} Obs_i) x V","S","appendix-c C.2.0.1 and C.8.1 and Theorem C.1b","Total for every configured v in V and every well-formed D. This is what a deployment executes."
"component_classifier_g_w","g_w : (R>=0) union {bottom} -> S","R>=0 union {bottom}","S","appendix-c C.2 g_w row","SAFE w<=21.6; CAUTION 21.6<w<=27.0; UNSAFE w>27.0; g_w(bottom) = UNSAFE. Boundaries at MET Category 1 and Category 2 onsets preserved at source value."
"component_classifier_g_r","g_r : (R>=0 x K) union {rate=bottom, K={0;1}} -> S","R>=0 x K","S","appendix-c C.2 g_r row and C.2.0.4a","Storm route: g_r(r; 1) = UNSAFE for every r. Rate route (kappa = 0): SAFE r<=10.0; CAUTION 10.0<r<=20.0; UNSAFE r>20.0. kappa never bottom; missing raw code gives kappa=0."
"component_classifier_g_m","g_m : {none; advisory; warning; alert} union {bottom} -> S","categorical ordinal union {bottom}","S","appendix-c C.2 g_m row","SAFE {none}; CAUTION {advisory}; UNSAFE {warning; alert}. g_m(bottom) = UNSAFE. In retrospective replay m is excluded (D = {m}) and pinned at SAFE — not bottom."
"component_classifier_g_o","g_o : ((R>=0 x R>=0) union {bottom}) x V -> S","((R>=0 x R>=0) union {bottom}) x V","S","appendix-c C.2 g_o row and C.1 Vessel Category Classification Note","Reads wave-height coordinate only; swell-period absence does not fault g_o. Vessel-conditional thresholds: small 1.0 / 1.25; medium 1.4 / 2.8; big 1.5 / 3.5."
"component_classifier_g_t","g_t : ([0;24) x Date) union {bottom} -> {SAFE; UNSAFE}","([0;24) x Date) union {bottom}","{SAFE; UNSAFE} — CAUTION not in image","appendix-c C.2 g_t row and Theorem C.1(i) g_t case","Half-open: SAFE iff sunrise(date) <= t < sunset(date); exact sunrise SAFE; exact sunset UNSAFE. g_t(bottom) = UNSAFE for absent/invalid clock; date or solar lookup. Consumes frozen solar artefact via scripts/canonical_gt.py; no script computes solar astronomy."
"aggregation_max_severity","max-severity : S^5 -> S","S^5","S","appendix-c C.2 Aggregation and Definition C.1","Severity order UNSAFE > CAUTION > SAFE (total strict order). Any UNSAFE component gives global UNSAFE; otherwise any CAUTION gives global CAUTION; otherwise SAFE. Five terms only; v enters through g_o and is not an argument."
"participation_gate","G : S -> {0; 1}","S","{0; 1}","appendix-c C.3","G(SAFE) = 1; G(CAUTION) = 1; G(UNSAFE) = 0. Total on S."
"admissible_recommendation_space","A_AI : S -> 2^R","S","subset of R = {Go; Delay; DepartureTime; Duration}","appendix-c C.4","A_AI(SAFE) = {Go; Delay; DepartureTime; Duration}; A_AI(CAUTION) = {Go; Delay}; A_AI(UNSAFE) = empty. Strict containment across the severity order."
"rule_set_supply","RS : S -> 2^Rules","S","rules whose action produces types in A_AI(S)","appendix-c C.7.1 and Theorem C.3 assumption A2","RS(SAFE) rules produce types in {Go; Delay; DepartureTime; Duration}; RS(CAUTION) rules produce types in {Go; Delay}; RS(UNSAFE) = empty (never supplied because G(UNSAFE) = 0). Supplied by Layer 2 before any reasoning begins."
"layer3_rule_engine","advisory generation within active RS(S)","E (or its resolved form y) and active RS(S)","AI subset of A_AI(S)","appendix-c C.7.1 and justification-layer3-enforcement.md sections 2; 3; 4","Production rule system. Fires only rules present in the active RS(S). No output filter is required: Safety Dominance holds by construction of RS(S)."
"governance_pair","(G(S); A_AI(S))","S","participation gate value and admissible set","appendix-c C.5","Two-level governance: Level 1 is G; Level 2 is A_AI. Level 2 is the axis on which the architectural contribution is directly observable."
