claim_id,claim_class,status_before_batch8,status_authoritative,primary_evidence_file,primary_metric_or_result,manuscript_current_state,required_action,allowed_claim_scope,prohibited_overclaim
P1,FORMAL,CLOSED,CLOSED,data/journal1-post-fidelity-plan/claim-status-matrix.csv; appendix-c Theorem C.1/C.1b,"f(E) total; F_D,tau total after resolution","Stated and proved (Sec 5.3.3, 6.2)",NONE,Totality of the classifier over ideal and operational inputs,Do not present totality as an empirical finding
P2,FORMAL,CLOSED,CLOSED,claim-status-matrix; appendix-c Theorem C.2,A_AI monotone; strict containment,Stated and proved (Sec 6.3),NONE,Advisory scope never expands as state worsens,Do not claim the configured sets are optimal
P3,FORMAL,CLOSED,CLOSED,claim-status-matrix; appendix-c Theorem C.3,AI(E) subset A_AI(f(E)) by construction,Stated and proved (Sec 6.4-6.5),NONE,Enforcement of the configured admissible scope,Do not claim real-world safety or recommendation optimality
P4,FORMAL,CLOSED,CLOSED,claim-status-matrix; evaluation-specification Sec 4,C1 = C3 by mapping-literal identity,ABSENT from manuscript,DEFER to Batch 8B,Structural proposition with Flehmig fairness qualification,Do not say the replay discovered the equivalence
F1,IMPLEMENTATION_FIDELITY,described as not yet demonstrated,CLOSED PASS,data/journal1-layer3-prototype/batch5-fidelity-evaluation/fidelity-results.json,292 episodes; 454 advisory records; 244 conclusion-type evaluations; 0 violations,Section 5.6.2 says fidelity not yet demonstrated,REPAIR status statements in Sec 5-8,Implementation-fidelity containment over the interface-contract state space,"Not real-world safety, decision quality, optimality or human behaviour; 244 is not a count of distinct conclusion types"
F2,IMPLEMENTATION_FIDELITY,described as future,CLOSED PASS,fidelity-results.json,292 episodes; 244 with advisory; 454 records; 0 violations,Section 7 calls F1/F2 a future test,REPAIR,Configured Safety-Dominance fidelity: zero observed violations,Not proof of real-world safety
F3,IMPLEMENTATION_FIDELITY,not represented,CLOSED PASS,fidelity-results.json,292 episodes; SAFE 32; CAUTION 260; UNSAFE gate-off 162; 0 mismatches,ABSENT,DEFER results prose to 8B; repair status statements in 8A,Rule-set selection correspondence RS_selected = RS(S_e),Do not fold the 162 UNSAFE gate-off cases into the 292 SAFE/CAUTION primary episodes
E1,EMPIRICAL_TRACE,not represented,CLOSED,scripts/condition_comparison.py,PRIMARY 42.88/48.69/5.81; RESOLUTION 41.08/45.56/4.48,ABSENT,DEFER to Batch 8B,Deterministic census of the predefined retrospective window,"No p-values, CIs, sampling or population inference"
E2,EMPIRICAL_TRACE,not represented,CLOSED,scripts/condition_comparison.py,Delta_L2 = 5.81% PRIMARY / 4.48% RESOLUTION,ABSENT,DEFER to Batch 8B,Isolated Level 2 contribution,"Not risk reduction, safety improvement, accuracy or a confidence interval"
E3,EMPIRICAL_TRACE,scope contradicted E4,"CLOSED (scope {E1,E2,E6})",publications/active/journal-1/evaluation-specification.md Sec 13,"Mandatory dual-config scope {E1,E2,E6}",ABSENT,DEFER to Batch 8B,Resolution sensitivity for like-for-like comparable quantities,Do not require or imply a RESOLUTION analogue for E4
E4,EMPIRICAL_TRACE,not represented,CLOSED (PRIMARY only),scripts/hysteresis_analysis.py; claim-status-matrix E4,3661 transitions; 3439 scheduled; 222 non-scheduled; 26 oscillations; 10.36% reduction,ABSENT,DEFER to Batch 8B,PRIMARY temporal-dynamics characterisation with provenance chain 5416->5220->5201->3661,Do not attribute 5416->3661 to g_t alone; do not imply a RESOLUTION E4 result exists
E5,PERFORMANCE,OPEN,OPEN,data/journal1-e5-benchmark/latency-results.json,target_hardware_evidence = false,ABSENT,KEEP OPEN,E5_HARNESS CLOSED; MacBook = DEVELOPMENT_MACHINE_REFERENCE,Do not close E5; no Android result; no latency threshold; no deployment suitability claim
E6,EMPIRICAL_TRACE,not represented,CLOSED,scripts/condition_comparison.py,"C1 <-> C3 = 0.00% in both configurations over 43,848 hours",ABSENT,DEFER to Batch 8B,Trace confirmation of an already-established structural equivalence,Do not present as an independent empirical discovery
