"algorithm","operation","fixed_time","generalized_time","space","primary_dependency","claim_status","authority"
"A1","startup validation (v, D)","O(1)","O(1)","O(1)","fixed set-membership checks","DERIVED","algorithm-specification.md §11 lines 1–8; §26"
"A1","exclusion pin","O(1)","O(|D|) ≤ O(n)","O(1)","size of D","DERIVED","algorithm-specification.md §11 lines 9–11; §26"
"A1","validation + freshness on {w, m, o}","O(1)","O(n − |D|) ≤ O(n)","O(1)","non-excluded component count","DERIVED","algorithm-specification.md §11 lines 12–14; §26"
"A1","rainfall two-input (rate + kappa derivation)","O(1)","O(1)","O(1)","chi is set membership in {95, 96, 99}","DERIVED","algorithm-specification.md §11 lines 15–24; C.2.0.4a; §26"
"A1","solar / clock / date resolution","T_solar_lookup","T_solar_lookup","O(1)","frozen artefact representation — dict / sorted array / linear scan; not fixed by specification","PARAMETERISED","algorithm-specification.md §11 lines 25–31; §26; OPEN-B4-1"
"A1","five component classifiers","O(1)","O(n)","O(1)","threshold comparisons","DERIVED","algorithm-specification.md §11 lines 32–36; §26"
"A1","max-severity aggregation","O(1)","O(n)","O(1)","fixed-size severity order","DERIVED","algorithm-specification.md §11 line 37; C.2 Aggregation; §26"
"A1","TOTAL per decision","O(1) + T_solar_lookup","O(n) + T_solar_lookup","O(1) fixed; O(n) generalized","frozen solar artefact representation (OPEN-B4-1)","PARAMETERISED","algorithm-specification.md §26"
"A2","switch dispatch on S","O(1)","O(1) hash / O(|S|) linear scan","O(1)","3 constant cases (SAFE, CAUTION, UNSAFE)","DERIVED","algorithm-specification.md §13; §27"
"A2","static mapping storage (S → 2^R)","(configuration property, not per-decision)","O(|S| · |R|)","O(|S| · |R|) once","representation of admissible sets","DERIVED","algorithm-specification.md §14; §27"
"A2","TOTAL per decision","O(1)","O(1)","O(1)","independent of any dynamic input","DERIVED","algorithm-specification.md §27"
"A3","gate-off short-circuit","O(1)","O(1)","O(1)","G(S) check","DERIVED","algorithm-specification.md §17 lines 1–3; §28"
"A3","candidate selection T_select(S)","T_select(S) — parameterised; O(k) under a repository scan; O(1) under a state-indexed selector","T_select(S)","O(1) reference or O(k_S) materialised","rule-repository representation","PARAMETERISED","algorithm-specification.md §17 line 5; §28"
"A3","compliance check ConclusionTypes ⊆ A_AI(S)","O(k_S) — the currently specified pseudocode always runs the compliance scan on lines 5–9; k_S is variable, not fixed by n=5 or |S|=3 or |R|=4","O(k_S)","O(1)","size of active candidate set","DERIVED","algorithm-specification.md §17 lines 5–9; §18 Q1; §28"
"A3","TOTAL per decision","T_select(S) + O(k_S) — the current specified pseudocode; O(1) + O(k_S) under an O(1) selector; not simply O(1) because k_S is variable","T_select(S) + O(k_S)","O(1) reference / O(k_S) materialised","representation choice (OPEN-B3-1 for invalid handling; OPEN-B1-8 for consistency mechanism); prevalidated-at-configuration variant that removes lines 5–9 is a future optimisation, not the current algorithm","DERIVED (currently specified pseudocode); PARAMETERISED across selection representations","algorithm-specification.md §28"
"A4","governance wrapper (G(S) branch)","O(1)","O(1)","O(1)","binary branch on G(S)","DERIVED","algorithm-specification.md §19 lines 1–3; §29"
"A4","rule-engine reasoning T_engine(k_S, q, c)","T_engine(k_S, q, c)","T_engine(k_S, q, c)","M_engine","rule-engine evaluation strategy — unspecified","PARAMETERISED","algorithm-specification.md §19 line 5; §29; OPEN-B3-2"
"A4","illustrative naïve linear scan of RS(S)","O(k_S · c) — example only","O(k_S · c) — example only","M_engine","forward-chaining linear scan","ILLUSTRATIVE ONLY","algorithm-specification.md §29"
"A4","TOTAL per decision","O(1) + T_engine(k_S, q, c)","O(1) + T_engine(k_S, q, c)","O(1) + M_engine","rule-engine evaluation strategy (OPEN-B3-2)","PARAMETERISED","algorithm-specification.md §29"
"PIPELINE","end-to-end per decision episode","O(n) + T_solar_lookup + T_select(S) + O(k_S) + T_engine(k_S, q, c) — engine, selection, and k_S terms retained; not O(1) at any n, |S|, |R|","O(n) + T_solar_lookup + T_select(S) + O(k_S) + T_engine(k_S, q, c)","(sum of per-algorithm auxiliary space)","engine cost retained explicitly","PARAMETERISED","algorithm-specification.md §30"
"REPLAY","N-record retrospective replay (full pipeline)","O(N · T_episode)","O(N · T_episode)","(per-decision working memory reusable; no dataset held per decision)","N = number of replay records; separate from per-decision complexity","DERIVED","algorithm-specification.md §30"
"REPLAY","N-record replay without engine (classification + governance only)","O(N · (n + T_solar_lookup))","O(N · (n + T_solar_lookup))","(per-decision working memory reusable)","applies when Layer 3 is not yet built","DERIVED","algorithm-specification.md §30"
"A3","future optimisation — prevalidated state-indexed rule set (compliance moved to configuration time)","IMPLEMENTATION VARIANT — not the current algorithm; would remove lines 5–9 from runtime execution","T_select(S) under an O(1) selector if the current lines 5–9 are removed by this variant; still not simply O(1) unless T_select(S) is also proved constant","O(1) reference","requires a separate implementation realisation; not the specified Algorithm 3 pseudocode","IMPLEMENTATION VARIANT / FUTURE OPTIMISATION","algorithm-specification.md §28 (implementation variant paragraph)"
