queue_id,file,section,original_line,value,category,metric_definition,canonical_source,original_status,action,current_text,evidence_note
1,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,3,2026,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,IPSci 2026 — v3 REVISION (working draft),Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
2,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,4,2026,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,Forked 2026-09-06 from v2-post-review/manuscript-v2.5-submitted.md,Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
3,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,4,09,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,Forked 2026-09-06 from v2-post-review/manuscript-v2.5-submitted.md,Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
4,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,4,06,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,Forked 2026-09-06 from v2-post-review/manuscript-v2.5-submitted.md,Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
5,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,4,5,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,Forked 2026-09-06 from v2-post-review/manuscript-v2.5-submitted.md,Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
6,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,7,5,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,  v2.5 .docx    — the artifact actually submitted for review; contains embedded,Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
7,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,9,5,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,  v2.5 .md      — working transcript of the above. Already carried post-submission,Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
8,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,11,37,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,"                  [37]→[33]) per revision-notes.md, plus the supervisor-feedback",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
9,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,11,33,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,"                  [37]→[33]) per revision-notes.md, plus the supervisor-feedback",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
10,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,12,2026,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,"                  additions of 2026-08-20 (Formal Properties, Algorithm",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
11,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,12,08,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,"                  additions of 2026-08-20 (Formal Properties, Algorithm",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
12,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,12,20,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,"                  additions of 2026-08-20 (Formal Properties, Algorithm",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
13,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,17,5,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,  v3 .md        — THIS FILE. All further revision happens here. v2.5 .md is now,Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
14,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,20,5,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,REVIEW OUTCOME (v2.5): REJECTED,Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
15,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,21,1,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,  Review 1 — accept w/ minor revision; check comparative table; add experimental,Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
16,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,23,2,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,  Review 2 — DISREGARD. Reviews a different paper entirely (Twitter bot,Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
17,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,24,22,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,"             detection, TwiBot-22, F1 0.552, SHAP, BotRGCN; names the AMICT",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
