metric,original_status,new_classification,answers_rq,supports_hypothesis,duplicates_theorem,requires_layer3,requires_users,requires_incident_data,disposition,rationale
advisory scope compliance rate,Original H1 primary metric,FIDELITY,none,F1,YES (Theorem 6.3),YES,NO,NO,RECLASSIFIED as fidelity check — do not report as a comparative behavioural result,"Under Theorem 6.3 (Safety Dominance) compliance is 100% for C2 by proof and 100% for C0/C1 against their own (trivial or absent) admissible-set definitions. Reporting it as a comparative metric describes the specification not the system."
false positive rate,Original H2 primary metric,FIDELITY,none,F2,YES (Theorem 6.3),YES,NO,NO,RECLASSIFIED as fidelity check — expected count = 0 under conforming implementation,"Same reason as compliance rate. Expected value is analytically zero under a conforming Layer 3 implementation."
decision-support utility,Original metric,HUMAN-OUTCOME,none (as currently defined),none,NO,YES (for meaningful measurement),YES,NO,OPEN — CONSTRUCT DEFINITION REQUIRED,"Cannot be measured from replay alone. Possible operational definitions (ground-truth recommendation correctness fisher preference decision quality actionability task completion real-world outcome) each require a different data source and study design. Do not invent a utility formula. Deferred to future user study (RQ5 scope)."
governance overhead / latency,Original H3 primary metric,PERFORMANCE,RQ-J2,E5 (renamed from H3),NO,YES (prototype required),NO,NO,RETAIN as descriptive performance metric; acceptance threshold OPEN,"Genuinely empirical. Report mean/max/tail latency on target hardware. Do not invent an acceptance threshold — none is externally justified."
pairwise admissible-set divergence,Canonical metric — not in original Journal 1 metric list,DESCRIPTIVE (empirical-trace),RQ-J3,E1,NO,NO (measurable on classifier alone),NO,NO,ADOPT from canonical,"Answers RQ-J3 directly on the retrospective census. Canonical values C0↔C1 = 42.88% and C0↔C2 = 48.69% (departure window PRIMARY). Confirmed exact descriptive values for the analysed trace."
isolated Level 2 contribution (Δ_L2),Canonical metric — not in original Journal 1 metric list,DESCRIPTIVE (empirical-trace),RQ-J4,E2 (replaces H4),NO,NO (measurable on classifier alone),NO,NO,ADOPT from canonical,"Directly quantifies the paper's central claim: Δ_L2 = div(C0,C2) − div(C0,C1) = 5.81% PRIMARY / 4.48% RESOLUTION. This is the load-bearing empirical result for the Level 2 contribution."
resolution sensitivity (PRIMARY vs RESOLUTION spread),Implicit in canonical reporting; not in original list,DESCRIPTIVE (sensitivity),RQ-J3 / RQ-J4 supporting,E3,NO,NO,NO,NO,ADOPT as reporting requirement,"Report every empirical figure in both PRIMARY (5.00 yr ERA5-Ocean 50 km) and RESOLUTION (3.25 yr MFWAM 8 km) configurations. The spread is a resolution-sensitivity result — NOT a confidence interval and never written as 5.81 ± something."
transition and hysteresis characterisation,Implicit in ablation plan; measured F-6,DESCRIPTIVE,RQ-J4 supporting,E4,NO,NO,NO,NO,RETAIN as measured — do not re-run,"Canonical figures: 3,661 transitions in 5 yr; 26 genuine oscillations (5.2/yr); hysteresis reduces non-scheduled transitions by 10.36% at hourly resolution. Frame hysteresis as a retained low-cost precaution not as remediation for observed instability."
C1↔C3 admissible-set divergence,Canonical metric — confirmation of J1-P1,DESCRIPTIVE (implementation-consistency confirmation),Novelty argument (proposition J1-P1),J1-P1 confirmation,NO,NO,NO,NO,REPORT as harness-consistency confirmation,"The 0.00% replay value is confirmation of implementation consistency (analytical → executable → trace) — NOT discovery of an uncertain physical phenomenon. State this explicitly wherever the number appears."
implementation-fidelity checks F1-F3,New — not in original list,FIDELITY,none,F1 F2 F3,verifies conformance to P3 (does not re-prove),YES,NO,NO,DEFERRED — required once Layer 3 is built,"Tests whether the code matches the specification. Does not empirically rediscover Safety Dominance."
