claim_id,manuscript_section,claim_text_summary,claim_type,authority,evidence_status,allowed_scope,prohibited_interpretation,verification
C8B1-01,9 preamble,"The prototype is a research prototype, not a deployed system; no fisher has used it and no field trial underlies any statement",LIMITATION,Batch 5 evaluation-design.json (retrospective_replay_run=false; constructed episodes); no field-study artefact exists in repository,CLOSED,Statement of what was and was not built and exercised,"Do not imply operational deployment, pilot use, or that fishers used the prototype",PASS
C8B1-02,9.1,Prototype implements Layer 2 governance and the Layer 3 engine; Layer 1 supplied by the data pipeline; Layer 4 not implemented,DESIGN_INTERPRETATION,layer3-prototype-specification.md S3 module map,CLOSED,Module boundary description,"Do not describe Layer 4 human decision as implemented, modelled or constrained",PASS
C8B1-03,9.1,Offline-first operation: classification requires no network service; solar boundaries read from a frozen artefact,DESIGN_INTERPRETATION,CLAUDE.md canonical g_t section (frozen artefact data/solar/solar-events-daily.csv); scripts/canonical_gt.py,CLOSED,Structural property of the design,"Do not convert into a claim about device latency, memory, energy or deployment suitability",PASS
C8B1-04,9.2,Layer 3 consumes ComponentStateTrace read-only and does not recompute Layer 2 classification,DESIGN_INTERPRETATION,layer3-prototype-specification.md S7.1,CLOSED,Interface contract as specified,"Do not imply Layer 3 re-derives S or can alter G(S), A_AI(S) or RS(S)",PASS
C8B1-05,9.2,UNSAFE is unreachable at the Layer 3 interface; EXCLUDED is not observed SAFE; D={m} means m was unmeasured,DESIGN_INTERPRETATION,layer3-prototype-specification.md S7.1; appendix-c C.2.0.5,CLOSED,"Interface semantics, exactly as specified",Do not collapse EXCLUDED into SAFE; do not read component_m_state=EXCLUDED as absence of marine hazard,PASS
C8B1-06,9.3 Table 4,Four CAUTION rules are implemented; R-SAFE-001 is DEFERRED; RS(SAFE) is empty; the only generated conclusion type is Delay,IMPLEMENTATION_FIDELITY,"layer3-prototype-specification.md S7.1 (R-SAFE-001 DEFERRED), S24 register; rule-activation-summary.csv",CLOSED,Bounded description of implemented rule content and its evidential levels,"Do not imply A_AI(SAFE)={Go,Delay,DepartureTime,Duration} was exercised; do not claim Go/DepartureTime/Duration are generated",PASS
C8B1-07,9.3,Permission by A_AI(S) does not imply evidential warrant for a rule; no level B evidence exists for the study site,DESIGN_INTERPRETATION,"layer3-prototype-specification.md S16, S18",CLOSED,Distinction between governance permission and scientific warrant,Do not present the evidence hierarchy as validation of the implemented rules,PASS
C8B1-08,9.4,"Three-valued predicate semantics with episode-level refusal; predicate ERROR yields AI(E)=empty with S, G, A_AI unchanged",DESIGN_INTERPRETATION,layer3-prototype-specification.md S12 (OPEN-L3-2 CLOSED),CLOSED,Failure-semantics contract as specified,"Do not conflate predicate ERROR with UNSAFE, configuration failure or Layer 2 input fault",PASS
C8B1-09,9.5,"F1, F2 and F3 each PASS with zero violations and zero mismatches over 292 primary episodes and 454 advisory records",IMPLEMENTATION_FIDELITY,batch5-fidelity-evaluation/fidelity-results.json; reporting-repair.json,CLOSED,Implementation conforms to the specification over the interface-contract state space,"Not real-world safety, decision quality, optimality or human behaviour; not proof of Safety Dominance",PASS
C8B1-10,9.5,Evaluation scope is interface-contract exhaustive and is not the retrospective replay,IMPLEMENTATION_FIDELITY,batch5-fidelity-evaluation/evaluation-design.json (primary_evaluation_scope; retrospective_replay_run=false),CLOSED,Deterministic census over the Layer 3 interface state space,"Not historically, environmentally, deployment or real-world exhaustive",PASS
C8B1-11,9.5,"The 244 figure is conclusion-type evaluations per episode, not 244 distinct advisory conclusion types",IMPLEMENTATION_FIDELITY,reporting-repair.json corrections_made (F1_conclusion_types_evaluated),CLOSED,Count of episodes in which a non-empty conclusion-type set was evaluated,Do not write '244 advisory types',PASS
C8B1-12,9.5,162 UNSAFE gate-off cases are reported separately and are not part of the 292 primary episodes,IMPLEMENTATION_FIDELITY,state-space-manifest.json GATED_UNSAFE_cases; Batch 8A claim-evidence-matrix F3 row,CLOSED,Separate gate-off path count,Do not sum 162 with 292 or fold gate-off cases into the primary episode count,PASS
C8B1-13,9.5,All 32 SAFE episodes generated zero advisories because RS(SAFE) is empty,LIMITATION,"fidelity-results.json (32 SAFE; 244 episodes with advisory, all CAUTION); rule-activation-summary.csv R-SAFE-001 DEFERRED",CLOSED,Derived directly: 260 CAUTION - 16 empty = 244 = all episodes with advisory,Do not present SAFE-state fidelity as demonstrated against a populated SAFE rule set,PASS
C8B1-14,9.5,Rule activation counts characterise predicate satisfaction over the enumerated state space,IMPLEMENTATION_FIDELITY,rule-activation-summary.csv,CLOSED,Activation and firing counts for the enumerated cases,"Do not infer behavioural effectiveness, field frequency, or advisory usefulness from activation counts",PASS
