id,attack,reviewer_severity,evidence_status,response_available,disposition
A01,"The vessel-conditional wave thresholds carry 98.71% of all CAUTION decisions, yet the two sources that ground them (Yaakob et al.; Jeong and Im) are named in prose with no citation and appear nowhere in the reference list. The paper's headline number rests on unciteable evidence.",CRITICAL,Sources exist in the project corpus with complete bibliographic records; claims verified against extraction notes,YES,FIXED - added as [39] and [40] and cited at all four use sites
A02,"The paper claims no architectural tactic has demonstrated formal positive safety impact. Indykov's score of 0 codes INSUFFICIENT EVIDENCE, and only two of sixteen tactics are discussed. Absence of evidence is presented as evidence of absence, generalised across a corpus.",CRITICAL,Source notes state the 0 code means insufficient evidence; AT4 is ambivalent; other tactics not assessed for Safety,YES,FIXED - narrowed in abstract and body to the two tactics and the weaker reading
A03,"The Conclusion asserts that no AI component, regardless of technique, can reliably self-restrict. The paper's own Mechanistic Basis section explicitly disclaims that generalisation, and the proposed system's AI component is a symbolic engine to which the LLM evidence does not apply.",CRITICAL,Internal contradiction between two sections of the same manuscript,YES,FIXED - Conclusion rescoped to match the body
A04,"A_AI(CAUTION) = {Go, Delay} is stipulated. The Design Principle promises a mapping from recommendation types to evidential requirements; that mapping is never performed. Why is Delay admissible when DepartureTime is not, given that Delay is itself a temporal judgement?",CRITICAL,No derivation exists in the manuscript or in Appendix C; the sets are defined by fiat,NO,"RECORDED AS LIMITATION - added as the first of four limitations, including the Delay/DepartureTime objection stated in the reviewer's own terms"
A05,"The AI is never run. The reasoning engine is unimplemented, the comparison is at the admissible-set level, and no AI(E) is ever observed. This is an evaluation of a classifier, presented as an evaluation of AI governance.",MAJOR,"True and already disclosed in Result 6 and Threats to Validity, but absent from the abstract",PARTIAL,FIXED (disclosure) - abstract now states the engine is unimplemented and the comparison is admissible-set level; the underlying limitation stands
A06,"Fig. 3 and the Domain Instantiation call E an environmental observation vector containing v, while the Formal Structure states that v is a startup configuration and not an observation. The paper contradicts its own type signature.",MAJOR,Verified inconsistency across three locations,YES,FIXED - both locations aligned to C plus configured v
A07,"g_t transitions directly SAFE to UNSAFE 1,536 times against 2 previously. A paper arguing that graduated governance beats a binary step contains a component whose most predictable daily transition is a binary step.",MAJOR,Reproduced from canonical artefacts; already disclosed with the tension left intact,YES,"NO EDIT - the existing Threats paragraph states the tension, its three bounding qualifications, and that the rule is a policy choice no source establishes. Nothing further is defensible"
A08,"Algorithm 1 admits a storm indication as an UNSAFE trigger for g_r, but r is declared over the reals in mm/hr. The totality proof partitions only that numeric domain, and the phrase where available describes an unavailable required input that is silently skipped rather than mapped to bottom.",MAJOR,Appendix C records the route as formally specified but inert; zero thunderstorm codes in five years,PARTIAL,"DISCLOSED - the inert route and its lower-bound consequence added to Result 4. The typing irregularity in the proof sketch is recorded as an open formal item, not papered over"
A09,"The 50 km model's five-year maximum is compared against the 8 km model's 3.25-year maximum. The shorter record may simply have missed the peak, which would manufacture the resolution effect.",MAJOR,"Checked directly: the ERA5 peak of 2.60 m occurs 2022-12-26, inside the MFWAM window; both maxima lie in the 28,501-hour overlap",YES,"FIXED - period-matching stated explicitly, converting the objection into a verified strength"
A10,"Two references are listed but never cited, which suggests the reference list was not checked against the body.",MAJOR,Confirmed by parse: [18] and [20] orphaned,YES,FIXED - both cited at accurate and substantively appropriate points
A11,"g_m is never measured, so the marine-warning component of a five-term classifier is inert throughout the entire evaluation. Four of five terms are effectively doing nothing.",MAJOR,"True; g_m excluded, g_w activates twice and binds never",YES,"NO EDIT - already stated three times, with the lower-bound consequence in bold and the retention argument given on transferability grounds"
A12,Level 2 binds in 5.81% of hours. Is a governance mechanism that engages one hour in seventeen worth an architecture?,MAJOR,The figure is what it is; the paper does not editorialise it,YES,NO EDIT - Result 1 states the rate plainly and Result 6 shows every comparator leaves those hours unrestricted. Arguing for significance would exceed the evidence
A13,C3 is the authors' own port of Flehmig's topology onto their conditioning variable. A baseline built by the authors to lose is not a baseline.,MAJOR,"The 0.00% result is a property of the classification-to-set mapping, invariant to data and configuration",YES,"NO EDIT - the qualification paragraph already concedes this is a structural comparison, not a reproduction, and states the result is not a deficiency in the source framework"
A14,Fifteen of twenty-four predictions confirmed is a 62.5% hit rate. Registering predictions and then missing more than a third of them is not obviously a strength.,MODERATE,"Register verified: 15 CONFIRMED / 9 REFUTED, with attribution preserved per entry",YES,"NO EDIT - the paper reports the refutations and their attribution rather than the ratio, which is the correct handling; inflating the framing would be the error"
A15,"Complexity is characterised for a rule engine that does not exist. O(n) over n rules is a definition, not a measurement.",MODERATE,"Correct; no engine, no latency data",YES,NO EDIT - the third property in that section already distinguishes acquisition and engine execution from the fixed-size computations and states that no measured latency is reported
A16,Fig. 1 and Fig. 2 are placeholders pointing at images in a different file. A reviewer cannot see the figure that establishes the three governance dimensions.,MODERATE,Confirmed in the working file,YES,NOT FIXED - image embedding is a submission-packaging step outside this audit's edit scope; recorded for the submission checklist
A17,"Fig. 4 sets the marine warning to advisory to reach CAUTION, using a component the evaluation declares unmeasured.",MODERATE,The figure is labelled Illustrative Values and the ocean component independently yields CAUTION at 1.1 m,YES,"NO EDIT - the figure's own footnote already attributes mid-morning CAUTION to the advisory AND the sea state, and the sea state alone suffices"
A18,"Result 2 says the remainder of UNSAFE hours has no weather component, then says this is not a mutually exclusive partition. Which is it?",MINOR,"Both are true: the split by presence of a weather component is exhaustive, while provenance reasons overlap",YES,NO EDIT - the sentence distinguishes a binary split from a reason partition; rewording risks introducing an error for a cosmetic gain
A19,"The three systematic reviews are summed to 532 primary references, but the constituents count different things: papers reviewed, agent studies and cited references.",MINOR,206 + 294 + 32 = 532; units are heterogeneous,YES,NO EDIT - flagged for the authors; the figure is arithmetically correct and the constituents are itemised in the Methodology
A20,"The classifier is called deterministic and external to the AI, but a rule-based expert system is itself the AI being governed. The architecture governs symbolic AI with symbolic logic.",MINOR,The paper cites a neurosymbolic source for the engine and states the governance layer is outside the AI component,YES,"NO EDIT - a fair conceptual point, but the separation the paper needs is between the governed component and the governing layer, which holds regardless of technique"
