date,latitude,longitude,timezone,utc_offset_seconds,sunrise_hours,sunrise_local,sunset_hours,sunset_local,zenith_deg,in_primary,in_resolution,impl_version,impl_sha256,spec_version
2020-01-01,5.98,116.01,UTC+8,28800,6.424059,06:25:27,18.204747,18:12:17,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-01-02,5.98,116.01,UTC+8,28800,6.430888,06:25:51,18.212813,18:12:46,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-01-03,5.98,116.01,UTC+8,28800,6.437588,06:26:15,18.220867,18:13:15,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-01-04,5.98,116.01,UTC+8,28800,6.444152,06:26:39,18.228901,18:13:44,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-01-05,5.98,116.01,UTC+8,28800,6.450573,06:27:02,18.236908,18:14:13,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-01-06,5.98,116.01,UTC+8,28800,6.456846,06:27:25,18.244881,18:14:42,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-01-07,5.98,116.01,UTC+8,28800,6.462965,06:27:47,18.252813,18:15:10,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-01-08,5.98,116.01,UTC+8,28800,6.468923,06:28:08,18.260696,18:15:39,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-01-09,5.98,116.01,UTC+8,28800,6.474716,06:28:29,18.268524,18:16:07,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-01-10,5.98,116.01,UTC+8,28800,6.480337,06:28:49,18.276289,18:16:35,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-01-11,5.98,116.01,UTC+8,28800,6.485781,06:29:09,18.283985,18:17:02,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-01-12,5.98,116.01,UTC+8,28800,6.491044,06:29:28,18.291606,18:17:30,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-01-13,5.98,116.01,UTC+8,28800,6.496120,06:29:46,18.299144,18:17:57,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-01-14,5.98,116.01,UTC+8,28800,6.501004,06:30:04,18.306593,18:18:24,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-01-15,5.98,116.01,UTC+8,28800,6.505693,06:30:20,18.313946,18:18:50,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-01-16,5.98,116.01,UTC+8,28800,6.510181,06:30:37,18.321199,18:19:16,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
