"id","question_or_claim","evidence_type","conditions","metric","current_status","expected_source","analytical_or_empirical","requires_layer3","requires_humans","reporting_boundary"
"P1","Totality of f: for all valid E, f(E) returns exactly one element of {SAFE, CAUTION, UNSAFE}","FORMAL","n/a","proof","CLOSED","Theorem 6.1 (manuscript §6.2 / appendix-c C.1 / C.1b operational extension)","analytical","NO","NO","Proof — no dataset, no ± spread, no significance test"
"P2","Monotonicity of A_AI: S1 ≻ S2 ⇒ A_AI(S1) ⊆ A_AI(S2); strict containment A_AI(SAFE) ⊃ A_AI(CAUTION) ⊃ A_AI(UNSAFE) = ∅","FORMAL","n/a","proof","CLOSED","Theorem 6.2 (manuscript §6.3 / appendix-c C.2)","analytical","NO","NO","Proof — case analysis over the three ordered pairs"
"P3","Safety Dominance: for all E, AI(E) ⊆ A_AI(f(E)); if f(E)=UNSAFE then AI(E)=∅","FORMAL","n/a","proof","CLOSED","Theorem 6.3 (manuscript §6.4 / appendix-c C.3 / C.7.2)","analytical","NO (proof holds under assumptions A1–A4)","NO","Proof by construction under engine assumptions — not a behavioural claim; ceases to hold if any of A1–A4 fails"
"J1-P1 (P4)","C1 ≡ C3 admissible-set equivalence: A_C1(S) = A_C3(S) for all S ∈ {SAFE, CAUTION, UNSAFE}","FORMAL (proposition)","C1, C3 (structural comparator — not an experimental arm)","finite-mapping comparison; retrospective confirmation 0.00%","CLOSED","scripts/condition_comparison.py lines 90–105 (mapping tables); evaluation-baseline-decision.md §3; evaluation-specification.md §4, §6","analytical (proof) + empirical (harness confirmation)","NO","NO","One-line proof from mapping literals; 0.00% is confirmation of implementation consistency across analytical → executable → trace, not discovery of an uncertain phenomenon; travels with Flehmig fairness qualification (governance topology only, not their AI-degradation framework)"
"F1","Layer 3 rule engine produces no recommendation type outside A_AI(S) across exhaustive test suite / replay","IMPLEMENTATION-FIDELITY","C2 (evaluated); C0 and C1 vacuously","count of {(E, r) : r ∈ AI(E) ∧ r ∉ A_AI(f(E))}","OPEN — requires Layer 3 build","evaluation-specification.md §7","implementation-fidelity","YES","NO","Test of specification conformance — does not empirically rediscover Theorem 6.3"
"F2","Observed violation count on the exhaustive test suite / replay is exactly zero","IMPLEMENTATION-FIDELITY","C2 (evaluated)","violation count","OPEN — requires Layer 3 build","evaluation-specification.md §7","implementation-fidelity","YES","NO","Follows from P3 under a conforming implementation; expected value analytically zero"
"F3","RS(S) rule-set switching follows state transitions correctly; no stale rule-set persists across transitions","IMPLEMENTATION-FIDELITY","C2 (evaluated)","transition-boundary rule-set integrity check","OPEN — requires Layer 3 build","evaluation-specification.md §7","implementation-fidelity","YES","NO","Implementation test; not a re-proof of monotonicity"
"E1","Pairwise admissible-set divergence between C0, C1, C2 on the retrospective replay","EMPIRICAL-TRACE","C0, C1, C2","% of hours where two conditions permit different admissible sets","CLOSED — canonical values known","scripts/condition_comparison.py; canonical departure-window PRIMARY C0↔C1 = 42.88% · C0↔C2 = 48.69% · C1↔C2 covered by Δ_L2","empirical (deterministic census)","NO","NO","Exact descriptive values for the analysed trace / configuration — not estimates of future Sabah conditions; no p-values, no CIs"
"E2","Isolated Level 2 contribution: Δ_L2 = divergence(C0,C2) − divergence(C0,C1)","EMPIRICAL-TRACE","C0, C1, C2 (Δ_L2 ablation)","Δ_L2 (percentage points)","CLOSED — canonical values known","canonical departure-window: PRIMARY 48.69 − 42.88 = 5.81%; RESOLUTION 4.48%","empirical (deterministic census)","NO","NO","Load-bearing empirical result for the Level 2 contribution; the value is dataset-dependent (a different retrospective window would produce a different Δ_L2)"
"E3","Resolution sensitivity: report every empirical figure under PRIMARY and RESOLUTION","EMPIRICAL-TRACE (sensitivity)","C0, C1, C2","spread between PRIMARY and RESOLUTION values","CLOSED — canonical practice","scripts/canonical_figures.py; §0a of empirical-findings-2026-09-06.md","empirical (sensitivity)","NO","NO","Spread is a resolution-sensitivity result NOT a confidence interval; never written as 5.81 ± something"
"E4","Transition and hysteresis characterisation on retrospective replay","EMPIRICAL-TRACE","C2 (proposed)","transition count; genuine oscillation count; hysteresis reduction of non-scheduled transitions","CLOSED — measured (F-6)","scripts/hysteresis_analysis.py; empirical-findings-2026-09-06.md F-6: 3,661 transitions in 5 yr, 26 genuine oscillations (5.2/yr), 10.36% reduction","empirical (deterministic census)","NO","NO","Hourly-resolution bound — do not extrapolate below the hourly sample; hysteresis framed as a retained low-cost precaution, not as remediation for observed instability"
"E5 / RQ-J2","Governance latency and computational overhead of Layer 2 on target deployment hardware","PERFORMANCE","C2 (proposed) — the arm carrying the governance overhead","latency (mean, max, tail percentiles); memory/CPU cost","OPEN — requires prototype benchmarking","evaluation-specification.md §11","empirical (measurement)","YES (prototype required for realistic timing)","NO","Acceptance threshold X ms = OPEN; report as descriptive measurement; latency alone admits inferential treatment because timing carries genuine variance"
"E6","Confirmation of J1-P1 against the retrospective replay: C1 ↔ C3 divergence","EMPIRICAL-TRACE (implementation-consistency)","C1, C3","divergence %","CLOSED — 0.00% across both configurations","scripts/condition_comparison.py (both PRIMARY and RESOLUTION)","empirical (deterministic census; confirmation of analytical result)","NO","NO","0.00% is confirmation of implementation consistency (analytical mapping → executable dict → trace), NOT discovery of an uncertain physical phenomenon"
"H-DEFERRED-utility","Decision-support utility — construct definition required","HUMAN-EVALUATION","C0/C1/C2 (proposed comparators)","undefined — no operational definition","OPEN — CONSTRUCT DEFINITION REQUIRED","future user study (thesis RQ5 scope)","neither — construct is undefined","NO (utility construct is not resolved by Layer 3)","YES (user study)","Human study; not resolvable on retrospective replay alone; excluded from Journal 1 evidence base"
"H-DEFERRED-trust","Trust, calibrated reliance, real-world safety outcomes","HUMAN-EVALUATION","C0/C1/C2 (proposed comparators)","undefined — requires field study","OPEN — DEFERRED to future user study","future user study (thesis RQ5) and incident data (unavailable)","neither","NO","YES","Explicitly outside Journal 1's evidence base"
