claim_id,section,before,after,reason,evidence,semantic_change
M-25,5.2 Definition 5.1 table,"r | R>=0 | [0, inf) | Rainfall intensity (mm/hr)","r | R>=0 x K, K={0,1} | ... | rate paired with derived indicator kappa (Def 5.2a)",Contradicted Definition 5.2a in the same section,appendix-c C.2.0.1 / C.2.0.4a,TERMINOLOGY
M-07,5.6.2,Layer 3 is specified as a production rule engine; runtime fidelity is not yet demonstrated.,"...and its runtime fidelity has been evaluated against this specification (F1-F3, Section 9).",F1-F3 CLOSED PASS at Batch 5,batch5-fidelity-evaluation/fidelity-results.json,STATUS_SYNC
M-08,5.6.2,RS(SAFE)/RS(CAUTION) content remains to be implemented and documented in Section 9,...is implemented and specified in the Layer 3 prototype specification; Section 9 presents it,Rules R-CAUTION-001..004 implemented and exercised,governance/ ; rule-activation-summary.csv,STATUS_SYNC
M-13,5.6.3,supplementary design rationale (available from the authors),Layer 3 prototype specification accompanying this work,In-repository specification now exists,layer3-prototype-specification.md,SCOPE_REPAIR
M-09,5.7,Section 9 is reserved ...; Section 10 plans ...; These sections are not completed empirical results.,"Section 9 presents the implemented prototype ...; evidence is closed except E5 target-hardware, which remains open",Conflated undrafted sections with pending evidence,claim-evidence-matrix.csv,STATUS_SYNC
M-10,6.5,Section 10 plans to evaluate implementation fidelity and advisory behaviour...,"Implementation fidelity has been evaluated separately from these theorems (F1-F3, Section 9)...",Fidelity already evaluated; also clarifies theorem-vs-fidelity distinction,fidelity-results.json,STATUS_SYNC
M-11,7.3 note,"L3 is the runtime assumption a future implementation-fidelity test (F1, F2) validates","...that the implementation-fidelity evaluation tests, and which it found upheld with zero observed violations",'future' false,fidelity-results.json,STATUS_SYNC
M-12,8,"no engine invocation, as when Layer 3 is not yet built","no engine invocation - the configuration in which the participation gate is closed, or Layer 2 is evaluated in isolation",Layer 3 is built,governance/ ; Batch 5,STATUS_SYNC
M-15,9 stub purpose,"Describe the planned software prototype and, once implemented, its fidelity evaluation",Describe the implemented software prototype and its completed implementation-fidelity evaluation (F1-F3),"Prototype implemented, fidelity evaluated",Batch 5,STATUS_SYNC
M-15b,9 stub content,Planned implementation stack targets,Implementation stack,Same reason,Batch 5,TERMINOLOGY
M-14,11 stub instruction,Do NOT report fidelity metrics (F1-F3) here - they are deferred to the Layer 3 build,"Do NOT report fidelity metrics here. F1-F3 are CLOSED, but are implementation-fidelity not empirical-trace evidence: they belong in Section 9",Instruction contradicted frozen authority and would mis-steer Batch 8B,Batch 5; evaluation-specification,SCOPE_REPAIR
E4-a,9 stub figure,Measured on five years of site data under the canonical specification: 26 oscillation events,...under the canonical PRIMARY configuration (E4; no RESOLUTION analogue exists - evaluation-specification Sec 13): 26 oscillation events,Repaired E3/E4 contract requires E4 values identified as PRIMARY,evaluation-specification Sec 13 (2026-09-13),SCOPE_REPAIR
E4-b,12 stub figure,"measured on historical replay under the canonical specification: 3,661 state transitions...","...under the canonical PRIMARY configuration (E4; E4_RESOLUTION = NOT_REQUIRED_BY_CURRENT_E3_DESIGN): 3,661 state transitions...",Same,evaluation-specification Sec 13,SCOPE_REPAIR
M-35,Abstract,(To be written last),(To be written last) + UNDRAFTED Batch 8B marker with authoring constraints,No prose existed to bound; must be authored against the evidence matrix,claim-evidence-matrix.csv,BOUNDING
M-36/37,1-4 and 9-15,stubs without status markers,UNDRAFTED - reserved for Batch 8B markers naming the evidence matrix and E5 OPEN,Isolate undrafted sections for evidence-grounded authoring,claim-evidence-matrix.csv,BOUNDING
M-01..M-06,"5.3.3, 6.2-6.5",formal theorem statements and proofs,unchanged,Already correct and bounded,claim-status-matrix P1-P3,NO_CHANGE
M-26..M-34,5.2-5.6,"kappa/chi, solar, D={m}, reasons, UNSAFE semantics, thresholds, Resolution B, layers",unchanged,Already canonical,appendix-c; canonical scripts,NO_CHANGE
M-21,8,"complexity bounded, defers to E5",unchanged,Already correctly bounded,evaluation-specification,NO_CHANGE
