"file","action","scientific_effect"
"publications/active/journal-1/layer3-prototype-specification.md","CREATED","Defines the implementation authority for the Layer 3 prototype. No scientific architecture, classifier, governance mapping, threshold, recommendation type or formal variable is modified. Closed upstream authority treated as read-only."
"data/journal1-layer3-prototype/integrity-before.json","CREATED","Pins the 16 protected canonical files at workstream start. No scientific content."
"data/journal1-layer3-prototype/prototype-contract-batch1.csv","CREATED","Records the 8 batch deliverables and their specification-section references. No scientific content."
"data/journal1-layer3-prototype/rule-schema-batch1.json","CREATED","Defines the JSON schema for a Layer 3 Rule object. Enforces conclusion_type ∈ R at the schema level. Condition predicate content is OPEN-L3-1."
"data/journal1-layer3-prototype/module-map-batch1.csv","CREATED","Maps 7 governance/ modules to their responsibilities and scientific invariants. No new scientific claims."
"data/journal1-layer3-prototype/fidelity-instrumentation-batch1.csv","CREATED","Maps F1; F2; F3 to FidelityTrace fields and required assertions. Status: DESIGNED — NOT YET TESTED. No fidelity result claimed."
"data/journal1-layer3-prototype/test-plan-batch1.csv","CREATED","Defines 13 test cases for later implementation. Status: NOT YET IMPLEMENTED. No test result reported."
"data/journal1-layer3-prototype/open-decisions-batch1.csv","CREATED","Carries forward all 12 OPEN items from the algorithm-specification workstream. Adds OPEN-L3-1. Partially closes OPEN-B3-1; OPEN-B3-2; OPEN-B3-3 at implementation level without changing scientific state model."
"data/journal1-layer3-prototype/semantic-verification-batch1.json","CREATED","19 semantic checks (PASS/OPEN). 19 PASS; 0 FAIL; 1 OPEN. OPEN = OPEN-L3-1."
"data/journal1-layer3-prototype/change-map-batch1.csv","CREATED","This file. Records all files changed and their scientific effects."
"data/journal1-layer3-prototype/build.py","CREATED","Integrity verification and CSV parser check for this workstream. No scientific content."
"data/journal1-layer3-prototype/closure-batch1.json","CREATED","Batch 1 closure record. No scientific content."
"data/journal1-layer3-prototype/report-batch1.md","CREATED","Human-readable batch report. No scientific content."
"data/journal1-layer3-prototype/integrity-after.json","CREATED by build.py","Verifies 16 protected canonical files are byte-identical after edits. Verdict: PASS."
"publications/active/journal-1/layer3-prototype-specification.md","REPAIRED (Batch 1 repair)","Repair 1: status header updated to CLOSED + repair date. Repair 2: FidelityTrace rule_set_id replaced with rule_set_bound_for_state; F3 table updated to state-correspondence semantics. Repair 3: predicate evaluation failure policy removed as established fact; OPEN-L3-2 referenced. Repair 4: execute_episode() return type changed from tuple to EpisodeResult; ConfigurationError/FidelityTrace contract made coherent. OPEN-L3-2 added to §14. No scientific architecture changed."
"data/journal1-layer3-prototype/fidelity-instrumentation-batch1.csv","REPAIRED (Batch 1 repair)","F3 rows: removed rule_set_id identifier-change requirement; replaced with state-correspondence assertions (rule_set_bound_for_state == S_new; ConclusionTypes ⊆ A_AI(S_new)). Empty RS case does not false-fail F3."
"data/journal1-layer3-prototype/open-decisions-batch1.csv","REPAIRED (Batch 1 repair)","Added OPEN-L3-2: predicate evaluation failure policy not yet resolved."
"data/journal1-layer3-prototype/semantic-verification-batch1.json","REPAIRED (Batch 1 repair)","Added post_repair_checks block with 12 checks (11 PASS / 1 OPEN = OPEN-L3-2). Combined: 30 PASS / 0 FAIL / 2 OPEN."
"data/journal1-layer3-prototype/closure-batch1.json","REPAIRED (Batch 1 repair)","Closure line updated to CLOSED. repair_record block added. OPEN-L3-2 added to open_items_status. workstream_status updated to CLOSED."
"data/journal1-layer3-prototype/report-batch1.md","REPAIRED (Batch 1 repair)","Closure line updated to CLOSED. Reasoning episode section updated to show EpisodeResult. Fidelity instrumentation table updated with corrected F3 assertions. OPEN decisions table updated with OPEN-L3-2. Engine strategy section notes OPEN-L3-2."
