"file","change_type","batch","scientific_effect","notes"
"publications/active/journal-1/algorithm-specification.md","edited","Batch 2","None — new algorithm specification sections added.","Six new sections §11–§16: Algorithm 1 pseudocode; A1 pre-/postconditions; Algorithm 2 pseudocode; A2 pre-/postconditions; Batch 2 Boundary Verification (24 cases); Batch 2 Correctness Traceability. No Algorithm 3–4, no complexity analysis, no canonical file modified."
"data/journal1-algorithm-specification/algorithm-contracts-batch2.csv","created","Batch 2","None — evidence artefact.","Twenty-two contract rows across Algorithm 1 (inputs, output, P1–P4, Q1–Q5, failure behaviour) and Algorithm 2 (input, output, P1, Q1–Q6, bounded language). Parses under csv.DictReader (strict) and pandas.read_csv."
"data/journal1-algorithm-specification/boundary-cases-batch2.csv","created","Batch 2","None — evidence artefact.","Twenty-four boundary cases B1–B24 with expected verdicts and PASS results — twelve g_w/g_r/g_o boundary cases, eight g_t/rainfall/exclusion/startup semantic cases, four exhaustive Algorithm 2 cases plus containment."
"data/journal1-algorithm-specification/algorithm-traceability-batch2.csv","created","Batch 2","None — evidence artefact.","Twenty-one construct rows separating definition / algorithm implementation / formal theorem or property / future implementation-fidelity test. Bounded-language rule enforced (no 'Algorithm 1 proves safety', no 'Algorithm 2 validates monotonicity experimentally')."
"data/journal1-algorithm-specification/semantic-verification-batch2.json","created","Batch 2","None — evidence artefact.","Twenty-three required semantic checks (per task §22) with evidence and verdict. All twenty-three PASS."
"data/journal1-algorithm-specification/parser-test-batch2.json","created (by build.py)","Batch 2","None — evidence artefact.","Machine-verified strict parsing of every CSV in the evidence directory (Batch 1 + Batch 2)."
"data/journal1-algorithm-specification/closure-batch2.json","created","Batch 2","None — evidence artefact.","Closure record for Batch 2 with §25 checklist status, semantic-check summary, and stop-condition status."
"data/journal1-algorithm-specification/report-batch2.md","created","Batch 2","None — reporting artefact.","Batch 2 report following §26 required format."
"publications/active/journal-1/algorithm-specification.md","edited","Batch 2 — Exclusion-Set Domain Repair","None — bounded formal-domain repair; no threshold, classifier semantics, governance mapping, rainfall or solar semantics changed.","§11 input signature now declares D subset of C (was D subset of {w,r,m,o}); §11 well-formedness check now tests t in D or D not subset of C (was ... or D = {w,r,m,o}); §12 P4 rewritten against C with (D1)–(D2) statement; §15 adds boundary case B25 for the maximal well-formed D = {w,r,m,o}; section header count 24 -> 25."
"data/journal1-algorithm-specification/algorithm-contracts-batch2.csv","edited","Batch 2 — Exclusion-Set Domain Repair","None — evidence artefact.","A1 input row and P4 row rewritten to express D against C and admit D = {w,r,m,o}."
"data/journal1-algorithm-specification/boundary-cases-batch2.csv","edited","Batch 2 — Exclusion-Set Domain Repair","None — evidence artefact.","Appended B25: D = {w,r,m,o} well-formed; w/r/m/o pinned SAFE; t classified normally by g_t; PASS."
"data/journal1-algorithm-specification/algorithm-traceability-batch2.csv","edited","Batch 2 — Exclusion-Set Domain Repair","None — evidence artefact.","'D well-formedness' row rewritten against C; noted that (D2) follows from (D1) once D subset of C."
"data/journal1-algorithm-specification/semantic-verification-batch2.json","edited","Batch 2 — Exclusion-Set Domain Repair","None — evidence artefact.","D_wellformedness_preserved evidence rewritten to describe the C-based test; added exclusion_maximal_wellformed_D_admitted check (PASS); PASS_count 22 -> 23; post_repair_note added."
"data/journal1-algorithm-specification/closure-batch2.json","edited","Batch 2 — Exclusion-Set Domain Repair","None — evidence artefact.","Added post_repair_closure_line and post_repair_note; refreshed D-wellformedness checklist entry; boundary-case count 24 -> 25; semantic PASS count 22 -> 23."
"data/journal1-algorithm-specification/report-batch2.md","edited","Batch 2 — Exclusion-Set Domain Repair","None — reporting artefact.","Post-repair section appended with the second closure line JOURNAL 1 ALGORITHM SPECIFICATION BATCH 2 CLOSED — EXCLUSION-SET DOMAIN CONTRACT REPAIRED."
