file,section,line,metric_name,value,canonical_expected,classification,audit_status,context,note
publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,3,not yet mapped: numeric token,2026,PENDING — SC-3 stopped traceability review,ambiguous,AMBIGUOUS,IPSci 2026 — v3 REVISION (working draft),comment/provenance
publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,4,not yet mapped: numeric token,2026,PENDING — SC-3 stopped traceability review,ambiguous,AMBIGUOUS,Forked 2026-09-06 from v2-post-review/manuscript-v2.5-submitted.md,comment/provenance
publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,4,not yet mapped: numeric token,09,PENDING — SC-3 stopped traceability review,ambiguous,AMBIGUOUS,Forked 2026-09-06 from v2-post-review/manuscript-v2.5-submitted.md,comment/provenance
publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,4,not yet mapped: numeric token,06,PENDING — SC-3 stopped traceability review,ambiguous,AMBIGUOUS,Forked 2026-09-06 from v2-post-review/manuscript-v2.5-submitted.md,comment/provenance
publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,4,not yet mapped: numeric token,5,PENDING — SC-3 stopped traceability review,ambiguous,AMBIGUOUS,Forked 2026-09-06 from v2-post-review/manuscript-v2.5-submitted.md,comment/provenance
publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,7,not yet mapped: numeric token,5,PENDING — SC-3 stopped traceability review,ambiguous,AMBIGUOUS,  v2.5 .docx    — the artifact actually submitted for review; contains embedded,comment/provenance
publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,9,not yet mapped: numeric token,5,PENDING — SC-3 stopped traceability review,ambiguous,AMBIGUOUS,  v2.5 .md      — working transcript of the above. Already carried post-submission,comment/provenance
publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,11,not yet mapped: numeric token,37,PENDING — SC-3 stopped traceability review,ambiguous,AMBIGUOUS,"                  [37]→[33]) per revision-notes.md, plus the supervisor-feedback",comment/provenance
publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,11,not yet mapped: numeric token,33,PENDING — SC-3 stopped traceability review,ambiguous,AMBIGUOUS,"                  [37]→[33]) per revision-notes.md, plus the supervisor-feedback",comment/provenance
publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,12,not yet mapped: numeric token,2026,PENDING — SC-3 stopped traceability review,ambiguous,AMBIGUOUS,"                  additions of 2026-08-20 (Formal Properties, Algorithm",comment/provenance
publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,12,not yet mapped: numeric token,08,PENDING — SC-3 stopped traceability review,ambiguous,AMBIGUOUS,"                  additions of 2026-08-20 (Formal Properties, Algorithm",comment/provenance
publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,12,not yet mapped: numeric token,20,PENDING — SC-3 stopped traceability review,ambiguous,AMBIGUOUS,"                  additions of 2026-08-20 (Formal Properties, Algorithm",comment/provenance
publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,17,not yet mapped: numeric token,5,PENDING — SC-3 stopped traceability review,ambiguous,AMBIGUOUS,  v3 .md        — THIS FILE. All further revision happens here. v2.5 .md is now,comment/provenance
