source,location,statement,date_or_commit,authority_type,supports_interpretation,superseded_by,notes
docs/canonical/appendix-c-formalisation.md,line 791 (§C.4 AI‑Admissible Recommendation Space),"When S = CAUTION, the Go recommendation is automatically presented by the system with a caution qualifier (e.g., ""Proceed with caution""). The recommendation type remains Go, but its presentation and explanation are modified by the safety state. This preserves set containment while allowing state‑dependent advisory messaging.",commit c42aae6c 2026-04-10,formalisation | UI/presentation guidance,"B (primary — stated intent ""presentation and explanation are modified""); A (residual — surface wording ""automatically presented"")",not superseded — target of this resolution,"Introduced 15 days AFTER §C.4 original body (978df609 2026-04-05) but 15 days BEFORE the Layer 3 rule-based enforcement mechanism was decided (f517fc1 2026-04-25). Sits inside the A_AI set-definition section, not inside the rule-engine or Algorithm 3/4 sections."
docs/canonical/appendix-c-formalisation.md,line 793 (§C.4),"This restriction means that under CAUTION conditions, the AI cannot provide timing optimisation or trip duration recommendations.",commit 978df609 2026-04-05,formalisation,B (restriction framing — no automatic emission),not superseded,"Immediately follows line 791. Confirms that §C.4 is defining an admissible-set restriction, not a positive advisory-emission rule."
docs/canonical/architecture-illustration.md,lines 202–204 (subsection ""Why Go carries a caution qualifier in CAUTION mode""),"When S = CAUTION, the Go recommendation type remains available but is presented with a caution qualifier (e.g., ""Proceed with caution""). The recommendation type is unchanged — it is still a Go/no-go assessment. The qualifier communicates that conditions are elevated and the fisher should exercise additional vigilance. This design preserves set containment (Go ∈ A_AI(CAUTION) and Go ∈ A_AI(SAFE) — same type in both) while ensuring the fisher understands that CAUTION-mode advice carries a different risk profile than SAFE-mode advice.",canonical (parallel document to appendix-c),formalisation | UI/presentation guidance,B — unambiguous,not superseded,"The word ""automatically"" does NOT appear here. The verbs are ""presented"", ""communicates"", ""understands"" — all presentation-layer. This is the parallel canonical statement to line 791 and it explicitly frames the qualifier as messaging."
docs/canonical/architecture-illustration.md,line 137 (governance table row: What AI provides — CAUTION),"Go/no-go with caution qualifier, delay guidance",canonical,formalisation,"B (corroborating presentation-level evidence — the informal phrase ""Go/no-go"" is not treated as a formal enumeration of recommendation types in R)",not superseded,"Corroborating presentation-level evidence that Go-related advice under CAUTION carries a caution qualifier. The informal phrase ""Go/no-go"" is prose, not a formal enumeration of R types — R remains {Go, Delay, DepartureTime, Duration} with no ""No-go"" type. Qualifier is presentation metadata attached to Go when Go is produced by the rule engine."
docs/canonical/appendix-c-formalisation.md,§C.7.1 lines 896–904 (Enforcement mechanism),"The rule engine fires only rules present in the active RS(S). No rule in RS(CAUTION) produces DepartureTime or Duration, so those types cannot appear in AI when S = CAUTION. The constraint is structural — it holds before generation begins, not by filtering outputs after the fact.",canonical,scientific rule specification / enforcement contract,contradicts A (there is no post-hoc emission path); consistent with B,line 791 predates §C.7.1,"§C.7.1 formalises the Layer 3 rule engine and RS(S) supply. It explicitly denies any mechanism outside rule firing. If line 791 meant Interpretation A (automatic emission conditioned on S=CAUTION), §C.7.1 excludes the mechanism required."
docs/canonical/justification-layer3-enforcement.md,§3 Enforcement mechanism (lines 81–96),"The rule engine fires only rules present in RS(S). ... Their absence is not the result of checking and rejecting outputs after the fact — no rule that generates those types exists in the active configuration. There is nothing to filter.",commit f517fc1 2026-04-25,scientific rule specification / enforcement contract,contradicts A; consistent with B,line 791 predates this authority,"Design record for Layer 3 = production rule system. Deliberately decides against post-hoc generation. If Interpretation A were normative, §3 would have to specify a mechanism for it; it does not."
docs/canonical/justification-layer3-enforcement.md,§4 Proof of the Safety Dominance Property (Case 2 CAUTION),"G(CAUTION) = 1. Layer 3 receives E and RS(CAUTION). RS(CAUTION) contains only rules producing recommendations in {Go, Delay}. The rule engine can produce only types present in its active rule set.",commit f517fc1 2026-04-25,formal proof,contradicts A; consistent with B,line 791 predates,"AI(E) is the set produced by the rule engine. There is no term for a system-emitted Go outside the rule engine. Interpretation A would require introducing such a term into the proof, which does not exist."
docs/canonical/appendix-c-formalisation.md,§C.7.2 Theorem C.3 (Safety Dominance Property),"For every observation tuple, every configured v ∈ V and every well-formed D: AI ⊆ A_AI(F_{D,τ}). If F_{D,τ} = UNSAFE, then AI = ∅.",canonical,formal theorem,neutral — AI ⊆ A_AI(S) holds for any subset of A_AI(S) including {} and {Go},not superseded,"Theorem C.3 tolerates Interpretation A (Go ⊆ {Go,Delay}) but does not require it. It is silent on the mechanism by which Go enters AI."
docs/tasks/Journal 1 Algorithm Specification batch 4.md,§11 lines 406–420 (Algorithm 4 governance wrapper),"check G(S); if 0 → return ∅; else → invoke engine.reason(E, RS(S))",task authority (Batch 4 CLOSED),algorithm contract,contradicts A; consistent with B,not superseded,"Algorithm 4 has NO branch that emits Go outside engine.reason(). Interpretation A would require an additional branch such as ""if S=CAUTION → also emit Go"" which is absent from the closed algorithm contract."
data/journal1-layer3-prototype/recommendation-semantics-batch2.csv,line 2 (Go row),"An AI advisory indicating that the evaluated rule set has not identified a condition within its configured scope that warrants recommending departure delay or adjustment. The rule system found no active Delay antecedent in the resolved environmental inputs.",Batch 2 closed artefact,scientific specification (Batch 2),contradicts A; consistent with B,not superseded,"Go semantics under Batch 2 is defined as ""no active Delay antecedent fired"" — a rule-based negative-existential condition. Not an S-conditional automatic emission."
data/journal1-layer3-prototype/rule-candidate-register-batch2.csv,R-REJ-002 row (line 8),"IF S == CAUTION THEN Delay — pure state-conditional advisory: Delay solely because the classification is CAUTION.",Batch 2 REJECTED,rule candidate — REJECTED,precedent against A,"REJECTED: state-restatement without independent evidence","A hypothetical CAUTION-Go rule of form ""IF S==CAUTION THEN Go"" would exhibit the same state-restatement structure as R-REJ-002 and R-REJ-001. Under the Batch 2 methodology it would therefore require independent advisory-mapping evidence rather than being justified solely from the CAUTION state or from Go ∈ A_AI(CAUTION); no such evidence currently exists in the repository (GAP-03). Whether a future rule with that antecedent could be defended by independent evidence is not decided here. Interpretation A of line 791 therefore requires either such a future rule with independent evidence or a mechanism outside RS(CAUTION) — neither is currently specified."
