"construct","definition","algorithm_implementation","formal_theorem_or_property","implementation_assumption","future_fidelity_test","open_implementation_decision"
"G(S) mapping","appendix-c C.3","consumed by A3 lines 1–4 and A4 lines 1–4","Participation constraint (C.6)","","F1",""
"A_AI(S) mapping","appendix-c C.4","consumed by A3 lines 5–9","Advisory restriction (C.6); Corollary C.2; Theorem C.2","","F1",""
"RS(S) shape and admissibility","appendix-c C.7.1","A3 lines 5–10","Theorem C.3 A2","","F1","OPEN-B1-4 (concrete rule contents)"
"ConclusionTypes(RS(S)) subset of A_AI(S)","","A3 Q1 — enforced at lines 5–9","Theorem C.3 A2","","F1",""
"Pre-reasoning supply (RS(S) before Layer 3 begins)","appendix-c C.7.1","A3 line 10 runs before A4 line 5","Theorem C.3 A2","","F1; F3",""
"State/rule-set consistency across episodes","algorithm-specification.md §8","A3 re-invoked on S_new; A4 P5 records the invariant","invariant","consistency enforcement primitive is not chosen","F3","OPEN-B1-8 (concurrency primitive)"
"Engine-fidelity assumption","","A4 line 5 uses only RS(S); A4 P4 states the assumption","Theorem C.3 A4","implementation assumption — Batch 3 does not test it","F1; F2",""
"AI(E) subset of A_AI(S)","","delivered by A3 Q1 + engine fidelity","Theorem C.3 (proved)","","F1",""
"AI(E) = empty under UNSAFE","appendix-c C.6","A4 lines 1–3 (gate-off)","Theorem C.3 case 1","","F1",""
"Human authority unconditional","appendix-c C.8.2 step 6","neither A3 nor A4 alters it; A4 Q4 records it","unconditional","","not applicable to Batch 3",""
"Concrete Layer 3 rules","","","","","","OPEN-B1-4"
"Rule-engine evaluation strategy","","","","","","OPEN-B3-2"
"Invalid RS runtime handling","","A3 refuses supply (lines 6–8); runtime handling beyond refusal is not fixed","","","","OPEN-B3-1"
"Decision-episode implementation boundary","","","","","","OPEN-B3-3"
"No post-hoc filter substitution","appendix-c C.7 (enforcement mechanism)","A3 lines 5–9 (no silent filtering); A4 line 6 has no re-filter","design invariant","","F1",""
