reference_number,field,old_value,new_value,source_type,source_identifier,verification_status
14,pages_or_article_number,(absent),pp. 1–8,TIER_2_CROSSREF_DOI_METADATA,"Crossref REST API, DOI 10.1109/SII55687.2023.10039301 — ""page"":""1-8""",VERIFIED
14,venue_location,(absent),"Atlanta, GA, USA",TIER_2_CROSSREF_DOI_METADATA,"Crossref REST API, DOI 10.1109/SII55687.2023.10039301 — event.location ""Atlanta, GA, USA""",VERIFIED
14,doi,10.1109/SII55687.2023.10039301,10.1109/SII55687.2023.10039301,TIER_2_CROSSREF_DOI_METADATA,"Crossref REST API, DOI 10.1109/SII55687.2023.10039301 — DOI confirmed, unchanged",VERIFIED — pre-existing value confirmed
14,authors/title/year/venue,(as published),(unchanged),TIER_2_CROSSREF_DOI_METADATA,"Crossref REST API, DOI 10.1109/SII55687.2023.10039301 — all fields matched the existing entry",VERIFIED — no discrepancy
18,doi,(absent),10.1145/3744916.3764546,TIER_2_CROSSREF_BIBLIOGRAPHIC_QUERY,"Crossref REST API, DOI 10.1145/3744916.3764546 — exact title and all three author names matched",VERIFIED
18,pages_or_article_number,(absent),pp. 2938–2950,TIER_2_CROSSREF_BIBLIOGRAPHIC_QUERY,"Crossref REST API, DOI 10.1145/3744916.3764546 — ""page"":""2938-2950""",VERIFIED
18,venue,Proc. IEEE/ACM 48th Int. Conf. Software Engineering (ICSE '26),Proc. 2026 IEEE/ACM 48th Int. Conf. Software Engineering (ICSE '26),TIER_2_CROSSREF_BIBLIOGRAPHIC_QUERY,"Crossref REST API, DOI 10.1145/3744916.3764546 — container-title 'Proceedings of the 2026 IEEE/ACM 48th International Conference on Software Engineering'",VERIFIED
18,publisher,(absent),ACM (recorded in audit; not printed in IEEE-style entry),TIER_2_CROSSREF_BIBLIOGRAPHIC_QUERY,"Crossref REST API, DOI 10.1145/3744916.3764546 — ""publisher"":""ACM""",VERIFIED
19,pages_or_article_number,(absent),pp. 8313–8344,TIER_2_OFFICIAL_PUBLICATION_RECORD,"Official PMLR publication record, https://proceedings.mlr.press/v267/chen25ae.html — citation_firstpage 8313, citation_lastpage 8344; BibTeX pages {8313--8344}",VERIFIED
19,volume,PMLR 267 (unstructured),vol. 267,TIER_2_OFFICIAL_PUBLICATION_RECORD,"Official PMLR publication record, https://proceedings.mlr.press/v267/chen25ae.html — BibTeX volume {267}",VERIFIED
19,doi,(absent),(none listed in the official publication record),TIER_2_OFFICIAL_PUBLICATION_RECORD,"Official PMLR publication record, https://proceedings.mlr.press/v267/chen25ae.html — the official record for this paper supplies BibTeX, EndNote and APA citation formats; none contains a DOI field. The record identifies this version of record by ISSN 2640-3498, volume, page range and URL. Scope: an observation about this paper's record, not a claim about PMLR policy for all volumes.",NOT_APPLICABLE — no DOI in the authoritative publication record
19,url_or_identifier,arXiv:2503.22738v2,https://proceedings.mlr.press/v267/chen25ae.html,TIER_2_OFFICIAL_PUBLICATION_RECORD,"Official PMLR publication record, https://proceedings.mlr.press/v267/chen25ae.html — preprint identifier replaced by the version-of-record URL; the arXiv preprint and the published paper are distinct artefacts","VERIFIED — deliberate substitution, recorded"
19,publisher,PMLR,PMLR,TIER_2_OFFICIAL_PUBLICATION_RECORD,"Official PMLR publication record, https://proceedings.mlr.press/v267/chen25ae.html — publisher PMLR confirmed",VERIFIED — pre-existing value confirmed
19,authors/title/year,(as published),(unchanged),TIER_2_OFFICIAL_PUBLICATION_RECORD,"Official PMLR publication record, https://proceedings.mlr.press/v267/chen25ae.html — Chen, Kang, Li; title and year matched the existing entry",VERIFIED — no discrepancy
