episode_id,state,component_w_state,component_r_state,component_m_state,component_o_state,component_t_state,resolved_m,governance_enabled,expected_rule_ids,selected_rule_ids,fired_rule_ids,advisory_record_count,advisory_conclusion_types,A_AI,F1_violation,F2_violation,F3_mismatch,configuration_failure,evaluation_failure
B5-SA-wSA-rSA-mSA-oSA-tSA-rmnull,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,,1,[],[],[],0,[],"[""Delay"", ""DepartureTime"", ""Duration"", ""Go""]",False,False,False,False,False
B5-SA-wSA-rSA-mSA-oSA-tEX-rmnull,SAFE,SAFE,SAFE,SAFE,SAFE,EXCLUDED,,1,[],[],[],0,[],"[""Delay"", ""DepartureTime"", ""Duration"", ""Go""]",False,False,False,False,False
B5-SA-wSA-rSA-mSA-oEX-tSA-rmnull,SAFE,SAFE,SAFE,SAFE,EXCLUDED,SAFE,,1,[],[],[],0,[],"[""Delay"", ""DepartureTime"", ""Duration"", ""Go""]",False,False,False,False,False
B5-SA-wSA-rSA-mSA-oEX-tEX-rmnull,SAFE,SAFE,SAFE,SAFE,EXCLUDED,EXCLUDED,,1,[],[],[],0,[],"[""Delay"", ""DepartureTime"", ""Duration"", ""Go""]",False,False,False,False,False
B5-SA-wSA-rSA-mEX-oSA-tSA-rmnull,SAFE,SAFE,SAFE,EXCLUDED,SAFE,SAFE,,1,[],[],[],0,[],"[""Delay"", ""DepartureTime"", ""Duration"", ""Go""]",False,False,False,False,False
B5-SA-wSA-rSA-mEX-oSA-tEX-rmnull,SAFE,SAFE,SAFE,EXCLUDED,SAFE,EXCLUDED,,1,[],[],[],0,[],"[""Delay"", ""DepartureTime"", ""Duration"", ""Go""]",False,False,False,False,False
B5-SA-wSA-rSA-mEX-oEX-tSA-rmnull,SAFE,SAFE,SAFE,EXCLUDED,EXCLUDED,SAFE,,1,[],[],[],0,[],"[""Delay"", ""DepartureTime"", ""Duration"", ""Go""]",False,False,False,False,False
B5-SA-wSA-rSA-mEX-oEX-tEX-rmnull,SAFE,SAFE,SAFE,EXCLUDED,EXCLUDED,EXCLUDED,,1,[],[],[],0,[],"[""Delay"", ""DepartureTime"", ""Duration"", ""Go""]",False,False,False,False,False
B5-SA-wSA-rEX-mSA-oSA-tSA-rmnull,SAFE,SAFE,EXCLUDED,SAFE,SAFE,SAFE,,1,[],[],[],0,[],"[""Delay"", ""DepartureTime"", ""Duration"", ""Go""]",False,False,False,False,False
B5-SA-wSA-rEX-mSA-oSA-tEX-rmnull,SAFE,SAFE,EXCLUDED,SAFE,SAFE,EXCLUDED,,1,[],[],[],0,[],"[""Delay"", ""DepartureTime"", ""Duration"", ""Go""]",False,False,False,False,False
B5-SA-wSA-rEX-mSA-oEX-tSA-rmnull,SAFE,SAFE,EXCLUDED,SAFE,EXCLUDED,SAFE,,1,[],[],[],0,[],"[""Delay"", ""DepartureTime"", ""Duration"", ""Go""]",False,False,False,False,False
B5-SA-wSA-rEX-mSA-oEX-tEX-rmnull,SAFE,SAFE,EXCLUDED,SAFE,EXCLUDED,EXCLUDED,,1,[],[],[],0,[],"[""Delay"", ""DepartureTime"", ""Duration"", ""Go""]",False,False,False,False,False
B5-SA-wSA-rEX-mEX-oSA-tSA-rmnull,SAFE,SAFE,EXCLUDED,EXCLUDED,SAFE,SAFE,,1,[],[],[],0,[],"[""Delay"", ""DepartureTime"", ""Duration"", ""Go""]",False,False,False,False,False
