construct,authoritative_file,authoritative_section,notes
operational_classifier_F_D_tau,docs/canonical/appendix-c-formalisation.md,C.2.0.1 and C.8.1,"F_{D,tau} = f o rho_{D,tau} : prod Obs_i x V -> S. Ideal form f(E) is retained as shorthand for the case every component holds a valid value; operational form governs deployment."
condition_component_set_C,docs/canonical/appendix-c-formalisation.md,C.2.0.1,"C = {w, r, m, o, t}. v is not a condition component; V = {small, medium, big} is the configuration domain."
observation_space_Obs_i,docs/canonical/appendix-c-formalisation.md,C.2.0.2,"Obs_i = (X_i x T) union {bottom}. An observation pairs a value with the instant it was taken, or bottom for runtime fault."
resolution_map_rho,docs/canonical/appendix-c-formalisation.md,"C.2.0.1, C.2.0.3, C.2.0.4, C.2.0.4a, C.2.0.5, C.2.0.7","rho_{D,tau} : prod Obs_i -> Y discharges exclusion, validation and freshness. Evaluation order in C.2.0.7 is load-bearing."
resolved_input_space_Y,docs/canonical/appendix-c-formalisation.md,C.2.0.1 and C.8.1,"Y = prod_{i in C} (X_i union {bottom}). What the classifier consumes."
value_domains_X_i,docs/canonical/appendix-c-formalisation.md,C.2.0.1,"X_w = R>=0; X_r = R>=0 x K with K = {0, 1}; X_m = {none, advisory, warning, alert}; X_o = R>=0 x R>=0; X_t = [0, 24)."
freshness_map_and_age,docs/canonical/appendix-c-formalisation.md,C.2.0.4,"fresh_i(obs, tau_now) applies age_i per component. age_i is a specified parameter per component; no value is proposed in the specification."
vessel_configuration_v,docs/canonical/appendix-c-formalisation.md,"C.1 (Vessel Category Classification Note), C.2.0.5, C.2.0.6","v in V = {small, medium, big} by GRT bands (Yunus 2007; Yaakob et al. 2015). Startup precondition; unconfigured v refuses startup, not a classification."
declared_exclusion_set_D,docs/canonical/appendix-c-formalisation.md,C.2.0.5,"D subset of {w, r, m, o}. Well-formedness: (D1) t not in D; (D2) D strict subset of C; (D3) figures reported as lower bounds. Retrospective replay uses D = {m}."
exclusion_before_fault,docs/canonical/appendix-c-formalisation.md,"C.2.0 (four-conditions table), C.2.0.5, C.2.0.7","Exclusion (condition D) is resolved before validation and freshness. Excluded components are pinned at SAFE (least element of the severity order); they contribute the least to max-severity and never raise the classification."
fault_chain_to_UNSAFE,docs/canonical/appendix-c-formalisation.md,"C.2.0.3, C.2.0.4, C.2.0.7, Corollary C.1b.1","Resolution failure (invalid, absent, stale on a required non-excluded component) resolves to bottom; g_i(bottom) = UNSAFE by definition; UNSAFE is the maximal element of the severity order so global S = UNSAFE via max-severity. Fail-safe is a corollary of C.1b, not a separate pre-check."
component_classifier_g_w,docs/canonical/appendix-c-formalisation.md,"C.2 (g_w row), C.2.0.2","g_w : R>=0 union {bottom} -> S. SAFE w<=21.6; CAUTION 21.6<w<=27.0; UNSAFE w>27.0. Boundaries anchored to MET Malaysia Category 1 (40 km/h = 21.598 kn) and Category 2 (50 km/h = 26.998 kn)."
component_classifier_g_r,docs/canonical/appendix-c-formalisation.md,"C.2 (g_r row), C.2.0.2, C.2.0.4a","g_r : R>=0 x K -> S. Two inputs (rate, kappa). Storm route: kappa = 1 gives UNSAFE for every r. Rate route (kappa = 0): SAFE r<=10.0; CAUTION 10.0<r<=20.0; UNSAFE r>20.0. kappa = chi(c); chi(c) = 1 iff c in {95, 96, 99}; chi is total into K and never returns bottom."
component_classifier_g_m,docs/canonical/appendix-c-formalisation.md,C.2 (g_m row),"g_m : {none, advisory, warning, alert} union {bottom} -> S. Ordinal categorical. No archive exists at the study site; retrospective replay declares m in D = {m}."
component_classifier_g_o,docs/canonical/appendix-c-formalisation.md,"C.2 (g_o row), Vessel Category Classification Note (C.1)","g_o : (R>=0 x R>=0) union {bottom} x V -> S. Reads the wave-height coordinate only; swell period absence does not fault g_o (C.2.0.2). Vessel-conditional thresholds: small o<1.0 SAFE / 1.0<=o<=1.25 CAUTION / o>1.25 UNSAFE; medium 1.4 / 2.8; big 1.5 / 3.5."
component_classifier_g_t,docs/canonical/appendix-c-formalisation.md,"C.2 (g_t row), C.2.0.5 (D1), C.2.0.7 step 2b, Theorem C.1(i) g_t case","g_t : ([0,24) x Date) union {bottom} -> {SAFE, UNSAFE}. SAFE iff sunrise(date) <= t < sunset(date); UNSAFE otherwise and for bottom. Half-open: exact sunrise SAFE, exact sunset UNSAFE. g_t emits no CAUTION by deliberate design (SDR-001 applied 2026-09-08). Consumes the frozen solar artefact data/solar/solar-events-daily.csv via scripts/canonical_gt.py; no script computes solar astronomy."
no_g_v,docs/canonical/appendix-c-formalisation.md,"Note: there is no g_v (after g_o row)","Superseded formulation g_v(v) -> {SAFE, CAUTION} contributing a constant severity term is retired. Vessel category enters exclusively through g_o(o, v)."
worst_case_aggregation_max_severity,docs/canonical/appendix-c-formalisation.md,"C.2 Aggregation, Worst-Case Aggregation Justification Note (C.1), Definition C.1","f(y, v) = max-severity(g_w(y_w), g_r(y_r, kappa), g_m(y_m), g_o(y_o, v), g_t(y_t, d)). Five terms; v enters through g_o and is not an argument of max-severity. Severity order UNSAFE > CAUTION > SAFE."
governance_gate_G,docs/canonical/appendix-c-formalisation.md,C.3,"G : S -> {0, 1}. G(SAFE) = 1; G(CAUTION) = 1; G(UNSAFE) = 0."
admissible_recommendation_space_A_AI,docs/canonical/appendix-c-formalisation.md,C.4,"A_AI(SAFE) = {Go, Delay, DepartureTime, Duration} = FULL; A_AI(CAUTION) = {Go, Delay}; A_AI(UNSAFE) = empty. Containment: A_AI(SAFE) superset A_AI(CAUTION) superset A_AI(UNSAFE) = empty."
recommendation_type_set_R,docs/canonical/appendix-c-formalisation.md,C.4,"R = {Go, Delay, DepartureTime, Duration}. Fixed at design time; no subtypes; Go carries a caution qualifier under CAUTION but the type is unchanged."
governance_constraints,docs/canonical/appendix-c-formalisation.md,C.6,"Participation constraint: G(S) = 0 implies A_AI(S) = empty. Advisory restriction constraint: S = CAUTION implies A_AI(CAUTION) strict subset A_AI(SAFE). Both proved in Theorem C.2 and Theorem C.3."
rule_set_RS,docs/canonical/appendix-c-formalisation.md,"C.7.1, Theorem C.3 assumptions A1-A4","RS(SAFE) rules produce recommendations in {Go, Delay, DepartureTime, Duration}; RS(CAUTION) rules produce recommendations in {Go, Delay}; RS(UNSAFE) = empty (never supplied). Layer 2 supplies RS(S) to Layer 3 before any reasoning begins. Rule engine fires only rules present in the active RS(S)."
layer3_enforcement,docs/canonical/justification-layer3-enforcement.md,"sections 1-6","Layer 3 is a production rule system. Safety Dominance holds by construction: no rule producing a disallowed type exists in the active RS(S). No output filter, no runtime check. Proof by exhaustive case analysis over S in C.7.2 (Theorem C.3)."
architecture_pipeline,docs/canonical/appendix-c-formalisation.md,"C.8.1, C.8.2","obs -> rho_{D,tau} -> y -> f(., v) -> S -> (G(S), A_AI(S)) -> AI -> Human Decision. C.8 is the canonical statement; other sections cross-reference rather than restate."
human_decision_authority,docs/canonical/appendix-c-formalisation.md,"C.8.2 step 6","Human Decision is unconditional in all three states, including UNSAFE. The architecture constrains AI advisory scope, not the human decision."
architecture_illustration,docs/canonical/architecture-illustration.md,"sections 1, 2, 3, 4, 8","Reader-facing illustration of the same C.8 pipeline. Governance table (section 3) restates G(S) and A_AI(S). Formal safety properties (section 8) restate the three governance properties."
evaluation_specification,publications/active/journal-1/evaluation-specification.md,"sections 3, 4, 6","Canonical condition labels C0/C1/C2 (primary experiment) and C3 (structural comparator). Proposition J1-P1: C1 == C3 admissible-set equivalence. Any algorithm construct must be consistent with these labels."
