reference_number,authors,title,year,venue,volume,issue,pages_or_article_number,publisher,doi,url_or_identifier,metadata_status,provenance_source
1,"I.F. Ramos, G. Gianini, M.C. Leva, and E. Damiani",Collaborative intelligence for safety-critical industries: A literature review,2024,Information,15,11,728,,10.3390/info15110728,,COMPLETE,manuscript References section
2,"J. Perez-Cerrolaza, J. Abella, M. Borg, C. Donzella, J. Cerquides, F. J. Cazorla, C. Englund, M. Tauber, G. Nikolakopoulos, and J. L. Flores",Artificial intelligence for safety-critical systems in industrial and transportation domains: A survey,2024,ACM Computing Surveys,56,7,ificial,ACM,10.1145/3626314,,COMPLETE,manuscript References section
3,"V. Indykov, D. Strüber, and R. Wohlrab",Architectural tactics to achieve quality attributes of machine-learning-enabled systems: A systematic literature review,2025,Journal of Systems and Software,223,,112373,,10.1016/j.jss.2025.112373,,COMPLETE,manuscript References section
4,"N. Flehmig, M. A. Lundteigen, and S. Yin",Implementing artificial intelligence in safety-critical systems during operation: Challenges and extended framework for a quality assurance process,2024,Proc. IEEE IECON 2024: 50th Annual Conf. IEEE Industrial Electronics Society,,,ificial,IEEE,10.1109/IECON55916.2024.10906021,,COMPLETE,manuscript References section
5,A. Baxi,The comprehension-gated agent economy: A robustness-first architecture for AI economic agency,2026,arXiv preprint,,,,,,arXiv:2603.15639,COMPLETE,manuscript References section
6,Abd. Rahim et al.,Survival decisions and adaptation strategies of small-scale fishers in the face of extreme weather impacts in coastal areas,2024,Journal of Marine and Island Cultures,13,3,,,10.21463/jmic.2024.13.3.05,,COMPLETE,manuscript References section
7,"L. Yamin, T.-C. Kuo, and N. Aziz","Interplay of traditional knowledge and adaptive capacity in climate change adaptation of small-scale fishers in central Terengganu, Malaysia",2025,Frontiers in Marine Science,12,,1492131,,10.3389/fmars.2025.1492131,,COMPLETE,manuscript References section
8,C. Atacan and F. O. Düzbastılar,Determination of risk perception in small-scale fishing and navigation,2023,Ege Journal of Fisheries and Aquatic Sciences,40,1,1–14,,10.12714/egejfas.40.1.01,,COMPLETE,manuscript References section
9,"C. Dominguez-Péry, R. Tassabehji, F. Corset, and Z. Chreim",A holistic view of maritime navigation accidents and risk indicators: examining IMO reports from 2011 to 2021,2023,Journal of Shipping and Trade,8,,11,IMO,10.1186/s41072-023-00135-y,,COMPLETE,manuscript References section
10,B. Könighofer et al.,Shields for safe reinforcement learning,2025,Communications of the ACM,68,11,80–90,ACM,10.1145/3715958,,COMPLETE,manuscript References section
