file,role,coverage,action,continuation_scope
publications/active/.DS_Store,publication-supporting document,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
publications/active/ipsci-2026/README.md,publication-supporting document,partially inspected,preserved; no edits,Supporting correction / reuse pointer; see edit-log
publications/active/ipsci-2026/revision-notes.md,publication-supporting document,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
publications/active/ipsci-2026/session-log.md,historical record,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
publications/active/ipsci-2026/submissions/.DS_Store,publication-supporting document,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
publications/active/ipsci-2026/submissions/archive/ipsci-2026-extended-abstract-v2-humanized.md,historical/frozen,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
publications/active/ipsci-2026/submissions/archive/ipsci-2026-extended-abstract-v2.md,historical/frozen,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
publications/active/ipsci-2026/submissions/archive/ipsci-2026-extended-abstract-v3-slr.md,historical/frozen,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
publications/active/ipsci-2026/submissions/archive/ipsci-2026-paper-v1.md,historical/frozen,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
publications/active/ipsci-2026/submissions/archive/ipsci-2026-paper-v2.md,historical/frozen,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
publications/active/ipsci-2026/submissions/archive/ipsci-2026-paper-v3.md,historical/frozen,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
publications/active/ipsci-2026/submissions/archive/ipsci-2026-paper-v4.md,historical/frozen,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
publications/active/ipsci-2026/submissions/archive/ipsci-2026-paper-v5.md,historical/frozen,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
publications/active/ipsci-2026/submissions/archive/ipsci-2026-paper-v5.pdf,historical/frozen,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
publications/active/ipsci-2026/submissions/archive/ipsci-2026-paper-v6.md,historical/frozen,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
publications/active/ipsci-2026/submissions/archive/ipsci-2026-paper-v7.md,historical/frozen,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
publications/active/ipsci-2026/submissions/archive/ipsci2026-introduction.md,historical/frozen,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
publications/active/ipsci-2026/submissions/v1-initial-submission/manuscript.md,historical/frozen,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
publications/active/ipsci-2026/submissions/v2-post-review/manuscript-v2.5-submitted.md,historical/frozen,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
publications/active/ipsci-2026/submissions/v2-post-review/manuscript.md,historical/frozen,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,active working manuscript,partially inspected,preserved; no edits,Full working-text consistency inspection
publications/active/ipsci-2026/supervisor-feedback-response.md,publication-supporting document,partially inspected,preserved; no edits,Supporting correction / reuse pointer; see edit-log
publications/active/ipsci-2026/supervisor-feedback-response.pdf,supporting rendered asset; version not yet assessed,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
publications/active/journal-1/README.md,publication-supporting document,partially inspected,preserved; no edits,Supporting correction / reuse pointer; see edit-log
publications/active/journal-1/correspondence/notes.md,historical record,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
publications/active/journal-1/research-design.md,publication-supporting document,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
publications/active/journal-1/section-5-plan.md,publication-supporting document,inventoried only; audit not completed,preserved; no edits,Supporting correction / reuse pointer; see edit-log
publications/active/journal-1/section-6-plan.md,publication-supporting document,inventoried only; audit not completed,preserved; no edits,Supporting correction / reuse pointer; see edit-log
publications/active/journal-1/session-log.md,historical record,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
publications/active/journal-1/submissions/.DS_Store,publication-supporting document,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
publications/active/journal-1/submissions/v1-initial-submission/manuscript.md,active working manuscript,partially inspected,preserved; no edits,Full working-text consistency inspection
publications/active/journal-2/README.md,publication-supporting document,partially inspected,preserved; no edits,Original inventory role retained; not claimed as a full independent review
