"construct","definition","algorithm_implementation","formal_theorem_or_property","future_fidelity_test"
"Operational classifier F_{D,tau}","appendix-c C.2.0.1; C.8.1","Algorithm 1 lines 1–38","Theorem C.1b (Operational Totality)","F1 replay conformance"
"Fail-safe g_i(bottom) = UNSAFE","appendix-c C.2 (per component)","Algorithm 1 lines 19–23 and 29–30 delivered into lines 32–36","Corollary C.1b.1","F1"
"Startup precondition (v)","appendix-c C.2.0.6","Algorithm 1 lines 1–3","axiomatic precondition; not a theorem","startup-refusal check (outside F1)"
"D well-formedness (D1)–(D2)","appendix-c C.2.0.5","Algorithm 1 lines 4–8 test (D1) t in D and (D2) D not subset of C, expressed against the full condition set C = {w,r,m,o,t}. D = {w,r,m,o} is admitted (maximal well-formed set).","axiomatic precondition; (D2) D strict subset of C follows from (D1) once D subset of C is enforced","startup-refusal check"
"Exclusion-before-fault","appendix-c C.2.0.5; C.2.0.7","Algorithm 1 lines 9–11","Lemma C.1c (Monotone Degradation of Informativeness)","F1 under D non-empty"
"Rainfall two-input classifier","appendix-c C.2.0.4a; C.2 g_r row","Algorithm 1 lines 15–24","Theorem C.1(i) g_r case","F1"
"kappa mapping chi total","appendix-c C.2.0.4a","Algorithm 1 line 18","chi : C_WMO union {absent} -> K, total","F1"
"Solar half-open boundary","appendix-c C.2 g_t row","Algorithm 1 line 36 (via canonical g_t)","Theorem C.1(i) g_t case","F1"
"g_t emits no CAUTION","appendix-c C.2 g_t row; Component classifiers are not required to be surjective","Algorithm 1 line 36","codomain property; totality independent of surjectivity","F1"
"Frozen solar dependency","appendix-c C.2 g_t canonical implementation; scripts/canonical_gt.py","Algorithm 1 lines 25–28","implementation invariant; not a theorem","deployment fidelity"
"Five component classifiers (no g_v)","appendix-c C.2 Aggregation; Note: there is no g_v","Algorithm 1 lines 32–36","aggregation is a max of five terms","F1"
"Max-severity aggregation","appendix-c C.2 Aggregation; Definition C.1","Algorithm 1 line 37","Theorem C.1(ii) (max-severity totality)","F1"
"Operational totality on Y x V","appendix-c C.2.0.1","Algorithm 1 postcondition Q1","Theorem C.1b","F1"
"G(S) mapping","appendix-c C.3","Algorithm 2 lines 3, 6, 9","Participation constraint (C.6)","F1"
"A_AI(S) mapping","appendix-c C.4","Algorithm 2 lines 4, 7, 10","Advisory restriction (C.6); Theorem C.2 (Monotonicity); Corollary C.2 (strict containment)","F1; F2"
"Participation constraint G(S)=0 -> A_AI(S)=empty","appendix-c C.6","Algorithm 2 case UNSAFE lines 8–10","proved in C.6 and Theorem C.3 case 1","F1"
"Advisory restriction A_AI(CAUTION) strict subset A_AI(SAFE)","appendix-c C.6","Algorithm 2 cases SAFE and CAUTION lines 2–7","proved in C.6; Corollary C.2","F1"
"Monotonicity of A_AI","appendix-c C.4","Algorithm 2 realises the finite mapping","Theorem C.2 (proved)","F1"
"RS(S) supply handoff","appendix-c C.7.1; Theorem C.3 A2","§13 note; not implemented in Batch 2","Theorem C.3 (Safety Dominance) A1–A4","Batch 3 (Algorithms 3–4); F3 tests transition consistency"
"State/rule-set consistency requirement","algorithm-specification.md §8; evaluation-specification.md §7","not implemented in Batch 2 — deferred to Algorithm 3","F3 (fidelity criterion)","F3"
"Human authority","appendix-c C.8.2 step 6; architecture-illustration.md §3–§4","neither Algorithm 1 nor Algorithm 2 modifies human authority","unconditional across all three states","not applicable to Batch 2"
