file,change_type,batch,scientific_effect,notes
publications/active/journal-1/algorithm-specification.md,created,Batch 1,None — new maintained authority for the algorithm specification workstream. Populates sections 1-10 (Purpose and scope; Authority; Notation and interfaces; Operational observation-resolution contract; Component-classifier contract; Failure and exclusion semantics; Governance mappings; RS(S) pre-reasoning contract; Human-decision boundary; Open implementation decisions). No pseudocode and no complexity analysis yet — deferred to Batch 2 and Batch 3.,Restates the canonical operational contract in a form Algorithms 1-4 must preserve. No canonical scientific state is altered.
data/journal1-algorithm-specification/integrity-before.json,created,Batch 1,None — evidence artefact.,Pins the same 16 protected canonical files as data/journal1-evaluation-specification/integrity-before.json. Verified byte-identical to the prior pin on 2026-09-10.
data/journal1-algorithm-specification/authority-map.csv,created,Batch 1,None — evidence artefact.,27 constructs mapped to their authoritative file and section. Parses under csv.DictReader (strict) and pandas.read_csv.
data/journal1-algorithm-specification/operational-contract.csv,created,Batch 1,None — evidence artefact.,14 interfaces with type signatures and invariants. Parses under csv.DictReader (strict) and pandas.read_csv.
data/journal1-algorithm-specification/open-decisions.csv,created,Batch 1,None — evidence artefact.,7 bounded OPEN items (OPEN-B1-1 through OPEN-B1-7). Only OPEN-B1-1 (tau parameter) originates in the specification; the others are scope boundaries inherited from the evaluation-specification workstream or the Layer 3 build.
data/journal1-algorithm-specification/semantic-verification-batch1.json,created,Batch 1,None — evidence artefact.,19 required semantic checks (per task §15) with evidence and verdict. 18 PASS; 1 OPEN (tau_not_invented — matches the specification's own parameterisation).
data/journal1-algorithm-specification/parser-test-batch1.json,created,Batch 1,None — evidence artefact.,Machine-verified strict parsing of all four CSVs in this directory using csv.DictReader (strict field-count) and pandas.read_csv.
data/journal1-algorithm-specification/build.py,created,Batch 1,None — evidence artefact.,Rehashes the 16 protected files against integrity-before.json; runs strict parser checks on every CSV in this directory; emits integrity-after.json and parser-test-batch1.json. Idempotent and read-only against project state.
publications/active/journal-1/algorithm-specification.md,edited,Batch 1 — Transition Consistency Repair,None — bounded wording repair only. No canonical scientific state altered.,§8 atomic-swap sentence replaced with state/rule-set consistency requirement per reasoning episode; enforcement mechanism left unspecified. F3 scope preserved. OPEN-B1-8 appended to §10 table.
data/journal1-algorithm-specification/open-decisions.csv,edited,Batch 1 — Transition Consistency Repair,None — evidence artefact.,Appended OPEN-B1-8 (state/rule-set consistency enforcement mechanism). Header unchanged (7 columns).
data/journal1-algorithm-specification/semantic-verification-batch1.json,edited,Batch 1 — Transition Consistency Repair,None — evidence artefact.,Added check transition_consistency_requirement_bounded (verdict PASS) and post_repair_note in summary. Counts updated: PASS 18 -> 19.
data/journal1-algorithm-specification/closure-batch1.json,edited,Batch 1 — Transition Consistency Repair,None — evidence artefact.,Added post_repair_closure_line and post_repair_note; updated OPEN listing and PASS count; §17 checklist wording refreshed for the OPEN list.
data/journal1-algorithm-specification/report-batch1.md,edited,Batch 1 — Transition Consistency Repair,None — reporting artefact.,Appended repair section and second closure line JOURNAL 1 ALGORITHM SPECIFICATION BATCH 1 CLOSED — TRANSITION CONSISTENCY CONTRACT REPAIRED.
