queue_id,file,section,original_line,value,category,metric_definition,canonical_source,original_status,action,current_text,evidence_note
70,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,83,7.7%,result,headline characterization / registered outcomes,docs/canonical/report-c8-migration-2026-09-08.md; data/c8/canonical-results-post-migration.txt; docs/canonical/appendix-c-formalisation.md,stale,changed,"*Abstract--- How should AI advisory behaviour adapt as operational conditions deteriorate? Existing governance mechanisms are uniformly binary, meaning that the AI either generates its full recommendation set or is blocked entirely. This paper explores the available literature for the areas of AI governance, runtime assurance, human-AI collaboration, and deployment in low-resource settings, identifying how existing architectures limit the scope of AI advisory as environmental risk increases and providing motivation for a new governance architecture. Mechanistic studies show that there are three limitations: the inference pipeline is structurally fixed, the exploration of reasoning is a property of the decoding procedure and not a content-conditioned adaptation, and self-assessed confidence is unreliable and insensitive to past performance. Large-scale systematic reviews revealed that no architectural tactic demonstrated a formally positive impact on safety, while the most detailed guardrail taxonomy did not include a mechanism for restricting advisory scope based on environmental risk. Binary governance thus leaves intermediate-risk conditions structurally unaddressed: operators in low-resource settings either get full-scope tactical recommendations, or they do not get any. To address this gap, we propose a graduated safety-state-gated architecture, in which a participation gate and an AI advisory gate, both conditioned on the environmental safety state, produce an intermediate caution mode with formally restricted advisory scope. Three properties are proved: totality of the classifier, monotonic contraction of advisory scope, and safety dominance by construction. The architecture is instantiated for small-scale coastal fisheries and its governance layer executed against five years of hourly environmental data for the deployment site. The caution mode binds in 7.7% of departure-window hours for the operative vessel class over the full five-year record, and 6.0% when the wave input is replaced by a higher-resolution model covering a shorter period — conditions under which a binary architecture supplies its full recommendation set and this architecture withholds tactical output. Against the same record, a traffic-light baseline built on the closest structural precedent in the reviewed literature is shown to be output-equivalent to a plain binary gate, diverging from it in 0.00% of hours, which establishes the governance gap as a measurement rather than a claim. Predictions were pre-registered with numeric bounds before each analysis; twenty-two of twenty-four were confirmed and two refuted. Two predictions were additionally re-resolved when threshold provenance audits changed the specification they had been scored against — in one case reversing a refutation into a confirmation, in the other the reverse. Because no incident record exists for the site, the evaluation is a characterisation of governance behaviour and not a validation of classification correctness.*",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
71,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,83,6.0%,result,headline characterization / registered outcomes,docs/canonical/report-c8-migration-2026-09-08.md; data/c8/canonical-results-post-migration.txt; docs/canonical/appendix-c-formalisation.md,stale,changed,"*Abstract--- How should AI advisory behaviour adapt as operational conditions deteriorate? Existing governance mechanisms are uniformly binary, meaning that the AI either generates its full recommendation set or is blocked entirely. This paper explores the available literature for the areas of AI governance, runtime assurance, human-AI collaboration, and deployment in low-resource settings, identifying how existing architectures limit the scope of AI advisory as environmental risk increases and providing motivation for a new governance architecture. Mechanistic studies show that there are three limitations: the inference pipeline is structurally fixed, the exploration of reasoning is a property of the decoding procedure and not a content-conditioned adaptation, and self-assessed confidence is unreliable and insensitive to past performance. Large-scale systematic reviews revealed that no architectural tactic demonstrated a formally positive impact on safety, while the most detailed guardrail taxonomy did not include a mechanism for restricting advisory scope based on environmental risk. Binary governance thus leaves intermediate-risk conditions structurally unaddressed: operators in low-resource settings either get full-scope tactical recommendations, or they do not get any. To address this gap, we propose a graduated safety-state-gated architecture, in which a participation gate and an AI advisory gate, both conditioned on the environmental safety state, produce an intermediate caution mode with formally restricted advisory scope. Three properties are proved: totality of the classifier, monotonic contraction of advisory scope, and safety dominance by construction. The architecture is instantiated for small-scale coastal fisheries and its governance layer executed against five years of hourly environmental data for the deployment site. The caution mode binds in 7.7% of departure-window hours for the operative vessel class over the full five-year record, and 6.0% when the wave input is replaced by a higher-resolution model covering a shorter period — conditions under which a binary architecture supplies its full recommendation set and this architecture withholds tactical output. Against the same record, a traffic-light baseline built on the closest structural precedent in the reviewed literature is shown to be output-equivalent to a plain binary gate, diverging from it in 0.00% of hours, which establishes the governance gap as a measurement rather than a claim. Predictions were pre-registered with numeric bounds before each analysis; twenty-two of twenty-four were confirmed and two refuted. Two predictions were additionally re-resolved when threshold provenance audits changed the specification they had been scored against — in one case reversing a refutation into a confirmation, in the other the reverse. Because no incident record exists for the site, the evaluation is a characterisation of governance behaviour and not a validation of classification correctness.*",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
72,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,83,0.00%,result,headline characterization / registered outcomes,docs/canonical/report-c8-migration-2026-09-08.md; data/c8/canonical-results-post-migration.txt; docs/canonical/appendix-c-formalisation.md,stale,changed,"*Abstract--- How should AI advisory behaviour adapt as operational conditions deteriorate? Existing governance mechanisms are uniformly binary, meaning that the AI either generates its full recommendation set or is blocked entirely. This paper explores the available literature for the areas of AI governance, runtime assurance, human-AI collaboration, and deployment in low-resource settings, identifying how existing architectures limit the scope of AI advisory as environmental risk increases and providing motivation for a new governance architecture. Mechanistic studies show that there are three limitations: the inference pipeline is structurally fixed, the exploration of reasoning is a property of the decoding procedure and not a content-conditioned adaptation, and self-assessed confidence is unreliable and insensitive to past performance. Large-scale systematic reviews revealed that no architectural tactic demonstrated a formally positive impact on safety, while the most detailed guardrail taxonomy did not include a mechanism for restricting advisory scope based on environmental risk. Binary governance thus leaves intermediate-risk conditions structurally unaddressed: operators in low-resource settings either get full-scope tactical recommendations, or they do not get any. To address this gap, we propose a graduated safety-state-gated architecture, in which a participation gate and an AI advisory gate, both conditioned on the environmental safety state, produce an intermediate caution mode with formally restricted advisory scope. Three properties are proved: totality of the classifier, monotonic contraction of advisory scope, and safety dominance by construction. The architecture is instantiated for small-scale coastal fisheries and its governance layer executed against five years of hourly environmental data for the deployment site. The caution mode binds in 7.7% of departure-window hours for the operative vessel class over the full five-year record, and 6.0% when the wave input is replaced by a higher-resolution model covering a shorter period — conditions under which a binary architecture supplies its full recommendation set and this architecture withholds tactical output. Against the same record, a traffic-light baseline built on the closest structural precedent in the reviewed literature is shown to be output-equivalent to a plain binary gate, diverging from it in 0.00% of hours, which establishes the governance gap as a measurement rather than a claim. Predictions were pre-registered with numeric bounds before each analysis; twenty-two of twenty-four were confirmed and two refuted. Two predictions were additionally re-resolved when threshold provenance audits changed the specification they had been scored against — in one case reversing a refutation into a confirmation, in the other the reverse. Because no incident record exists for the site, the evaluation is a characterisation of governance behaviour and not a validation of classification correctness.*",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
73,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Introduction,89,"1,000",sample size,Literature sample/coding or reported literature quantity,notes/Responsible AI in the Global Context- Maturity Model and Survey.md:15,current,retained,"AI decision support is growing more prevalent in safety-critical, human-in-the-loop scenarios across healthcare, industrial operations, autonomous transportation, and maritime operations. The governance accompanying this expansion is not keeping pace. Reuel et al. surveyed 1,000 organisations across 20 industries and found that none had reached both planning and operational AI governance maturity simultaneously, a systematic gap they warned ""could lead to increased (public) risks from AI systems"" [28]. In the event that process-level governance is not reliable, the safety argument falls to the architecture. The question is what that architecture should do as conditions deteriorate, specifically during the marginal conditions between the safe-to-dangerous endpoints.",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
74,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Introduction,89,20,sample size,Literature sample/coding or reported literature quantity,notes/Responsible AI in the Global Context- Maturity Model and Survey.md:15,current,retained,"AI decision support is growing more prevalent in safety-critical, human-in-the-loop scenarios across healthcare, industrial operations, autonomous transportation, and maritime operations. The governance accompanying this expansion is not keeping pace. Reuel et al. surveyed 1,000 organisations across 20 industries and found that none had reached both planning and operational AI governance maturity simultaneously, a systematic gap they warned ""could lead to increased (public) risks from AI systems"" [28]. In the event that process-level governance is not reliable, the safety argument falls to the architecture. The question is what that architecture should do as conditions deteriorate, specifically during the marginal conditions between the safe-to-dangerous endpoints.",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
77,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Introduction,93,40,figure/table value,Literature sample/coding or reported literature quantity,docs/canonical/appendix-c-formalisation.md C.1 source scope,stale,changed,"Where a governance failure occurs without any institutional layer to compensate, the stakes are highest. In Malaysia, the choice is made by small-scale fishers on their own, every morning, without support, on vessels under 40 gross register tonnage, with traditional weather knowledge that is eroding as climate patterns shift [1]. The risk profile is documented: wind, weather, and visibility account for 26.7% of maritime accident causes, and small vessels have the highest mean fatality rank for all vessels tested [2]; combined night navigation and heavy weather has the highest consequence scores of any condition tested [3].",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
79,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Introduction,93,26.7%,figure/table value,Literature sample/coding or reported literature quantity,docs/canonical/appendix-c-formalisation.md C.1 source scope,stale,changed,"Where a governance failure occurs without any institutional layer to compensate, the stakes are highest. In Malaysia, the choice is made by small-scale fishers on their own, every morning, without support, on vessels under 40 gross register tonnage, with traditional weather knowledge that is eroding as climate patterns shift [1]. The risk profile is documented: wind, weather, and visibility account for 26.7% of maritime accident causes, and small vessels have the highest mean fatality rank for all vessels tested [2]; combined night navigation and heavy weather has the highest consequence scores of any condition tested [3].",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
82,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Introduction,95,1,figure/table value,Literature sample/coding or reported literature quantity,docs/canonical/review-protocol.md; docs/canonical/appendix-c-formalisation.md C.1,current,retained,There are three governance dimensions framing the space of possible mechanisms (Fig. 1). Dimensions 1 and 3 are addressed in existing work; dimension 2 (advisory scope restriction) is not.,Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
83,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Introduction,95,1,figure/table value,Literature sample/coding or reported literature quantity,docs/canonical/review-protocol.md; docs/canonical/appendix-c-formalisation.md C.1,current,retained,There are three governance dimensions framing the space of possible mechanisms (Fig. 1). Dimensions 1 and 3 are addressed in existing work; dimension 2 (advisory scope restriction) is not.,Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
84,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Introduction,95,3,figure/table value,Literature sample/coding or reported literature quantity,docs/canonical/review-protocol.md; docs/canonical/appendix-c-formalisation.md C.1,current,retained,There are three governance dimensions framing the space of possible mechanisms (Fig. 1). Dimensions 1 and 3 are addressed in existing work; dimension 2 (advisory scope restriction) is not.,Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
