"failure_id","failure_class","example","layer_owner","detectable_stage","semantic_status","selected_handling","authority","notes"
"F-T-01","environmental-resolution-failure","Layer 2 resolution returns ⊥ for a required non-excluded component (e.g. wave height unavailable or invalid)","Layer 2","Algorithm 1 / ρ_{D,τ} before execute_episode() is called","LAYER_2_RESPONSIBILITY","gᵢ(⊥) = UNSAFE via Corollary C.1b.1; S = UNSAFE; G(S) = 0; Algorithm 4 lines 1–3 return ∅; predicate evaluation in Layer 3 never begins","appendix-c C.2.0 / Corollary C.1b.1","Layer 3 receives an already-classified S; this failure is fully handled upstream. OPEN-L3-2 policy is not applicable."
"F-T-02","declared-component-exclusion","Component m has no data source; held at SAFE by declared exclusion D = {m}","Layer 2 configuration","Algorithm 1 resolution — configured exclusion, not a fault","DECLARED_EXCLUSION_NOT_A_FAILURE","m pinned at SAFE via resolution map ρ_{D,τ}; Layer 3 predicates referencing m evaluate against SAFE value; all figures are lower bounds","appendix-c C.2.0 (D semantics); CLAUDE.md ⊥ semantics block","Not a failure — a configured exclusion. Distinct from missing or null. OPEN-L3-2 policy is not applicable."
"F-T-03","context-required-field-absent","DecisionContext passed to execute_episode() is missing a required field (e.g. vessel_category absent or unrecognised)","Layer 3 startup","execute_episode() pre-reasoning; before RS selection or predicate evaluation","STARTUP_PRECONDITION_FAILURE","execute_episode() raises ConfigurationError before reasoning begins; AI(E) = ∅; S unchanged; configuration_failure = True in trace","layer3-prototype-specification.md §12 (unconfigured vessel category); appendix-c C.2.0.6","Pattern established for vessel_category; extends to other required context fields. Not a runtime predicate failure."
"F-T-04","rule-type-mismatch-in-definition","Rule predicate references a variable with wrong declared type (e.g. numeric variable compared with a string literal)","Algorithm 3","validate_rule_set() at rule-set supply — before reasoning begins","CONFIGURATION_FIDELITY_FAILURE","validate_rule_set() rejects the rule set; Algorithm 3 refuses supply; AI(E) = ∅; S unchanged; configuration_failure = True in trace","algorithm-specification.md §17–§18 (Algorithm 3 contract); layer3-prototype-specification.md §8","Type violations are checkable from the rule schema and context schema at supply time. Belongs to Algorithm 3 validation; not a runtime predicate failure governed by OPEN-L3-2."
"F-T-05","invalid-operator-in-rule-definition","Rule predicate uses an operator not valid for the operand types (e.g. 'contains' applied to a numeric variable)","Algorithm 3","validate_rule_set() at rule-set supply — before reasoning begins","CONFIGURATION_FIDELITY_FAILURE","validate_rule_set() rejects the rule set; Algorithm 3 refuses supply; AI(E) = ∅; S unchanged; configuration_failure = True in trace","algorithm-specification.md §17–§18","Operator validity is checkable from the predicate schema at supply time. Catching it here prevents runtime exceptions that would otherwise reach OPEN-L3-2 territory."
"F-T-06","unsupported-categorical-value-in-rule-definition","Rule predicate uses a categorical value outside the declared domain (e.g. m == 'WARNING' when m ∈ {none, advisory, warning, alert} and WARNING is not a defined member)","Algorithm 3","validate_rule_set() at rule-set supply — before reasoning begins","CONFIGURATION_FIDELITY_FAILURE","validate_rule_set() rejects the rule set; Algorithm 3 refuses supply; AI(E) = ∅; S unchanged; configuration_failure = True in trace","algorithm-specification.md §17–§18; appendix-c C.2.0 (m domain definition)","Value domains are defined in the formal specification. Violations at rule definition time are configuration errors detectable before any predicate evaluation."
"F-T-07","runtime-predicate-exception","Predicate evaluation raises an exception during engine.reason() for a rule that passed Algorithm 3 validation (e.g. division by zero, attribute access on None, unexpected library error)","Algorithm 4 / engine","engine.reason() during predicate evaluation — after Algorithm 3 supply succeeded","EVALUATION_FAILURE","Episode-level refusal (policy C+D): AI(E) = ∅; S unchanged; G unchanged; evaluation_failure = True in trace; failed_rule_ids and failure_category recorded","OPEN-L3-2 resolution (this document)","Primary case OPEN-L3-2 governs. Cannot be caught at Algorithm 3 because it depends on runtime context values not available at supply time."
"F-T-08","numeric-conversion-failure","Predicate evaluation fails to convert a runtime context value to the required numeric type for comparison (e.g. a wave height value stored as a string at runtime when a numeric comparison is required)","Algorithm 4 / engine","engine.reason() during predicate evaluation","EVALUATION_FAILURE","Episode-level refusal (policy C+D): AI(E) = ∅; S unchanged; G unchanged; evaluation_failure = True in trace; failed_rule_ids and failure_category recorded","OPEN-L3-2 resolution (this document)","The rule definition is valid (passes Algorithm 3); the failure arises from the actual runtime value. Structurally distinct from F-T-04 (rule schema problem)."
"F-T-09","malformed-runtime-value","A context field contains a value with unexpected format at evaluation time (e.g. malformed numeric string causing parse failure during predicate evaluation even though the field is present)","Algorithm 4 / engine","engine.reason() during predicate evaluation","EVALUATION_FAILURE","Episode-level refusal (policy C+D): AI(E) = ∅; S unchanged; G unchanged; evaluation_failure = True in trace; failed_rule_ids and failure_category recorded","OPEN-L3-2 resolution (this document)","Structurally distinct from F-T-04 (rule definition flaw). The rule is valid; the input data is malformed at evaluation time. May arise from data pipeline issues not caught by Layer 2."
"F-T-10","unexpected-internal-evaluation-error","Predicate evaluation encounters an unexpected internal error not attributable to a specific predicate or value (e.g. scheduler exception or memory allocation failure during engine.reason())","Algorithm 4 / engine","engine.reason() during reasoning","EVALUATION_FAILURE","Episode-level refusal (policy C+D): AI(E) = ∅; S unchanged; G unchanged; evaluation_failure = True in trace; failure_category = INTERNAL_ERROR","OPEN-L3-2 resolution (this document)","Treated conservatively as evaluation failure regardless of scope. Any unexpected exception during reasoning triggers episode-level refusal. No attempt to characterise which rule or predicate caused the error."
