timestamp_myt,date,hour,tide_height_m
2020-01-01T08:00,2020-01-01,8,-0.52
2020-01-01T09:00,2020-01-01,9,-0.627
2020-01-01T10:00,2020-01-01,10,-0.631
2020-01-01T11:00,2020-01-01,11,-0.569
2020-01-01T12:00,2020-01-01,12,-0.468
2020-01-01T13:00,2020-01-01,13,-0.336
2020-01-01T14:00,2020-01-01,14,-0.2
2020-01-01T15:00,2020-01-01,15,-0.104
2020-01-01T16:00,2020-01-01,16,-0.052
2020-01-01T17:00,2020-01-01,17,-0.004
2020-01-01T18:00,2020-01-01,18,0.053
2020-01-01T19:00,2020-01-01,19,0.089
2020-01-01T20:00,2020-01-01,20,0.101
2020-01-01T21:00,2020-01-01,21,0.135
2020-01-01T22:00,2020-01-01,22,0.223
2020-01-01T23:00,2020-01-01,23,0.335
2020-01-02T00:00,2020-01-02,0,0.426
2020-01-02T01:00,2020-01-02,1,0.484
2020-01-02T02:00,2020-01-02,2,0.504
2020-01-02T03:00,2020-01-02,3,0.455
2020-01-02T04:00,2020-01-02,4,0.327
2020-01-02T05:00,2020-01-02,5,0.16
2020-01-02T06:00,2020-01-02,6,-0.005
2020-01-02T07:00,2020-01-02,7,-0.172
2020-01-02T08:00,2020-01-02,8,-0.351
2020-01-02T09:00,2020-01-02,9,-0.497
2020-01-02T10:00,2020-01-02,10,-0.551
2020-01-02T11:00,2020-01-02,11,-0.513
2020-01-02T12:00,2020-01-02,12,-0.429
2020-01-02T13:00,2020-01-02,13,-0.326
2020-01-02T14:00,2020-01-02,14,-0.206
2020-01-02T15:00,2020-01-02,15,-0.092
2020-01-02T16:00,2020-01-02,16,-0.016
2020-01-02T17:00,2020-01-02,17,0.029
2020-01-02T18:00,2020-01-02,18,0.075
2020-01-02T19:00,2020-01-02,19,0.12
2020-01-02T20:00,2020-01-02,20,0.129
2020-01-02T21:00,2020-01-02,21,0.113
2020-01-02T22:00,2020-01-02,22,0.127
2020-01-02T23:00,2020-01-02,23,0.194
2020-01-03T00:00,2020-01-03,0,0.274
2020-01-03T01:00,2020-01-03,1,0.325
2020-01-03T02:00,2020-01-03,2,0.345
2020-01-03T03:00,2020-01-03,3,0.337
2020-01-03T04:00,2020-01-03,4,0.277
2020-01-03T05:00,2020-01-03,5,0.165
2020-01-03T06:00,2020-01-03,6,0.037
2020-01-03T07:00,2020-01-03,7,-0.081
2020-01-03T08:00,2020-01-03,8,-0.208
2020-01-03T09:00,2020-01-03,9,-0.347
2020-01-03T10:00,2020-01-03,10,-0.445
2020-01-03T11:00,2020-01-03,11,-0.45
2020-01-03T12:00,2020-01-03,12,-0.378
2020-01-03T13:00,2020-01-03,13,-0.282
2020-01-03T14:00,2020-01-03,14,-0.183
2020-01-03T15:00,2020-01-03,15,-0.076
2020-01-03T16:00,2020-01-03,16,0.023
2020-01-03T17:00,2020-01-03,17,0.088
2020-01-03T18:00,2020-01-03,18,0.127
2020-01-03T19:00,2020-01-03,19,0.164
2020-01-03T20:00,2020-01-03,20,0.179
2020-01-03T21:00,2020-01-03,21,0.147
2020-01-03T22:00,2020-01-03,22,0.094
2020-01-03T23:00,2020-01-03,23,0.081
2020-01-04T00:00,2020-01-04,0,0.12
2020-01-04T01:00,2020-01-04,1,0.163
2020-01-04T02:00,2020-01-04,2,0.177
2020-01-04T03:00,2020-01-04,3,0.171
2020-01-04T04:00,2020-01-04,4,0.154
2020-01-04T05:00,2020-01-04,5,0.108
2020-01-04T06:00,2020-01-04,6,0.032
2020-01-04T07:00,2020-01-04,7,-0.046
2020-01-04T08:00,2020-01-04,8,-0.118
2020-01-04T09:00,2020-01-04,9,-0.21
2020-01-04T10:00,2020-01-04,10,-0.313
2020-01-04T11:00,2020-01-04,11,-0.366
2020-01-04T12:00,2020-01-04,12,-0.328
2020-01-04T13:00,2020-01-04,13,-0.232
2020-01-04T14:00,2020-01-04,14,-0.134
2020-01-04T15:00,2020-01-04,15,-0.042
2020-01-04T16:00,2020-01-04,16,0.057
2020-01-04T17:00,2020-01-04,17,0.147
2020-01-04T18:00,2020-01-04,18,0.203
2020-01-04T19:00,2020-01-04,19,0.231
2020-01-04T20:00,2020-01-04,20,0.242
2020-01-04T21:00,2020-01-04,21,0.212
2020-01-04T22:00,2020-01-04,22,0.127
2020-01-04T23:00,2020-01-04,23,0.032
2020-01-05T00:00,2020-01-05,0,-0.011
2020-01-05T01:00,2020-01-05,1,-0.002
2020-01-05T02:00,2020-01-05,2,0.007
2020-01-05T03:00,2020-01-05,3,-0.006
2020-01-05T04:00,2020-01-05,4,-0.017
2020-01-05T05:00,2020-01-05,5,-0.017
2020-01-05T06:00,2020-01-05,6,-0.028
2020-01-05T07:00,2020-01-05,7,-0.056
2020-01-05T08:00,2020-01-05,8,-0.084
2020-01-05T09:00,2020-01-05,9,-0.119
2020-01-05T10:00,2020-01-05,10,-0.182
2020-01-05T11:00,2020-01-05,11,-0.252
2020-01-05T12:00,2020-01-05,12,-0.264
2020-01-05T13:00,2020-01-05,13,-0.192
2020-01-05T14:00,2020-01-05,14,-0.084
2020-01-05T15:00,2020-01-05,15,0.011
2020-01-05T16:00,2020-01-05,16,0.099
2020-01-05T17:00,2020-01-05,17,0.196
2020-01-05T18:00,2020-01-05,18,0.28
