claim_id,manuscript_section,coverage_status,current_wording,evidence_available,revision_needed,future_dependency
P1,§6.2,RESULT_PRESENT,"Theorem 6.1 (Totality of f). For all E in its domain, f(E) is defined and returns exactly one element of {SAFE, CAUTION, UNSAFE}.",yes,no,none
P2,§6.3,RESULT_PRESENT,"Theorem 6.2 (Monotonicity of A_AI). For all S₁, S₂ ∈ {SAFE, CAUTION, UNSAFE}, if S₁ ≻ S₂ then A_AI(S₁) ⊆ A_AI(S₂).",yes,no,none
P3,§6.4,RESULT_PRESENT,"Theorem 6.3 (Safety Dominance Property). For all E in its domain: AI(E) ⊆ A_AI(f(E))",yes,yes,F1/F2/F3 PASS results to be incorporated to update §6.5 forward reference
P4,§10,RESULT_PRESENT,"Structural proposition J1-P1: at the admissible-set level, A_C3(S) = A_C1(S) for all S — proved by finite-mapping comparison and confirmed against the retrospective record at 0.00% divergence. Not run as an experimental arm",yes,yes,none — Flehmig fairness qualification incomplete; no formal Proposition heading in §6
F1,§10/§8,PLANNED,"Implementation-fidelity criteria (F1–F3) — deferred to Layer 3 build; see evaluation-specification.md §7.",yes,yes,none — Batch 5 evidence exists (F1 PASS: 0 violations / 292 episodes / 454 advisory records)
F2,§10/§8,PLANNED,"Implementation-fidelity criteria (F1–F3) — deferred to Layer 3 build; see evaluation-specification.md §7.",yes,yes,none — Batch 5 evidence exists (F2 PASS: 0 violations / 244 episodes with advisory output)
F3,§10/§8,PLANNED,"Implementation-fidelity criteria (F1–F3) — deferred to Layer 3 build; see evaluation-specification.md §7.",yes,yes,none — Batch 5 evidence exists (F3 PASS: 0 mismatches / 292 episodes)
E1,§12,RESULT_PRESENT,"PRIMARY 48.69 − 42.88 = 5.81% · RESOLUTION 4.48%",yes,yes,none — canonical values exist; §11 formal results table pending
E2,§10/§12,RESULT_PRESENT,"Δ_L2 = divergence(C0, C2) − divergence(C0, C1) ... PRIMARY 48.69 − 42.88 = 5.81% · RESOLUTION 4.48%",yes,yes,none — §12 ablation prose not yet complete; §11 Results not yet written
E3,§10/§11,RESULT_PLACEHOLDER,"reported in two configurations per canonical practice: PRIMARY (5.00 yr, ERA5-Ocean ~50 km) and RESOLUTION (3.25 yr, MFWAM ~8 km). See §11 for canonical values.",yes,yes,none — all canonical values exist; full dual-config table deferred to §11 completion
E4,§12,RESULT_PRESENT,"3,661 state transitions in five years; 26 genuine oscillations (5.2/yr); hysteresis reduces non-scheduled transitions by 10.36%",yes,yes,none — RESOLUTION dual-config equivalents not separately stated; §12 formal prose pending
E5,§9/§10/§8,PLANNED,"Device-level performance suitability requires E5 evidence and is not claimed here",no,yes,E5 benchmarking execution on target deployment hardware (deploy governance/ module first)
E6,§10,RESULT_PRESENT,"confirmed against the retrospective record at 0.00% divergence",yes,yes,none — §11 Results not yet written; Flehmig fairness qualification should be complete when §11 is drafted
