"rule_id","applicable_state","antecedent_summary","antecedent_variables","conclusion_type","payload_summary","governance_admissible","classifier_duplication","evidence_source","evidence_location","evidence_level","adaptation_required","scientific_rationale","premise_support","premise_support_level","advisory_mapping_support","advisory_mapping_support_level","mapping_inference_required","mapping_bridge_source","mapping_limitation","conflict_risk","status","limitation"
"R-SAFE-001","SAFE","All component conditions resolved in SAFE band: w <= 21.6 kn AND o < vessel SAFE threshold AND r <= 10.0 mm/hr AND m = none AND g_t = SAFE (daylight). Expanded form of 'all(g_i == SAFE for i in {w, r, m, o, t})'.","{w, o, r, m, t, v}","Go","reason: No configured advisory trigger requiring an alternative recommendation was identified within the active rule set. Conditions are within the SAFE band across all evaluated components.","STRUCTURAL CHECK — PASS: Go IN A_AI(SAFE). Admissibility precondition of Theorem C.3 satisfied at specification level.","MODERATE RISK — The antecedent is functionally equivalent to S == SAFE because Layer 2 max-severity aggregation ensures all-SAFE conjunction iff S == SAFE. The scientific distinction from R-REJ-001 is evidentiary: R-SAFE-001 is grounded in three behavioral studies documenting fisher Go behavior under measurable SAFE-equivalent conditions; R-REJ-001 would be grounded solely in architectural permission. Same antecedent structure, different evidentiary basis.","EV-02 (Rahim 2024); EV-03 (Gao 2024); EV-04 (Yamin 2025)","notes/Survival Decisions and Adaptation Strategies...; notes/Mapping the decision-making factors...; notes/Interplay of traditional knowledge...","Level C — strong domain evidence from empirical fisher behavioral studies; requires bounded geographic adaptation from Indonesia/Penang/Terengganu to Kota Kinabalu Sabah.","Geographic adaptation required: three underlying studies are from Makassar Indonesia, Penang Malaysia, and Terengganu Malaysia respectively. None from Sabah. Fisher behavioral patterns under SAFE conditions are expected to be broadly similar (all Zone A small-scale fishers) but local adaptation assessment is required.","Three independent empirical studies converge on fisher Go behavior under all-SAFE-equivalent conditions: Rahim et al. (2024) Fishing season (full operations), Gao (2024) tripartite go tier, Yamin et al. (2025) SAFE-equivalent departures. Independence is from different locations (Indonesia, Penang, Terengganu), different methodologies (behavioral regime documentation, qualitative interview mapping, SEM survey), and different research teams. Convergent evidence for Go in SAFE state. Note: EV-08 (dataset-label-derivation.md) is an internal synthesis of EV-02, EV-03, EV-04 — not counted as a fourth independent source.","Three independent empirical studies document favourable-conditions behaviour: Rahim et al. (2024) Fishing season = full operations under generally good conditions; Gao (2024) go tier = full operations under favourable conditions; Yamin et al. (2025) SAFE-equivalent conditions = full operations. The environmental premise is: under favourable operating conditions, fishers proceed to sea. Note: the studies do not directly observe the exact canonical five-component SAFE conjunction; that conjunction is an architecture-level operationalisation of this broader empirical pattern.","Level C","The Go advisory type is the direct architectural counterpart of the empirically documented proceeding-to-sea behaviour. An inference step is required: the canonical all-SAFE antecedent (all five component classifiers in their SAFE bands) is an architecture-level operationalisation of the broader favourable-conditions pattern documented in the studies. No study directly validates this exact five-component conjunction as the precondition for a Go recommendation.","Level C — same level as premise support; direct behavioral analog.","YES","Empirical: three studies document favourable-conditions/proceeding behaviour (Rahim Fishing season, Gao go tier, Yamin SAFE-equivalent ops). Architecture: the canonical all-SAFE antecedent is a project-level operationalisation of this broader empirical pattern. Bridge: favourable operating conditions -> fishers proceed to sea [empirical] -> all five component classifiers in SAFE band [architectural operationalisation] -> Go advisory candidate.","Studies document fisher behavior not advisory recommendation systems. The canonical five-component antecedent is an architectural operationalization of SAFE state; no study validates exactly this conjunction. Limitation disclosed in scientific_rationale.","NONE within current RS_candidate: No Delay rule in RS_candidate(SAFE). Go+Delay conflict not possible. If a Delay rule is added to SAFE state in a future batch the conflict_risk must be reassessed.","CONDITIONALLY SUPPORTED","Go rule antecedent is functionally equivalent to SAFE -> Go in antecedent structure. Its scientific status rests entirely on three empirical studies that document fisher Go behavior under SAFE-equivalent conditions. Note: the antecedent distinction from R-REJ-001 is evidentiary (behavioral grounding), not structural (antecedent form)."
"R-CAUTION-001","CAUTION","Marine warning level m = advisory (Category 1 — MET Malaysia: berbahaya kepada bot-bot kecil / dangerous to small boats). Antecedent requires the marine warning variable to carry an active Category 1 advisory.","{m}","Delay","reason: A marine advisory (Category 1) is currently active. MET Malaysia indicates conditions at this level are hazardous to small boats. Departure delay is recommended pending improvement in conditions.","STRUCTURAL CHECK — PASS: Delay IN A_AI(CAUTION). Admissibility precondition of Theorem C.3 satisfied at specification level.","LOW RISK — The antecedent (m = advisory) is a specific environmental variable reading within CAUTION state. It is NOT re-encoding S == CAUTION: m = advisory is one of the possible CAUTION-triggering conditions. If m = advisory is absent (m = none), this rule does not fire — the rule is more specific than the state classification.","EV-01 (MET Malaysia Category 1)","docs/implementation/data-source-met-malaysia.md; MET Malaysia Kawasan Perairan warning criteria","Level A — direct normative authority: MET Malaysia as the national meteorological agency explicitly identifies Category 1 as hazardous for small vessels.","MINIMAL — MET Malaysia applies to all Malaysian waters including Sabah coastal waters. Category 1 advisory is issued for the Kawasan Perairan zones covering the study site.","MET Malaysia's Kawasan Perairan bulletin at Category 1 level explicitly states conditions are dangerous for small boats (berbahaya kepada bot-bot kecil). This is a direct naming of the deployment population in a normative official warning. Note: EV-08 (dataset-label-derivation.md) is an internal synthesis, not an independent source for this rule — EV-01 is the sole empirical authority.","MET Malaysia Category 1 bulletin explicitly states conditions are 'berbahaya kepada bot-bot kecil' (dangerous to small boats). This directly names the target population (small boats) at risk under the antecedent condition (m = advisory / Category 1). P_ENV evidence level: Level A — normative authority from the national meteorological agency.","Level A","MET Category 1 establishes that conditions are dangerous to small boats (P_ENV). MET does not explicitly prescribe 'delay departure' as the operational response. The Delay advisory is the standard maritime pre-departure response to an active danger warning for small vessels, but this step is not explicitly stated in the MET Kawasan Perairan bulletin. An inference bridge from danger warning to delay departure is required.","Level C — inferred from standard maritime safety practice; MET supplies P_ENV at Level A but P_ADV requires inference.","YES","Standard maritime safety practice: an official danger warning to small boats issued by the national meteorological agency implies that small boat operators should delay departure until the warning is lifted or conditions improve. No direct MET bulletin text states 'fishers should delay departure' — this is the standard operational interpretation of a danger warning.","Level A evidence establishes P_ENV (conditions are dangerous to small boats). P_ADV (delay departure is the appropriate response) is inferred from standard maritime safety practice and is not explicitly prescribed by MET. The inference is well-founded and the mapping is low-risk, but it is an inference. R-CAUTION-001 status is CONDITIONALLY SUPPORTED rather than SUPPORTED because P_ADV relies on inference from P_ENV.","NONE within current RS_candidate: R-CAUTION-001 concludes Delay. No Go rule in RS_candidate(CAUTION). If multiple CAUTION components are active (e.g. m = advisory AND o in CAUTION band) then R-CAUTION-001 and R-CAUTION-002 may both fire — both conclude Delay with different explanations. COMPATIBLE.","CONDITIONALLY SUPPORTED","Strongest rule in the candidate register by premise evidence level (Level A from MET Malaysia). P_ENV is directly supported at Level A. P_ADV requires one inference step (danger warning -> delay departure) that is well-founded but not explicitly stated by MET. Status is CONDITIONALLY SUPPORTED to reflect this inference bridge. Previous closure record listed status as SUPPORTED — corrected per Final Repair."
"R-CAUTION-002","CAUTION","Wave height o in vessel-category CAUTION band: for small vessel (GRT < 10): o >= 1.0 m AND o <= 1.25 m; for medium (GRT 10-25): o >= 1.4 m AND o <= 2.8 m; for big (GRT > 25): o >= 1.5 m AND o <= 3.5 m.","{o, v}","Delay","reason: Wave height is within the caution range for your vessel category. Departure delay is recommended pending improvement in sea conditions.","STRUCTURAL CHECK — PASS: Delay IN A_AI(CAUTION). Admissibility precondition of Theorem C.3 satisfied at specification level.","MODERATE RISK — The antecedent thresholds (1.0 m onset for small vessel) are the same thresholds used in g_o to determine CAUTION state. The classifier boundary and the rule antecedent coincide. This is structurally unavoidable if the rule is conditioned on the same variable used for state classification, but it means the rule fires iff g_o fires. Documented as classifier_duplication risk.","EV-05 (Jeong & Im 2023); EV-06 (Yaakob et al. 2015); EV-03 (Gao 2024 cautious-go under marginal conditions)","notes/Proposal of Restrictions on the Departure of Korea Small Fishing Vessel...; notes/Stability Seakeeping and Safety Assessment...; notes/Mapping the decision-making factors...","Level C — strong domain evidence from Korean departure restriction study and Malaysian vessel seakeeping study; empirical convergence from independent methodologies.","Jeong & Im (2023): Korean vessel geometry differs from Malaysian traditional wooden fishing vessels. The Hs_KIMO formula was calibrated to Korean proportions. Threshold alignment with 1.0 m CAUTION onset is close (Hs_KIMO = 1.13 m for 10 m LOA) but not identical. Yaakob et al. (2015): Johor coast, not Sabah — geographic adaptation required within Malaysia.","Jeong & Im (2023) analyzed 66 Korean small fishing vessel capsizing incidents and derived Hs_KIMO approx 1.13m for 10m LOA vessels; proposed departure restriction at Hs >= 1.0m. Yaakob et al. (2015) found Malaysian small vessels (6.54m LOA) exceed NORDFORSK seakeeping criteria at Hs approx 1.875m, with operational limit approx 1.25m — consistent with the architecture's small-vessel CAUTION band upper limit. Two studies from independent methodologies (incident analysis vs. naval architecture) and independent locations (Korea vs. Malaysia) reach convergent wave height thresholds for small-vessel operational concern.","Jeong & Im (2023) documents 66 Korean small vessel capsizing incidents at wave heights in the CAUTION-band range — establishing that wave heights in this range cause physical risk to small vessels. Yaakob et al. (2015) documents seakeeping operability failures for Malaysian small vessels at wave heights consistent with the CAUTION band. Both independently establish P_ENV: wave height in the CAUTION band creates physical risk and operability concern for small vessels.","Level C","Jeong & Im (2023) proposes departure restrictions (management framework) for small vessels at Hs >= 1.0m. Yaakob et al. (2015) identifies seakeeping operability limits but does not explicitly prescribe Delay as the response. Both studies support restricting departure behavior under CAUTION-band wave conditions, but neither explicitly prescribes a 'Delay departure' advisory. P_ADV requires an inference from operability restriction/departure restriction to the Delay recommendation type.","Level C — inferred; no study explicitly prescribes Delay advisory for the CAUTION-band antecedent.","YES","Physical risk to small vessels under CAUTION-band wave conditions (P_ENV) + departure restriction proposed (Jeong & Im) + operability limits identified (Yaakob et al.) -> Delay is the appropriate pre-departure advisory action when the vessel cannot operate safely. The inference connects documented physical risk and departure restriction evidence to the Delay recommendation type.","Neither source explicitly recommends a 'Delay' advisory for the CAUTION-band antecedent specifically. The inference from departure restriction / operability concern to Delay advisory is well-founded but not directly evidenced. Korean vessel geometry adds adaptation uncertainty.","COMPATIBLE with R-CAUTION-001: if m = advisory AND o in CAUTION band both active then R-CAUTION-001 and R-CAUTION-002 both fire with Delay conclusions — dual-Delay, distinct explanations, no type-level conflict. Advisory aggregation (which Delay message to surface) is an implementation concern, not a scientific conflict.","CONDITIONALLY SUPPORTED","Threshold coincides with Layer 2 boundary. Independent empirical grounding exists (Jeong & Im 2023; Yaakob et al. 2015) from Korean and Johor coast contexts. Adaptation to Sabah is required. P_ENV is well-supported at Level C; P_ADV requires inference bridge (restriction -> Delay advisory)."
"R-CAUTION-003","CAUTION","Rainfall intensity r in CAUTION band: r rate > 10.0 mm/hr AND r rate <= 20.0 mm/hr. Antecedent requires that g_r is the reason for CAUTION classification (rainfall-driven CAUTION episode).","{r}","Delay","reason: Rainfall intensity is within the caution range. Elevated precipitation may reduce visibility and increase hazard for small vessels. Departure delay is recommended.","STRUCTURAL CHECK — PASS: Delay IN A_AI(CAUTION). Admissibility precondition of Theorem C.3 satisfied at specification level.","MODERATE RISK — Same threshold coincidence issue as R-CAUTION-002. Layer 2 uses r > 10.0 mm/hr -> g_r = CAUTION. Layer 3 antecedent uses the same boundary. Unavoidable if rainfall-CAUTION is to be conditioned on g_r.","EV-02 (Rahim 2024 East season — heavy rainfall -> restricted operations)","notes/Survival Decisions and Adaptation Strategies...; docs/implementation/dataset-label-derivation.md §4","Level C — empirical fisher behavioral study from Indonesian coastal fisheries documenting behavioral restriction under heavy rainfall conditions; verified as rainfall-primary by dataset-label-derivation.md §3.1.","Rain regime differences between Makassar Indonesia and Kota Kinabalu Sabah must be assessed. East season in Makassar: heavy monsoon rainfall. Sabah has distinct wet seasons; the 10.0 mm/hr CAUTION onset boundary applies to both but the seasonal context differs.","Rahim et al. (2024) East season documents explicit behavioral restriction under heavy rainfall conditions (reduced trip frequency from 5-6/week to 2-3/week, trip duration reduced from 7-10 hours to 3-5 hours, near-shore constraint). Source-verified as rainfall-primary (not wind-primary) despite apparent inconsistency in source description — see dataset-label-derivation.md §3.1. Note: EV-08 synthesizes EV-02 and is not an additional independent source.","Rahim et al. (2024) East season documents reduced fishing operations and near-shore restriction during heavy rainfall. Direct behavioral evidence that heavy rainfall creates conditions under which small-scale fishers restrict operations — establishing P_ENV: heavy rainfall (CAUTION-band rate) creates operational risk that restricts fisher behavior.","Level C","Rahim et al. (2024) documents restricted behavior (reduced frequency, near-shore operations) as the empirical response to heavy rainfall — a Delay behavioral analog. However, the study documents naturally occurring behavioral restriction rather than an explicit 'delay departure' advisory recommendation. P_ADV requires inference from restricted behavior to Delay advisory type.","Level C — behavioral analog; inference required to connect restricted behavior to Delay recommendation.","YES","Restricted fishing behavior under heavy rain (Rahim 2024 East season) is the closest available behavioral analog to a Delay advisory. Fisher behavioral restriction under CAUTION-band rainfall conditions approx Delay recommendation. The inference connects the empirically observed behavioral pattern to the formal recommendation type.","The study documents behavioral patterns in a specific geographic context (Makassar, Indonesia) under heavy monsoon rainfall. The 10.0 mm/hr CAUTION boundary is a within-study-period threshold not directly validated by the study. Adaptation to Sabah rainfall regimes required.","COMPATIBLE with R-CAUTION-001 and R-CAUTION-002: if multiple conditions active all Delay rules with distinct explanations. No type-level conflict. Advisory aggregation remains an implementation concern.","CONDITIONALLY SUPPORTED","East season in Rahim (2024) was verified to be rainfall-driven CAUTION (see dataset-label-derivation.md §3.1 correction note). Indonesian context limits transferability. P_ENV supported at Level C; P_ADV via behavioral analog (inference required)."
"R-CAUTION-004","CAUTION","Wind speed w in CAUTION band: w >= 21.6 kn AND w <= 27.0 kn (MET Malaysia Category 1/2 onset). Antecedent requires that g_w is the reason for CAUTION classification (wind-driven CAUTION episode).","{w}","Delay","reason: Wind speed is within the caution range. Elevated wind may increase wave height and reduce vessel stability. Departure delay is recommended pending improvement in wind conditions.","STRUCTURAL CHECK — PASS: Delay IN A_AI(CAUTION). Admissibility precondition of Theorem C.3 satisfied at specification level.","MODERATE RISK — Same threshold coincidence as R-CAUTION-002 and R-CAUTION-003. Layer 2 uses w >= 21.6 kn -> g_w = CAUTION. The rule antecedent uses the same boundary. In practice g_w fires only 2 times in 43848 hours and never decides S (another component was always more severe — F-17). R-CAUTION-004 is empirically dormant at this site but is retained for transferability to sites with different wind profiles.","EV-03 (Gao 2024 — weather importance 3.75; cautious-go); EV-07 (Atacan & Duzbastilar 2023 — heavy weather increases accident risk)","notes/Mapping the decision-making factors...; notes/Determination of risk perception...","Level C — domain empirical evidence from Malaysian fisher decision mapping and Turkish navigator risk perception; requires geographic and methodological adaptation.","Gao (2024) Penang context. Atacan & Duzbastilar (2023) Turkish Mediterranean context. Both provide partial support for wind-driven risk at CAUTION-band wind speeds but neither directly validates the 21.6 kn threshold or the Delay advisory specifically. Methodological translation from risk perception (EV-07) and behavioral mapping (EV-03) to a prescriptive Delay advisory requires interpretation.","Gao (2024) documents cautious-go behavior correlated with weather variables (importance rating 3.75/5) with abbreviated trips and near-shore constraint under elevated wind. Atacan & Duzbastilar (2023) documents elevated accident risk at 5 Beaufort (approx 17-21 kn) — approaching the Layer 2 CAUTION threshold. Both studies provide partial empirical grounding for wind-conditioned behavior change, from independent geographic and methodological contexts.","Gao (2024) documents elevated wind conditions as a factor triggering cautious-go behavior (reduced trip scope) in Penang. Atacan & Duzbastilar (2023) documents significantly elevated accident risk at 5 Beaufort (approx 17-21 kn). Both establish P_ENV: elevated wind at CAUTION-band speeds creates operational risk that influences fisher/navigator behavior.","Level C","Gao (2024) cautious-go under elevated wind is not equivalent to Delay — cautious-go means proceed with caution, not delay departure. Atacan & Duzbastilar (2023) documents risk elevation and recommends cancellation only if precautions are insufficient, not explicit Delay. Neither study explicitly recommends a Delay advisory for wind-CAUTION conditions. P_ADV requires inference from elevated risk perception and cautious-go behavior to Delay recommendation. This is the weakest advisory mapping evidence in the CAUTION candidate set.","Level C — inference required; weakest P_ADV mapping in the CAUTION candidate set. Gao cautious-go could map to either Go (with qualifier) or Delay — see OPEN-L3-3.","YES","Elevated wind risk (Gao cautious-go, Atacan elevated accident risk) -> restricted behavior under wind-CAUTION conditions -> Delay is the more conservative recommendation when no physical-operability evidence (like EV-05/EV-06 for waves) is available. The mapping from risk elevation to Delay is the broadest inference bridge in the candidate set.","R-CAUTION-004 has the weakest advisory mapping evidence in the candidate set. Gao (2024) cautious-go could plausibly map to either Go-with-caution-qualifier or Delay — this ambiguity intersects with OPEN-L3-3 (CAUTION Go presentation vs. rule semantics). Atacan & Duzbastilar (2023) Turkish context substantially different from Sabah. g_w fires only twice in 5 years at the study site (F-17); the rule is empirically dormant here but retained for cross-site transferability.","COMPATIBLE with R-CAUTION-001, R-CAUTION-002, R-CAUTION-003: simultaneous Delay rules produce multiple advisories with distinct explanations. No conclusion-type contradiction identified in the current candidate rule set. Advisory aggregation remains an implementation concern.","CONDITIONALLY SUPPORTED","g_w activates only 2 times in 43848 hours at the study site and never decides the final S classification (F-17: another component was always more severe). R-CAUTION-004 is empirically dormant at this site. Retained for architectural completeness and transferability. Weakest advisory mapping evidence in the candidate set. OPEN-L3-3 (CAUTION-Go presentation semantics) may affect interpretation of cautious-go evidence for this rule."
"R-REJ-001","SAFE","IF S == SAFE THEN Go — pure state-conditional advisory: Go solely because the classification is SAFE.","{}","Go","N/A — REJECTED","STRUCTURAL CHECK — PASS (would be admissible if proposed) — but REJECTED on scientific grounds","NOT APPLICABLE — REJECTED","None: this candidate relies only on the state classification as its justification. Architecture allows Go in SAFE but architecture permission is not scientific justification.","—","UNSUPPORTED — no evidence establishes that S == SAFE as the sole antecedent warrants a Go advisory","None required — REJECTED","No scientific rationale — REJECTED. The sole justification would be architectural permission (Go IN A_AI(SAFE)) without independent behavioral or empirical grounding. Note: R-SAFE-001 has the same antecedent structure (functionally equivalent to S == SAFE under max-severity) but is grounded in three empirical studies — the distinction between R-SAFE-001 (accepted) and R-REJ-001 (rejected) is evidentiary, not structural.","N/A — REJECTED","N/A","N/A — REJECTED","N/A","N/A — REJECTED","N/A — REJECTED","N/A — REJECTED","N/A","REJECTED","State-restatement without independent evidence. SAFE -> Go is the pattern explicitly prohibited by the task: Do not encode state-restatement rules (IF S == SAFE THEN Go). The distinction from R-SAFE-001 is evidentiary: R-SAFE-001 provides behavioral studies documenting Go under measurable SAFE-equivalent conditions; R-REJ-001 provides only architectural permission."
"R-REJ-002","CAUTION","IF S == CAUTION THEN Delay — pure state-conditional advisory: Delay solely because the classification is CAUTION.","{}","Delay","N/A — REJECTED","STRUCTURAL CHECK — PASS (would be admissible if proposed) — but REJECTED on scientific grounds","NOT APPLICABLE — REJECTED","None: this candidate relies only on the state classification as its justification. REJECTED because it violates the core requirement to distinguish rule content from state classification.","—","UNSUPPORTED — no evidence establishes that S == CAUTION as the sole antecedent warrants a Delay advisory","None required — REJECTED","No scientific rationale — REJECTED. No study establishes that CAUTION state as a classification is itself sufficient to recommend Delay without specifying what environmental variable triggered CAUTION. The CAUTION rules (R-CAUTION-001 through R-CAUTION-004) each specify the CAUTION-triggering condition as the antecedent.","N/A — REJECTED","N/A","N/A — REJECTED","N/A","N/A — REJECTED","N/A — REJECTED","N/A — REJECTED","N/A","REJECTED","State-restatement without independent evidence. CAUTION -> Delay is the pattern explicitly prohibited by the task: Do not encode state-restatement rules (IF S == CAUTION THEN Delay). CAUTION state arises from multiple possible triggering conditions — a rule should specify which condition it responds to."
"R-REJ-003","SAFE","IF wave > CAUTION threshold for vessel THEN Delay (in SAFE state) — e.g. for small vessel: IF o > 1.0 m THEN Delay. Applying CAUTION threshold in SAFE state.","{o, v}","Delay","N/A — REJECTED","NOT APPLICABLE — REJECTED: wave > 1.0m for small vessel classifies as CAUTION at Layer 2. The antecedent can only occur in CAUTION or UNSAFE state, never SAFE.","CLASSIFIER_DUPLICATION — critical: the antecedent (o > vessel CAUTION threshold) is precisely the condition that removes this episode from SAFE state. The rule cannot fire in the state for which it is specified.","—","REJECTED — structurally impossible as a SAFE-state rule","None required — REJECTED","None required — REJECTED on structural grounds.","No scientific rationale — REJECTED on structural grounds. A rule with the antecedent o > small-vessel CAUTION onset (1.0m) cannot fire in SAFE state: o > 1.0m implies g_o(o, small) >= CAUTION implies S >= CAUTION by max-severity, which moves the episode out of SAFE and into CAUTION. Layer 3 in SAFE state uses RS(SAFE) and receives an episode that by definition has o <= 1.0m for small vessel. The antecedent is unreachable in the state for which the rule is specified.","N/A — REJECTED","N/A","N/A — REJECTED","N/A","N/A — REJECTED","N/A — REJECTED","N/A — REJECTED","N/A","REJECTED","The antecedent (o > CAUTION threshold) cannot occur in SAFE state. Correctly formulated as R-CAUTION-002 (CAUTION state wave Delay rule)."
"R-REJ-004","SAFE","IF sunrise -> DepartureTime — recommend departure at sunrise time because sunrise marks the Layer 2 SAFE/UNSAFE governance transition.","{t}","DepartureTime","N/A — REJECTED","STRUCTURAL CHECK — PASS (would be admissible if proposed) — but REJECTED on scientific grounds","MODERATE RISK — uses Layer 2 boundary (sunrise) as Layer 3 trigger. Sunrise is the Layer 2 g_t SAFE onset boundary. Using it as a Layer 3 rule antecedent re-encodes Layer 2 logic as Layer 3 content.","—","UNSUPPORTED: COLREGs Rule 20(b) provides the sunset-to-sunrise navigation light boundary that grounds g_t (Layer 2). It does not establish an advisory departure time.","Required but impossible without evidence","None required — REJECTED.","No scientific rationale — REJECTED. COLREGs Rule 20(b) establishes the sunset-to-sunrise navigation light boundary used by g_t (Layer 2 governance). It provides the governance participation boundary, not an advisory trigger for departure time. dataset-label-derivation.md Section 6.3 explicitly defers DepartureTime labeling to RQ5 fieldwork.","N/A — REJECTED","N/A","N/A — REJECTED","N/A","N/A — REJECTED","N/A — REJECTED","N/A — REJECTED","N/A","REJECTED","Layer 2 uses sunrise as the governance participation boundary (g_t SAFE boundary). This does not establish an advisory departure time. dataset-label-derivation.md Section 6.3 explicitly defers DepartureTime labeling to RQ5 fieldwork."
"R-REJ-005","SAFE","IF sunset - departure >= minimum_daylight THEN Duration = (sunset - departure_time) — derive maximum trip duration from the Layer 2 g_t boundary (sunset).","{t}","Duration","N/A — REJECTED","STRUCTURAL CHECK — PASS (would be admissible if proposed) — but REJECTED on scientific grounds","MODERATE RISK — derives Layer 3 content (Duration) directly from Layer 2 boundary (sunset). Sunset is the Layer 2 g_t UNSAFE onset. Re-encoding this as a trip duration is Layer 2 boundary reuse in Layer 3.","—","UNSUPPORTED: g_t uses sunset as the governance participation boundary — not as an advisory trip duration. No study in the repository supports the claim that appropriate trip duration equals time-until-sunset.","Required but impossible without evidence","None required — REJECTED.","No scientific rationale — REJECTED. g_t uses sunset to determine when AI advisory is no longer permitted (Layer 2 governance). Using this boundary as a trip duration advisory endpoint would re-encode the same architectural logic as a rule, without independent evidence that this is the appropriate trip duration. dataset-label-derivation.md Section 6.3 explicitly defers Duration labeling to RQ5 fieldwork.","N/A — REJECTED","N/A","N/A — REJECTED","N/A","N/A — REJECTED","N/A — REJECTED","N/A — REJECTED","N/A","REJECTED","Daylight window does not equal trip duration advisory without independent evidence. The task specification explicitly identifies this pattern (Layer 2 boundary reuse in Layer 3) as a defect to avoid. dataset-label-derivation.md Section 6.3 explicitly defers Duration labeling to RQ5 fieldwork."
