"algorithm","contract_section","content","authority"
"Algorithm 3","input","S in {SAFE, CAUTION, UNSAFE}; G(S) in {0,1}; A_AI(S) subset of R = {Go, Delay, DepartureTime, Duration}; repository (configured production-rule set with type(rho) in R for each rule); candidate : repository x S -> 2^repository (deployment-defined selector)","appendix-c C.3; C.4; C.7.1; algorithm-specification.md §17"
"Algorithm 3","output","RS(S) — the rule set supplied to Layer 3 for the current decision episode; or a bounded CONFIGURATION_FIDELITY_FAILURE (no reasoning begins)","appendix-c C.7.1; algorithm-specification.md §17"
"Algorithm 3","precondition P1","S in {SAFE, CAUTION, UNSAFE} — a valid output of Algorithm 1","appendix-c Theorem C.1b"
"Algorithm 3","precondition P2","(G(S), A_AI(S)) is the corresponding Algorithm 2 output","algorithm-specification.md §13–§14"
"Algorithm 3","precondition P3","Rule repository is configured; for each rule rho the conclusion type type(rho) in R is well-defined","appendix-c C.7.1"
"Algorithm 3","precondition P4","Reasoning has not yet begun for this decision episode","appendix-c C.7.1 (RS(S) supplied before reasoning); algorithm-specification.md §8"
"Algorithm 3","postcondition Q1","ConclusionTypes(RS(S)) subset of A_AI(S) — enforced at lines 5–9 (no silent filtering) and delivered by line 10","appendix-c C.7.1; Theorem C.3 A2"
"Algorithm 3","postcondition Q2","G(S) = 0 implies RS(S) = empty — enforced at lines 1–3","appendix-c C.3; C.6"
"Algorithm 3","postcondition Q3","RS(UNSAFE) = empty — follows from Q2 since G(UNSAFE) = 0","appendix-c C.3; C.6; C.7.1"
"Algorithm 3","postcondition Q4","No AI(E) element is produced — Algorithm 3 emits only a rule set (or a bounded configuration/fidelity failure)","algorithm-specification.md §17"
"Algorithm 3","postcondition Q5","If the candidate rule set violates the conclusion-type constraint, supply is refused. S is not modified; no new safety state is invented; runtime handling beyond refusal is bounded OPEN-B3-1","appendix-c C.2.0.5–6; open-decisions-batch3.csv OPEN-B3-1"
"Algorithm 3","bounded_language","Algorithm 3 makes L2 (ConclusionTypes(RS(S)) subset of A_AI(S)) an explicit algorithmic enforcement contract. It does not re-prove Theorem C.3","algorithm-specification.md §22 (Safety-Dominance Dependency Trace)"
"Algorithm 4","input","E — resolved decision context (same E fed to Algorithm 1; do not silently redefine); S in {SAFE, CAUTION, UNSAFE}; G(S); A_AI(S); RS(S) from Algorithm 3; engine (production rule symbolic reasoner satisfying the fidelity assumption)","appendix-c C.1; C.8.2; C.7.1; C.7.2 A4; algorithm-specification.md §19"
"Algorithm 4","output","AI(E) subset of A_AI(S) — holds by construction from A3 Q1 + engine fidelity","appendix-c Theorem C.3 (Safety Dominance)"
"Algorithm 4","precondition P1","S in {SAFE, CAUTION, UNSAFE} (Theorem C.1b)","appendix-c Theorem C.1b"
"Algorithm 4","precondition P2","(G(S), A_AI(S)) produced by Algorithm 2","algorithm-specification.md §13–§14"
"Algorithm 4","precondition P3","RS(S) produced by Algorithm 3; ConclusionTypes(RS(S)) subset of A_AI(S); RS(UNSAFE) = empty","appendix-c C.7.1; algorithm-specification.md §17–§18"
"Algorithm 4","precondition P4","Engine fidelity (Theorem C.3 A4): fires only rules present in the active RS(S); no active rule produces a conclusion type outside its own conclusion. Implementation assumption — Batch 3 does not test it","appendix-c C.7.2 A4"
"Algorithm 4","precondition P5","State/rule-set consistency: the RS(S) supplied to the engine is RS(S_current), not a stale RS(S_prior) from a preceding episode","algorithm-specification.md §8; OPEN-B1-8"
"Algorithm 4","postcondition Q1","AI(E) subset of A_AI(S) — Safety Dominance (Theorem C.3). Holds by construction from P3 + P4; Algorithm 4 does not re-prove it","appendix-c Theorem C.3"
"Algorithm 4","postcondition Q2","G(S) = 0 implies AI(E) = empty (Case 1 of Theorem C.3)","appendix-c C.6; Theorem C.3 case 1"
"Algorithm 4","postcondition Q3","No advisory type outside A_AI(S) appears in AI(E) — by P3 and P4, not by a post-hoc filter","appendix-c C.7 (enforcement mechanism); algorithm-specification.md §19"
"Algorithm 4","postcondition Q4","Human authority unconditional: AI(E) = empty does not forbid human action; Go in AI(E) does not automatically approve departure","appendix-c C.8.2 step 6; architecture-illustration.md §3"
"Algorithm 4","bounded_language","Algorithm 4 implements the enforcement contract on which Theorem C.3 depends (A1–A4). It does not independently prove Safety Dominance","algorithm-specification.md §22"
