path,line,classification,relevance,disposition,text
docs/analysis/content-audit-check2-plan.md,62,active canonical,ordinary causal language; no provenance contract,reviewed; no scalar contract,"| [7] | Flehmig et al. | Three-level traffic-light (green/orange/red); at orange: supervisory checks intensify; at red: control → non-AI backup; AI advisory scope **identical at green and orange** | **Confirmed** | Notes §6 confirms: Level 2 (Orange) → thorough checks + root-cause investigation; Level 3 (Red) → switch to non-AI controller; ""AI recommendation scope does not vary across levels… identical at Level 1 and Level 2"" |"
docs/analysis/verification-flehmig-shamsujjoha.md,40,active canonical,ordinary causal language; no provenance contract,reviewed; no scalar contract,"| Level 3 | Red | Performance exceeds safe range; ""control should be transferred to the conventional non-AI safety controller"" | Analyze root cause; initiate countermeasures |"
docs/canonical/CHANGELOG.md,8,active canonical,taxonomy/provenance reference,reviewed; no scalar contract,"- **Cause taxonomy semantic cleanup CLOSED** — [standalone report](cleanup-report-cause-taxonomy-2026-09-08.md). Appendix C and CLAUDE now define `reasons : Q → 𝒫({fault, hazard, policy})`; SAFE has ∅, concurrent triggers survive, and provenance never participates in governance. Exhaustive 12,288-case verification and frozen-file integrity checks pass. Runtime implementation remains outstanding."
docs/canonical/CHANGELOG.md,9,superseded/provenance,taxonomy/provenance reference,preserved historical wording,"- **Post-migration cause taxonomy audit** — [findings and proposal](finding-cause-taxonomy-audit-2026-09-08.md). Confirmed night-policy mismatch, SAFE fallback, mixed-trigger loss and missing context. Proposed explicit policy provenance with a set of active reasons; 12,288 abstract cases checked. Audit complete; canonical definition and governance unchanged, migration still outstanding."
docs/canonical/appendix-c-formalisation.md,294,superseded/provenance,taxonomy/provenance reference,preserved historical wording,"*Canonical semantic cleanup, 2026-09-08, after SDR-001. Supersedes the scalar fault/hazard fallback; historical audit reports retain the earlier contract. This changes provenance semantics only.*"
docs/canonical/appendix-c-formalisation.md,323,active canonical,taxonomy/provenance reference,reviewed; no scalar contract,"**Active triggers, not a binding-cause partition.** All non-SAFE environmental triggers remain recorded even when a more severe component determines S. Retained component severities permit separate binding analysis, including ties. Reason shares may overlap and must not be summed to 100% without a separately defined mutually exclusive metric. Existing “weather-driven UNSAFE” metrics are not reinterpreted as a partition of these reason sets."
docs/canonical/appendix-c-formalisation.md,327,active canonical,ordinary causal language; no provenance contract,reviewed; no scalar contract,"**Specification boundary and operator wording.** This is a canonical contract, not a claim that a runtime logger, UI or engine currently implements it. No implemented cause function or consumer was found in scripts/ during cleanup. An implementation using this contract should say “AI advisory unavailable: nighttime policy applies.” For simultaneous wave restriction: “AI advisory unavailable: nighttime policy applies. Wave reading exceeds the configured band.” Human decision authority remains unconditional."
docs/canonical/appendix-c-formalisation.md,329,active canonical,taxonomy/provenance reference,reviewed; no scalar contract,**Closure:** the former OPEN taxonomy mismatch is closed at specification level by this contract. Verification and integrity evidence: [cleanup report](cleanup-report-cause-taxonomy-2026-09-08.md). Runtime trace capture remains unimplemented.
docs/canonical/appendix-c-formalisation.md,885,active canonical,ordinary causal language; no provenance contract,reviewed; no scalar contract,"**This case covers fault-driven UNSAFE.** If any non-excluded component resolves to ⊥ then S = UNSAFE by Corollary C.1b.1, G(UNSAFE) = 0, and (A3) gates Layer 3 off entirely — so the AI produces nothing, and Safety Dominance holds *a fortiori*. **A data-feed failure cannot cause the architecture to emit an out-of-scope recommendation; it causes it to emit none.**"
docs/canonical/approval-report-sdr-001-2026-09-08.md,256,historical,taxonomy/provenance reference,preserved historical wording,"| **`cause`** | ✅ **UNCHANGED** | `cause : Y → {fault, hazard}` |"
