claim_id,claim_type,RQ,definition,required_evidence,existing_evidence,status,blocker,next_action,manuscript_claim_allowed,manuscript_claim_prohibited
P1,FORMAL,RQ-J1,"For all valid E, f(E) returns exactly one element of {SAFE, CAUTION, UNSAFE}. The operational classifier F_{D,τ} = f ∘ ρ_{D,τ} is total under valid startup configuration (Theorem 6.1).","Proof by construction — Theorem C.1 (appendix-c C.1) and Theorem C.1b operational extension; Algorithm 1 Q1 postcondition (algorithm-specification.md §12).","appendix-c-formalisation.md §C.1 and §C.1b (Operational Totality); algorithm-specification.md §12 (Q1 postcondition); evaluation-specification.md §6 (P1 listed as proved).",CLOSED,null,"None — proof exists. Incorporate into manuscript §6.2 as Theorem 6.1 with explicit reference to C.1 and C.1b.","Theorem 6.1: for all valid E, f(E) returns exactly one element of {SAFE, CAUTION, UNSAFE}; F_{D,τ} is total under valid startup configuration.","Any empirical retest of totality; treating totality as a behavioral hypothesis; omitting the startup-precondition caveat (v unconfigured refuses startup without returning S)."
P2,FORMAL,RQ-J1,"S₁ ≻ S₂ ⇒ A_AI(S₁) ⊆ A_AI(S₂); strict containment A_AI(SAFE) ⊃ A_AI(CAUTION) ⊃ A_AI(UNSAFE) = ∅ (Theorem 6.2).","Proof by case analysis — Theorem C.2 (appendix-c C.6); Algorithm 2 exhaustive verification B21-B24 (algorithm-specification.md §15).","appendix-c-formalisation.md §C.2 and §C.6 (Monotonicity of A_AI; Corollary C.2 strict monotonicity); algorithm-specification.md §14 (Q3 Q4 Q5 Q6) and §15 (B21-B24); evaluation-specification.md §6 (P2 listed as proved).",CLOSED,null,"None — proof exists. Incorporate into manuscript §6.3 as Theorem 6.2.","Theorem 6.2: A_AI(SAFE) ⊃ A_AI(CAUTION) ⊃ A_AI(UNSAFE) = ∅; S₁ ≻ S₂ ⇒ A_AI(S₁) ⊆ A_AI(S₂).","Testing monotonicity empirically; treating the containment property as a behavioral claim requiring experimental validation; confusing A_AI containment with the claim that the architecture is safe in any physical sense."
P3,FORMAL,RQ-J1,"For all E, AI(E) ⊆ A_AI(f(E)); if f(E) = UNSAFE then AI(E) = ∅. Proved by construction from the RS(S) supply mechanism under assumptions A1-A4 (Theorem 6.3).","Proof by construction — Theorem C.3 (appendix-c C.7.2); the four-link dependency chain L1-L4 (algorithm-specification.md §22); assumptions A1-A4 explicitly stated.","appendix-c-formalisation.md §C.3 and §C.7.2 (Safety Dominance proof by construction); algorithm-specification.md §22 (Safety-Dominance Dependency Trace L1-L4); evaluation-specification.md §6 (P3 listed as proved under A1-A4); layer3-prototype-specification.md §15 (L1-L4 chain preserved through Batch 1).",CLOSED,null,"None — proof exists. Incorporate into manuscript §6.4 as Theorem 6.3. State assumptions A1-A4 explicitly alongside the theorem. Note that F1-F3 test implementation conformance to A1-A4.","Theorem 6.3: AI(E) ⊆ A_AI(f(E)) holds by construction under assumptions A1-A4. Proof depends only on the value of S and covers both ideal f(E) and operational F_{D,τ}.","Claiming Safety Dominance is empirically demonstrated (it is proved); omitting A1-A4 dependency; writing that F1/F2 PASS proves Theorem 6.3 — they confirm that the implementation conforms to the assumptions A1-A4 on which the theorem rests."
P4,FORMAL,RQ-J1,"Proposition J1-P1: at the admissible-recommendation-set level, C1 (binary participation gate) and C3 (Flehmig-style traffic-light topology) are output-equivalent: A_C1(S) = A_C3(S) for all S ∈ {SAFE, CAUTION, UNSAFE}.","Finite-mapping comparison from canonical mapping literals (one-line proof); trace confirmation from retrospective replay.","scripts/condition_comparison.py lines 90-105 (mapping tables: both C1 and C3 map CAUTION to FULL); evaluation-specification.md §4 (Fairness qualification) and §6 (J1-P1 three evidence levels); E6 trace confirmation 0.00% (evaluation-specification.csv row J1-P1).",CLOSED,null,"None — proved analytically; trace confirmation exists. Incorporate into manuscript §6 as Proposition J1-P1. Travel with Flehmig fairness qualification in every occurrence.","Proposition J1-P1: A_C1(S) = A_C3(S) for all S — proved by one-line finite-mapping comparison. The 0.00% replay divergence confirms implementation consistency of the mapping. Flehmig et al. condition their governance on AI degradation; C3 ports their governance topology onto the shared state axis to compare admissible-output structure.","Writing that Flehmig's actual system was reproduced or tested; calling 0.00% a discovery of an uncertain phenomenon; omitting the fairness qualification; treating C3 as a fourth experimental arm in the primary experiment."
F1,FIDELITY,RQ-J1,"The Layer 3 rule engine produces no recommendation type outside A_AI(S) across the exhaustive interface-contract fidelity state space: ∀ (episode, advisory) : advisory.type ∈ A_AI(S).","F1_violations = 0 across all evaluated episodes; F1_violation_rate = 0.0000; denominator = interface-contract-exhaustive primary episode count.","data/journal1-layer3-prototype/batch5-fidelity-evaluation/report.md §13: F1 PASS, F1_violations=0, 292 primary episodes, 454 advisory records. data/journal1-layer3-prototype/batch5-fidelity-evaluation/fidelity-results.json.",CLOSED,null,"None — F1 = PASS (Batch 5, 2026-09-11). Report F1 PASS with denominator (292 episodes / interface-contract-exhaustive fidelity state space). Use bounded language: this is an implementation-fidelity result, not a re-proof of Theorem 6.3.","The frozen Layer 3 implementation produced zero advisory admissibility violations across the 292-episode deterministic fidelity state space (F1 PASS). F1 confirms that the implementation conforms to assumption A4 (engine fidelity) on which Theorem 6.3 rests.","Claiming F1 PASS constitutes a proof of Safety Dominance; claiming F1 covers the 43,848-hour retrospective replay; treating F1 as a behavioral hypothesis result; inflating the denominator beyond the 292-episode interface-contract state space."
F2,FIDELITY,RQ-J1,"The observed count of recommendations outside A_AI(S) is exactly zero across the evaluated episode set.","F2_violation_count = 0; F2_violation_rate = 0.0000; denominator = 292 primary episodes with advisory output check.","data/journal1-layer3-prototype/batch5-fidelity-evaluation/report.md §14: F2 PASS, F2_violation_count=0, 244 episodes with advisory output, 454 advisory records. data/journal1-layer3-prototype/batch5-fidelity-evaluation/fidelity-results.json.",CLOSED,null,"None — F2 = PASS (Batch 5, 2026-09-11). Report F2 PASS with bounded language: expected analytically zero under a conforming implementation (Theorem 6.3); F2 confirms conformance.","F2 violation count = 0 across 292 episodes (244 produced advisories). Analytically expected zero under a conforming implementation (Theorem 6.3). F2 is an implementation-fidelity check, not a behavioural experiment.","Claiming F2 empirically proves Safety Dominance; treating F2 = PASS as new scientific evidence beyond Theorem 6.3; quoting F2 without the bounded-language qualification."
F3,FIDELITY,RQ-J1,"RS(S) rule-set switching follows state transitions correctly; no stale rule-set persists across a transition. For every episode: rule_set_bound_for_state == S_new.","F3_mismatches = 0 across all evaluated episodes; F3_mismatch_rate = 0.0000.","data/journal1-layer3-prototype/batch5-fidelity-evaluation/report.md §15: F3 PASS, F3_mismatches=0, 292 episodes. data/journal1-layer3-prototype/batch5-fidelity-evaluation/fidelity-results.json.",CLOSED,null,"None — F3 = PASS (Batch 5, 2026-09-11). Report F3 PASS: RS(S) selection corresponded exactly to the governing state across all 292 evaluated episodes.","RS(S) rule-set selection corresponded exactly to the governing state across all 292 evaluated episodes (F3 PASS). No stale rule-set was observed in the fidelity state space.","Claiming F3 guarantees that no stale rule-set can ever occur at runtime under all possible concurrency scenarios (OPEN-B1-8 — state/rule-set consistency concurrency mechanism remains unspecified)."
E1,EMPIRICAL-TRACE,RQ-J3,"Pairwise admissible-set divergence between C0 (Ungated), C1 (Binary-gated), and C2 (Proposed) on the retrospective replay: % of departure-window hours where two conditions permit different admissible recommendation sets.","Canonical divergence values from scripts/condition_comparison.py under PRIMARY (5.00 yr ERA5-Ocean) and RESOLUTION (3.25 yr MFWAM) configurations.","evaluation-specification.csv row E1: PRIMARY C0↔C1 = 42.88%; C0↔C2 = 48.69%. C1↔C2 covered by Δ_L2 (E2). RESOLUTION canonical values in docs/canonical/empirical-findings-2026-09-06.md §0a and scripts/canonical_figures.py.",CLOSED,null,"None — canonical values exist. Report under both PRIMARY and RESOLUTION configurations. C1↔C2 = Δ_L2 = 5.81% (PRIMARY) / 4.48% (RESOLUTION).","PRIMARY: C0↔C1 = 42.88%; C0↔C2 = 48.69%; C1↔C2 = 5.81% (exact descriptive values for the analysed trace/configuration). Report both PRIMARY and RESOLUTION values.","Reporting as population estimates; applying p-values or confidence intervals; treating C1↔C2 separately from E2 (they are the same value from the ablation)."
E2,EMPIRICAL-TRACE,RQ-J4,"Isolated Level 2 contribution: Δ_L2 = divergence(C0,C2) − divergence(C0,C1). Ablation that removes the Level 1 term and isolates the Level 2 (A_AI(S)) contribution.","Canonical Δ_L2 values from scripts/condition_comparison.py under both configurations.","evaluation-specification.csv row E2: PRIMARY 48.69 − 42.88 = 5.81%; RESOLUTION 4.48%. evaluation-specification.md §10 (ablation design). docs/canonical/empirical-findings-2026-09-06.md §0a (Level 2 binding headline figures).",CLOSED,null,"None — canonical values exist. Report Δ_L2 = 5.81% (PRIMARY) / 4.48% (RESOLUTION) as the load-bearing empirical result for RQ-J4.","Δ_L2 = 5.81% (PRIMARY) / 4.48% (RESOLUTION) — the isolated Level 2 (A_AI(S)) contribution to C0↔C2 divergence, after removing the Level 1 (G(S)) term by subtraction. Exact descriptive values for the analysed trace.","Reporting Δ_L2 as the overall Level 2 binding rate without the ablation framing; treating as a population estimate; writing 5.81 ± something (spread between PRIMARY and RESOLUTION is a resolution-sensitivity result, not a confidence interval)."
E3,EMPIRICAL-TRACE,RQ-J3,"Resolution sensitivity: every empirical figure reported under PRIMARY (5.00 yr ERA5-Ocean ~50 km) and RESOLUTION (3.25 yr MFWAM ~8 km) configurations. The spread between configurations characterises resolution sensitivity, not a confidence interval.","Both configurations computed and reported for every empirical value in E1 E2 E4 E6.","scripts/canonical_figures.py (authoritative source for §0a); docs/canonical/empirical-findings-2026-09-06.md §0a; evaluation-specification.md §13 (PRIMARY/RESOLUTION reporting contract).",CLOSED,null,"None — dual-configuration values exist for all empirical claims. Enforce the reporting contract: every empirical figure in Journal 1 must appear under both configurations.","PRIMARY [value] / RESOLUTION [value] — the spread between configurations characterises resolution sensitivity. PRIMARY is the headline configuration (5.00 yr ERA5-Ocean ~50 km).","Writing any empirical value as a single figure without the dual-configuration pair; treating the PRIMARY/RESOLUTION spread as a confidence interval; writing 5.81 ± 1.33 or equivalent."
