quantity_id,claim,metric,value,configuration,source_artefact,source_field,status,manuscript_location
Q-01,F1/F2/F3,primary episodes evaluated,292,interface-contract exhaustive census,data/journal1-layer3-prototype/batch5-fidelity-evaluation/fidelity-results.json,F1.episodes_evaluated / F2.episodes_evaluated / F3.episodes_evaluated,CLOSED,S9.5 Table 5; S11.2
Q-02,F1,advisory records evaluated,454,interface-contract exhaustive census,data/journal1-layer3-prototype/batch5-fidelity-evaluation/fidelity-results.json,F1.advisory_records_evaluated,CLOSED,S9.5 Table 5; S9.5 Table 6 total; S11.2
Q-03,F1,violations,0,interface-contract exhaustive census,data/journal1-layer3-prototype/batch5-fidelity-evaluation/fidelity-results.json,F1.violations,CLOSED,S9.5 Table 5; S11.2
Q-04,F2,episodes with advisory,244,interface-contract exhaustive census,data/journal1-layer3-prototype/batch5-fidelity-evaluation/fidelity-results.json,F2.episodes_with_advisory,CLOSED,S9.5 Table 5; S9.5 episode composition
Q-05,F2,violation count,0,interface-contract exhaustive census,data/journal1-layer3-prototype/batch5-fidelity-evaluation/fidelity-results.json,F2.violation_count,CLOSED,S9.5 Table 5; S11.2
Q-06,F3,SAFE episodes,32,interface-contract exhaustive census,data/journal1-layer3-prototype/batch5-fidelity-evaluation/fidelity-results.json,F3.SAFE_episodes,CLOSED,S9.5 Table 5; S9.5 episode composition
Q-07,F3,CAUTION episodes,260,interface-contract exhaustive census,data/journal1-layer3-prototype/batch5-fidelity-evaluation/fidelity-results.json,F3.CAUTION_episodes,CLOSED,S9.5 Table 5; S9.5 Table 6 header
Q-08,F3,rule sets examined,292,interface-contract exhaustive census,data/journal1-layer3-prototype/batch5-fidelity-evaluation/fidelity-results.json,F3.rule_sets_examined,CLOSED,S9.5 Table 5
Q-09,F3,mismatches,0,interface-contract exhaustive census,data/journal1-layer3-prototype/batch5-fidelity-evaluation/fidelity-results.json,F3.mismatches,CLOSED,S9.5 Table 5; S11.2
Q-10,F1/F2 composition,CAUTION episodes with empty advisory,16,interface-contract exhaustive census,data/journal1-layer3-prototype/batch5-fidelity-evaluation/reporting-repair.json,trace_derived_authoritative_values.empty_advisory_CAUTION_episodes,CLOSED,S9.5 episode composition
Q-11,F3 scope,UNSAFE gate-off cases (reported separately),162,interface-contract exhaustive census,data/journal1-layer3-prototype/batch5-fidelity-evaluation/state-space-manifest.json,GATED_UNSAFE_cases,CLOSED,S9.5 after Table 5
Q-12,F1 semantics,conclusion-type evaluations (NOT distinct types),244,interface-contract exhaustive census,data/journal1-layer3-prototype/batch5-fidelity-evaluation/fidelity-results.json,F1.conclusion_types_evaluated,CLOSED,S9.5 244-count clarification
Q-13,Rule activation,R-CAUTION-001 selected / TRUE / fired / advisories,260 / 130 / 130 / 130,interface-contract exhaustive census,data/journal1-layer3-prototype/batch5-fidelity-evaluation/rule-activation-summary.csv,"times_selected, predicate_TRUE, times_fired, advisories_generated",CLOSED,S9.5 Table 6
Q-14,Rule activation,R-CAUTION-002 selected / TRUE / fired / advisories,260 / 108 / 108 / 108,interface-contract exhaustive census,data/journal1-layer3-prototype/batch5-fidelity-evaluation/rule-activation-summary.csv,"times_selected, predicate_TRUE, times_fired, advisories_generated",CLOSED,S9.5 Table 6
Q-15,Rule activation,R-CAUTION-003 selected / TRUE / fired / advisories,260 / 108 / 108 / 108,interface-contract exhaustive census,data/journal1-layer3-prototype/batch5-fidelity-evaluation/rule-activation-summary.csv,"times_selected, predicate_TRUE, times_fired, advisories_generated",CLOSED,S9.5 Table 6
