new_key,conference_key,reference_text,metadata_source,source_type,metadata_complete,missing_fields,new_to_journal1
1,11,"I.F. Ramos, G. Gianini, M.C. Leva, and E. Damiani, ""Collaborative intelligence for safety-critical industries: A literature review,"" *Information*, vol. 15, no. 11, p. 728, 2024. doi: 10.3390/info15110728",publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,conference manuscript (verified),YES,,no
2,21,"J. Perez-Cerrolaza, J. Abella, M. Borg, C. Donzella, J. Cerquides, F. J. Cazorla, C. Englund, M. Tauber, G. Nikolakopoulos, and J. L. Flores, ""Artificial intelligence for safety-critical systems in industrial and transportation domains: A survey,"" *ACM Computing Surveys*, vol. 56, no. 7, article 176, 2024. doi: 10.1145/3626314",publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,conference manuscript (verified),YES,,no
3,5,"V. Indykov, D. Strüber, and R. Wohlrab, ""Architectural tactics to achieve quality attributes of machine-learning-enabled systems: A systematic literature review,"" *Journal of Systems and Software*, vol. 223, p. 112373, 2025. doi: 10.1016/j.jss.2025.112373",publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,conference manuscript (verified),YES,,no
4,7,"N. Flehmig, M. A. Lundteigen, and S. Yin, ""Implementing artificial intelligence in safety-critical systems during operation: Challenges and extended framework for a quality assurance process,"" in *Proc. IEEE IECON 2024: 50th Annual Conf. IEEE Industrial Electronics Society*, 2024. doi: 10.1109/IECON55916.2024.10906021",publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,conference manuscript (verified),YES,,no
5,13,"A. Baxi, ""The comprehension-gated agent economy: A robustness-first architecture for AI economic agency,"" *arXiv preprint* arXiv:2603.15639, 2026.",publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,conference manuscript (verified),YES,,no
6,16,"Abd. Rahim et al., ""Survival decisions and adaptation strategies of small-scale fishers in the face of extreme weather impacts in coastal areas,"" *Journal of Marine and Island Cultures*, vol. 13, no. 3, 2024. doi: 10.21463/jmic.2024.13.3.05",publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,conference manuscript (verified),YES,,no
7,1,"L. Yamin, T.-C. Kuo, and N. Aziz, ""Interplay of traditional knowledge and adaptive capacity in climate change adaptation of small-scale fishers in central Terengganu, Malaysia,"" *Frontiers in Marine Science*, vol. 12, p. 1492131, 2025. doi: 10.3389/fmars.2025.1492131",publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,conference manuscript (verified),YES,,no
8,3,"C. Atacan and F. O. Düzbastılar, ""Determination of risk perception in small-scale fishing and navigation,"" *Ege Journal of Fisheries and Aquatic Sciences*, vol. 40, no. 1, pp. 1–14, 2023. doi: 10.12714/egejfas.40.1.01",publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,conference manuscript (verified),YES,,no
9,2,"C. Dominguez-Péry, R. Tassabehji, F. Corset, and Z. Chreim, ""A holistic view of maritime navigation accidents and risk indicators: examining IMO reports from 2011 to 2021,"" *Journal of Shipping and Trade*, vol. 8, p. 11, 2023. doi: 10.1186/s41072-023-00135-y",publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,conference manuscript (verified),YES,,no
10,8,"B. Könighofer et al., ""Shields for safe reinforcement learning,"" *Communications of the ACM*, vol. 68, no. 11, pp. 80–90, 2025. doi: 10.1145/3715958",publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,conference manuscript (verified),YES,,no
