"case_id","algorithm","component_or_stage","input","expected_verdict","authority","result"
"B1","Algorithm 1","g_w","w = 21.6","g_w = SAFE","appendix-c C.2 g_w row (SAFE w <= 21.6)","PASS"
"B2","Algorithm 1","g_w","w = 27.0","g_w = CAUTION","appendix-c C.2 g_w row (CAUTION 21.6 < w <= 27.0)","PASS"
"B3","Algorithm 1","g_w","w = 27.1","g_w = UNSAFE","appendix-c C.2 g_w row (UNSAFE w > 27.0)","PASS"
"B4","Algorithm 1","g_r","r = 10.0; kappa = 0","g_r = SAFE","appendix-c C.2 g_r row (kappa = 0: SAFE r <= 10.0)","PASS"
"B5","Algorithm 1","g_r","r = 20.0; kappa = 0","g_r = CAUTION","appendix-c C.2 g_r row (kappa = 0: CAUTION 10.0 < r <= 20.0)","PASS"
"B6","Algorithm 1","g_r","any r; kappa = 1","g_r = UNSAFE","appendix-c C.2 g_r row (storm route: kappa = 1 -> UNSAFE)","PASS"
"B7","Algorithm 1","g_o (small)","v = small; o = 1.0","g_o = CAUTION","appendix-c C.2 g_o row (small: CAUTION 1.0 <= o <= 1.25)","PASS"
"B8","Algorithm 1","g_o (small)","v = small; o = 1.25","g_o = CAUTION","appendix-c C.2 g_o row (small: CAUTION 1.0 <= o <= 1.25)","PASS"
"B9","Algorithm 1","g_o (medium)","v = medium; o = 1.4","g_o = CAUTION","appendix-c C.2 g_o row (medium: CAUTION 1.4 <= o <= 2.8)","PASS"
"B10","Algorithm 1","g_o (medium)","v = medium; o = 2.8","g_o = CAUTION","appendix-c C.2 g_o row (medium: CAUTION 1.4 <= o <= 2.8)","PASS"
"B11","Algorithm 1","g_o (big)","v = big; o = 1.5","g_o = CAUTION","appendix-c C.2 g_o row (big: CAUTION 1.5 <= o <= 3.5)","PASS"
"B12","Algorithm 1","g_o (big)","v = big; o = 3.5","g_o = CAUTION","appendix-c C.2 g_o row (big: CAUTION 1.5 <= o <= 3.5)","PASS"
"B13","Algorithm 1","g_t","t = sunrise(date) exactly","g_t = SAFE","appendix-c C.2 g_t row (half-open: exact sunrise SAFE)","PASS"
"B14","Algorithm 1","g_t","t = sunset(date) exactly","g_t = UNSAFE","appendix-c C.2 g_t row (half-open: exact sunset UNSAFE)","PASS"
"B15","Algorithm 1","g_t","t < sunrise(date) or t >= sunset(date)","g_t = UNSAFE","appendix-c C.2 g_t row (nighttime)","PASS"
"B16","Algorithm 1","rainfall pipeline (missing rate)","y_rate = bottom (invalid / absent / stale)","rainfall component = UNSAFE","appendix-c Corollary C.1b.1; C.2.0.2 (rate is required coordinate)","PASS"
"B17","Algorithm 1","rainfall pipeline (missing code)","c_obs absent / unrecognised; y_rate valid","kappa = 0; classify from rate alone (not bottom)","appendix-c C.2.0.4a (chi total; chi(absent) = 0)","PASS"
"B18","Algorithm 1","exclusion pin (m in D)","D = {m}","s_m = SAFE (pin)","appendix-c C.2.0.5 (excluded pinned SAFE)","PASS"
"B19","Algorithm 1","missing non-excluded m","m not in D; obs_m missing/invalid","s_m = UNSAFE via g_m(bottom)","appendix-c Corollary C.1b.1","PASS"
"B20","Algorithm 1","startup precondition","v missing or invalid","STARTUP REFUSAL — no S returned","appendix-c C.2.0.6","PASS"
"B21","Algorithm 2","governance mapping","S = SAFE","(G, A_AI) = (1, {Go, Delay, DepartureTime, Duration})","appendix-c C.3; C.4","PASS"
"B22","Algorithm 2","governance mapping","S = CAUTION","(G, A_AI) = (1, {Go, Delay})","appendix-c C.3; C.4","PASS"
"B23","Algorithm 2","governance mapping","S = UNSAFE","(G, A_AI) = (0, empty)","appendix-c C.3; C.4","PASS"
"B24","Algorithm 2","containment (exhaustive)","across S in {SAFE, CAUTION, UNSAFE}","A_AI(SAFE) superset A_AI(CAUTION) superset A_AI(UNSAFE) = empty","appendix-c C.4; Corollary C.2","PASS"
"B25","Algorithm 1","exclusion domain (maximal well-formed D)","D = {w, r, m, o} (t not in D; D strict subset of C = {w,r,m,o,t})","well-formed startup; s_w = s_r = s_m = s_o = SAFE by pin; t remains required and is classified normally by g_t; S = g_t(y_t, date)","appendix-c C.2.0.5 (D1)–(D2) and 'Why this lemma matters more than it looks' (maximal well-formed D = {w,r,m,o})","PASS"
