file,line,occurrence,old_journal_meaning,canonical_meaning,classification,action_taken
publications/active/journal-1/research-design.md,111,"C1 Ungated, C2 Binary-gated, C3 Graduated",Journal-local C1/C2/C3 = Ungated/Binary/Proposed,"C0=Ungated · C1=Binary-gated · C2=Proposed · C3=Flehmig-topology",OLD-J1-LABEL,replaced with canonical labels and pointer to evaluation-specification.md
publications/active/journal-1/research-design.md,197,C1 (ungated) and C2 (binary-gated),Journal-local C1/C2,"C0=Ungated · C1=Binary-gated",OLD-J1-LABEL,replaced with C0 (ungated) and C1 (binary-gated) as comparators for C2 (proposed)
publications/active/journal-1/submissions/v1-initial-submission/manuscript.md,610,C1 Ungated,Journal-local C1=Ungated,C0=Ungated,OLD-J1-LABEL,retired via new canonical §10 table
publications/active/journal-1/submissions/v1-initial-submission/manuscript.md,611,C2 Binary-gated,Journal-local C2=Binary-gated,C1=Binary-gated,OLD-J1-LABEL,retired via new canonical §10 table
publications/active/journal-1/submissions/v1-initial-submission/manuscript.md,612,C3 Graduated (proposed),Journal-local C3=Proposed,C2=Proposed,OLD-J1-LABEL,retired via new canonical §10 table
publications/active/journal-1/submissions/v1-initial-submission/manuscript.md,614-625,Full label translation table with mapping warning,Journal-local ↔ canonical mapping,Retired,OLD-J1-LABEL,replaced with concise provenance note under canonical labels
publications/active/journal-1/submissions/v1-initial-submission/manuscript.md,635,C1 and C2 as per evaluation design,Journal-local C1=Ungated / C2=Binary-gated,C0=Ungated / C1=Binary-gated,OLD-J1-LABEL,replaced with C0 and C1 as comparators for C2
publications/active/journal-1/evaluation-baseline-decision.md,14,C1 ↔ C3 = 0.00% divergence,Canonical labels in decision-record context,C1=Binary-gated ↔ C3=Flehmig-topology,CANONICAL-LABEL,no change — already canonical
publications/active/journal-1/evaluation-baseline-decision.md,23-24,"""C1"": {SAFE: FULL, CAUTION: FULL, UNSAFE: EMPTY}, ""C3"": {...}",Canonical mapping literals from condition_comparison.py,C1 and C3 literal dict identity,CANONICAL-LABEL,no change — code excerpt
publications/active/journal-1/evaluation-baseline-decision.md,92,Primary experiment (three arms): Ungated / Binary-gated / Proposed,Descriptive names,C0 / C1 / C2,CANONICAL-LABEL,no change — descriptive names now unambiguous under normalised labels
publications/active/journal-1/evaluation-baseline-decision.md,98,"Recommendation: migrate to C0 / C1 / C2 / C3 now",Migration recommendation,C0/C1/C2/C3,CANONICAL-LABEL,no change — this is the recommendation being executed by this task
publications/active/journal-1/evaluation-baseline-decision.md,153,"""C1"" and ""C3"" are the same mapping",Canonical labels used in the rationale,C1=Binary-gated ↔ C3=Flehmig-topology,CANONICAL-LABEL,no change — already canonical
publications/active/journal-1/section-5-plan.md,all,C1..C3 references in historical plan,Superseded planning document (banner-marked),n/a,HISTORICAL,no change — banner already scopes as historical drafting artefact
publications/active/journal-1/section-6-plan.md,all,C1..C3 references in historical plan,Superseded planning document (banner-marked),n/a,HISTORICAL,no change — banner already scopes as historical drafting artefact
publications/active/journal-1/README.md,60,graduated vs. binary-gated vs. ungated baseline comparison,Descriptive names (not label tokens),C0=Ungated / C1=Binary-gated / C2=Proposed graduated,CANONICAL-LABEL,no change — descriptive prose already unambiguous
publications/active/journal-1/README.md,10,Graduated Safety-State Gating,Paper title,n/a,IRRELEVANT,no change — title is architecture name
docs/canonical/evaluation-design-rq4.md,all,C0/C1/C2 (three-condition),Canonical labels in canonical authority,C0/C1/C2,CANONICAL-LABEL,no change — canonical authority; not edited by this task
scripts/condition_comparison.py,90-105,"C0/C1/C2/C3 dict literals",Canonical labels in canonical harness,C0/C1/C2/C3,CANONICAL-LABEL,no change — protected canonical script; not edited by this task
