"file","line","matched_term","context","classification","action"
"publications/active/journal-1/README.md","14","experimental validation","'formal analysis, algorithmic specification, prototype implementation, and experimental validation' — broad framing of Journal 1's scope","ACTIVE-CORRECT","No change. 'Experimental validation' here describes the paper's scope broadly; Journal 1 carries trace-based comparison (E1–E4, E6), performance measurement (E5), and formal proofs (P1–P4). No specific validated hypothesis is being claimed."
"publications/active/journal-1/README.md","25","hypotheses (in milestone name)","'Research design confirmed (RQs, hypotheses, metrics)'","ACTIVE-DRIFT","REPAIRED to 'Research design confirmed (RQs, claims and metrics per evaluation-specification.md)'."
"publications/active/journal-1/README.md","75","hypotheses (in checklist)","'Confirm RQs and hypotheses (see research-design.md)'","ACTIVE-DRIFT","REPAIRED to reference the closed claim structure (P1–P4 / F1–F3 / E1–E4, E6 / E5)."
"publications/active/journal-1/evaluation-baseline-decision.md","47","H1–H4","'compatibility with H1–H4' in §4 Decision criteria — records the criteria used to evaluate options","HISTORICAL-SUPERSEDED","Contextualised by top banner: document is now a HISTORICAL DECISION RECORD; active claim structure lives in evaluation-specification.md."
"publications/active/journal-1/evaluation-baseline-decision.md","58","new hypothesis","§7 Option B assessment — 'new hypothesis of dubious type'","HISTORICAL-SUPERSEDED","Historical assessment of a rejected option; contextualised by banner."
"publications/active/journal-1/evaluation-baseline-decision.md","60","H1–H4","'Compatibility with H1–H4' — decision matrix","HISTORICAL-SUPERSEDED","Historical decision matrix; contextualised by banner."
"publications/active/journal-1/evaluation-baseline-decision.md","80","H1–H4 / new hypothesis","'labels, H1–H4, both section plans, and a new hypothesis' — Option B migration cost analysis","HISTORICAL-SUPERSEDED","Historical assessment; contextualised by banner."
"publications/active/journal-1/evaluation-baseline-decision.md","92","H1–H4","'Carries H1–H4' in recommended shape","ACTIVE-DRIFT","REPAIRED to point at the executed evaluation-specification.md's closed claim structure (F1–F3 / E1–E4, E6 / E5); banner-marks historical H1–H4 lineage."
"publications/active/journal-1/evaluation-baseline-decision.md","110–115","H1 / H2 / H3 / H4 hypothesis audit table","§10 Hypothesis audit","HISTORICAL-SUPERSEDED","The audit findings led to the redesign that has been executed; contextualised by top banner as historical decision record."
"publications/active/journal-1/evaluation-baseline-decision.md","117","structural hypothesis","'On a proposed structural hypothesis' — recommendation to use a formal proposition","HISTORICAL-SUPERSEDED","Recommendation adopted as Proposition J1-P1 (P4) in evaluation-specification.md §6."
"publications/active/journal-1/evaluation-baseline-decision.md","119","H1 / H2 hypothesis","'H1 and H2 carry the same circularity' — flagged for redesign","HISTORICAL-SUPERSEDED","H1 and H2 have been reclassified as F1 and F2 in evaluation-specification.md §7."
"publications/active/journal-1/evaluation-baseline-decision.md","127","Decision-support utility Retain","§11 metric table — 'Retain' verdict at decision time","HISTORICAL-SUPERSEDED","Final decision in evaluation-specification.md §9 is OPEN — CONSTRUCT DEFINITION REQUIRED; contextualised by banner."
"publications/active/journal-1/evaluation-baseline-decision.md","128","H3","'Governance overhead / latency ... supports H3 and RQ-J2'","HISTORICAL-SUPERSEDED","H3 reclassified as E5 / RQ-J2 (descriptive performance) with threshold OPEN in evaluation-specification.md §11."
"publications/active/journal-1/evaluation-baseline-decision.md","129","H4","'the metric H4 actually needs'","HISTORICAL-SUPERSEDED","H4 reformulated as E2 (Δ_L2) in evaluation-specification.md §10."
"publications/active/journal-1/evaluation-baseline-decision.md","132","H4 / RQ-J3","'answer H4 and RQ-J3'","HISTORICAL-SUPERSEDED","H4 → E2; RQ-J3 rewritten to pure empirical-trace comparison in evaluation-specification.md §5."
"publications/active/journal-1/evaluation-baseline-decision.md","140","H3","'Only latency (H3) admits inferential treatment'","HISTORICAL-SUPERSEDED","H3 identifier retired; the substantive claim (latency alone admits inferential treatment) is preserved as ACTIVE in evaluation-specification.md §11 and §12."
"publications/active/journal-1/evaluation-baseline-decision.md","159","H1 / H2 / H3 / H4","'reconsider H1 and H2 ... supply a justified value for H3's [X ms]'","HISTORICAL-SUPERSEDED","All recommended changes executed: H1→F1, H2→F2, H3 threshold OPEN, dual-configuration reporting adopted."
"publications/active/journal-1/evaluation-baseline-decision.md","161","H3 / H4","'WHAT REMAINS UNCHANGED. ... H3 and H4.'","HISTORICAL-SUPERSEDED","Statement holds under the redesign: no canonical result touched; H3 and H4 substance preserved (as E5/RQ-J2 and E2). Banner contextualises the identifiers."
"publications/active/journal-1/evaluation-baseline-decision.md","165","H1 / H2","'Should H1/H2 be reformulated' — deferred question","HISTORICAL-SUPERSEDED","Question answered by the execution: yes, reformulated as F1 and F2."
"publications/active/journal-1/evaluation-baseline-decision.md","167","decision-support utility","'Does decision-support utility require the RQ5-style user study'","HISTORICAL-SUPERSEDED","Answered: yes; utility marked OPEN and deferred to RQ5 scope in evaluation-specification.md §9, §15."
"publications/active/journal-1/evaluation-baseline-decision.md","168","H1 / H2 (repaired Layer-3 wording)","Deferred question 4 (repaired 2026-09-10 by §5.2)","ACTIVE-CORRECT","Wording already corrected under the primary alignment task."
"publications/active/journal-1/evaluation-baseline-decision.md","175 / 181 / 185","H1–H4 / hypothesis / RQ-J1–J4","§15 stop-condition assessment, §16 scientific state note, evidence-inspected list","HISTORICAL-SUPERSEDED","Documentation of the decision-time evidence base; contextualised by banner."
"publications/active/journal-1/submissions/v1-initial-submission/manuscript.md","19","experimental validation","'formal analysis, algorithmic specification, prototype implementation, and experimental validation'","ACTIVE-CORRECT","No change. Broad framing of the paper's scope; Journal 1 carries trace-based comparison (E1–E4, E6), performance measurement (E5), and formal proofs (P1–P4). No specific validated hypothesis is being claimed."
"publications/active/journal-1/submissions/v1-initial-submission/manuscript.md","164","validation (astronomical)","'not an astronomical validation' — explicit disclaimer","ACTIVE-CORRECT","No change. Explicitly disclaims the strong sense of validation; scoped as an implementation-sensitivity bound."
"publications/active/journal-1/submissions/v1-initial-submission/manuscript.md","292","empirical validation of advice","'empirical validation of advice and user reliance remains separate' — Section 5.4.4 note","ACTIVE-CORRECT","No change. Explicitly bounds the theorem to recommendation-type containment and separates advice-quality validation as out of scope."
"publications/active/journal-1/submissions/v1-initial-submission/manuscript.md","438","validation/freshness","'validation/freshness of required inputs' — technical operational-classifier semantics","IRRELEVANT","Technical use of 'validation' (input-validation, not hypothesis-validation)."
"publications/active/journal-1/submissions/v1-initial-submission/manuscript.md","631","Decision-support utility (OPEN)","'construct not operationally defined for replay alone; marked OPEN, deferred to a future user study (RQ5 scope)'","ACTIVE-CORRECT","No change. Correctly bounded."
"publications/active/journal-1/submissions/v1-initial-submission/manuscript.md","635","significance tests / confidence intervals","'do not apply significance tests or confidence intervals to a full-window enumeration'","ACTIVE-CORRECT","No change. Correct deterministic-census framing."
"publications/active/journal-1/submissions/v1-initial-submission/manuscript.md","687","empirical validation of the transfer","'How the architecture could be extended to other safety-critical domains (structurally, without claiming empirical validation of the transfer)'","ACTIVE-CORRECT","No change. Correctly bounds transfer as structural, not empirically validated."
"publications/active/journal-1/submissions/v1-initial-submission/manuscript.md","705","validation (solar formulation)","'has reproducibility/validation artefacts' — publication-reference closure note in Threats to Validity","IRRELEVANT","Technical reference to solar-events validation vs USNO; not about experimental hypothesis validation."
"publications/active/journal-1/submissions/v1-initial-submission/manuscript.md","716","advisory scope compliance rate (construct validity)","'Does advisory scope compliance rate measure what it claims?' — Threats to Validity","ACTIVE-DRIFT","REPAIRED to ask the corresponding question about Δ_L2 (E2, the actual construct now); added pointer clarifying compliance rate is fidelity criterion F1, not a construct-validity metric."
"publications/active/journal-1/submissions/v1-initial-submission/manuscript.md","731","user study (RQ5)","'Future work: ... user study (RQ5)'","ACTIVE-CORRECT","No change. Correctly scopes user study as future work."
"publications/active/journal-1/research-design.md","30–71","RQ-J2 / RQ-J3 / RQ-J4 / P1–P4 / F1 / F2 / E1–E5 / hypotheses / H1–H4 / H3","Rewritten RQ table, Formal-claims-and-fidelity-criteria section, and reclassification note","ACTIVE-CORRECT","Content is the executed reclassification; explicitly marks historical H1–H4 as retired and points to evaluation-specification.md and hypothesis-audit.csv."
"publications/active/journal-1/research-design.md","141","F1–F3 / E1–E4 / E6 / E5 / utility (OPEN)","Module 4 metrics instruction — REPAIRED under this task","ACTIVE-CORRECT","Aligned to evaluation-specification.md §9; utility marked OPEN and outside replay evidence base."
"publications/active/journal-1/research-design.md","144","significance tests / confidence intervals / H3 threshold OPEN","Module 4 reporting-protocol instruction — REPAIRED under this task","ACTIVE-CORRECT","Deterministic-census framing; no p-values, no CIs on replay metrics; latency the only measurement with runtime variance; H3 threshold OPEN."
"publications/active/journal-1/research-design.md","210","measurable safety improvement (REPAIRED)","Target Journal — Safety Science fit — REPAIRED under this task","ACTIVE-CORRECT","Wording bounded to 'measurable differences in governance behaviour on a deterministic retrospective census' with explicit disclaimer that no safety-outcome measurement is claimed."
"publications/active/journal-1/research-design.md","220–228","P1–P4 / F1–F3 / E1–E4 / E6 / E5 / H3 OPEN / utility OPEN","Pre-Writing Checklist — REPLACED under this task","ACTIVE-CORRECT","Historical H1–H4 checklist retired; new checklist covers each evidence class per evaluation-specification.md."
