"contribution_id","clause_id","candidate_clause","final_clause","claim_type","evidence_source","novelty_status","support_status","required_qualifier","prohibited_interpretation","disposition"
"C1","C1-01","formalisation of graduated advisory-scope governance","A formal operational specification of graduated advisory-scope governance","FORMAL","docs/canonical/appendix-c-formalisation.md; publications/active/journal-1/algorithm-specification.md","NOT_NOVEL_AS_MECHANISM","PASS","Claimed as our formalisation, never as the first formalisation of advisory constraints","the first formal advisory-admissibility mechanism","FREEZE"
"C1","C1-02","separates AI participation from state-conditioned admissible advisory scope","separates AI participation G(S) from admissible advisory scope A_AI(S)","FORMAL","appendix-c C.6; algorithm-specification.md sec.7 (G(S)=0 => A_AI(S)=empty; CAUTION => strict subset)","NOT_NOVEL","PASS","Separation is not claimed as novel; TCAS II gates participation at its lowest inhibition bands","first architecture to separate participation from advisory scope","FREEZE"
"C1","C1-03","domain-independent governance abstraction","REMOVED","INTERPRETATION","v3 Generalisation section only; no cross-domain instantiation exists in repository","N/A","FAIL_AS_ENGINEERING_CLAIM","n/a - clause removed","domain-independent; demonstrated cross-domain applicability; portable to any domain","REJECT"
"C1","C1-04","generalisation of the conditioning state","generalises the conditioning state beyond a single hazard variable to a classified multi-component environmental state S = f(E)","FORMAL","appendix-c C.2 (C = {w,r,m,o,t}, v configuration parameter, max-severity aggregation); FAA AC 20-151C note for the single-scalar contrast","NOT_NOVEL_AS_MECHANISM","PASS","State the contrast against the single-scalar-plus-configuration-discretes precedent rather than claiming novelty","first use of environmental state for governance","FREEZE"
"C1","C1-05","domain-reinstantiable at the governance-structure level","domain-reinstantiable at the governance-structure level (secondary formulation)","FORMAL","appendix-c structure of proofs; v3 Generalisation three-step recipe and TABLE V illustrative rows","NOT_NOVEL","PASS_WITH_SCOPE","Re-instantiation is specified and illustrated, not empirically demonstrated across domains","validated in other domains; cross-domain applicability demonstrated","FREEZE"
"C1","C1-06","proved properties transfer to any instantiation","the proved properties hold for any correct instantiation satisfying the stated assumptions","FORMAL","appendix-c Theorems C.1/C.1b/C.2/C.3 quantify over the structure of the governance pair, not over site values","NOT_NOVEL","PASS","Retain as a formal conditional; do not convert into an empirical portability or deployment claim","the architecture is proven to work in other domains","FREEZE"
"C1","C1-07","explicit totality","operational classifier F_{D,tau} = f o rho_{D,tau} total over the observation space","FORMAL","appendix-c Theorem C.1b (Operational Totality); Corollary C.1b.1","PROPERTY_EXISTS_IN_OUR_FORMALISM=YES; PROPERTY_IS_NOVEL=NO","PASS_WITH_SCOPE","Kang (2026) establishes a deterministic total classifier by construction; role here is to characterise and verify the formalisation","totality is a novel property","FREEZE"
"C1","C1-08","explicit monotonicity","monotone admissible sets over the severity order","FORMAL","appendix-c Theorem C.2 and Corollary C.2 (Strict Monotonicity)","PROPERTY_EXISTS_IN_OUR_FORMALISM=YES; PROPERTY_IS_NOVEL=NO","PASS_WITH_SCOPE","Baxi (2026) monotone nested permission sets; Kang (2026) monotonicity by construction","monotonicity is a novel property; first nested advisory set","FREEZE"
"C1","C1-09","Safety Dominance","advisory-admissibility contract enforced by pre-reasoning rule-set supply rather than by post-generation filtering","FORMAL","appendix-c Theorem C.3 (A1-A4); algorithm-specification.md sec.8 postcondition (ii): correctness is a property of the active rule set, not of a runtime check","PROPERTY_EXISTS_IN_OUR_FORMALISM=YES; PROPERTY_IS_NOVEL=NO; ENFORCEMENT_ROUTE_NOT_PARALLELED_IN_VALIDATED_SET","PASS_WITH_SCOPE","Claim the enforcement route, not the property; shielding and action masking filter candidate outputs at runtime","the architecture improves operational safety; Safety Dominance is unprecedented","FREEZE"
"C1","C1-10","containment","containment A_AI(SAFE) superset A_AI(CAUTION) superset A_AI(UNSAFE) = empty","FORMAL","appendix-c Theorem C.2 and Corollary C.2","PROPERTY_EXISTS_IN_OUR_FORMALISM=YES; PROPERTY_IS_NOVEL=NO","PASS_WITH_SCOPE","Nested admissible sets are established in shielding and in Baxi (2026)","first nested admissible set; containment implies empirical safety","FREEZE"
"C1","C1-O1","operational-form semantics (grouped in candidate wording)","Obs_i = (X_i x T) union {bottom} observation space with timestamp","FORMAL","appendix-c C.2.0.1","NOT_NOVEL_INDIVIDUALLY; COMBINATION_NOT_FOUND_IN_VALIDATED_SET","PASS","Scoped literature statement only: within the validated comparison set, no prior work identified combines these operational semantics with advisory-type scope governed by a classified multi-component environmental state","these constructs are globally unprecedented; no prior work has observation-resolution semantics","FREEZE"
"C1","C1-O2","operational-form semantics (grouped in candidate wording)","rho_{D,tau} observation-resolution map applied before f","FORMAL","appendix-c C.2.0.1; algorithm-specification.md sec.4","NOT_NOVEL_INDIVIDUALLY; COMBINATION_NOT_FOUND_IN_VALIDATED_SET","PASS","Scoped literature statement only: within the validated comparison set, no prior work identified combines these operational semantics with advisory-type scope governed by a classified multi-component environmental state","these constructs are globally unprecedented; no prior work has observation-resolution semantics","FREEZE"
"C1","C1-O3","operational-form semantics (grouped in candidate wording)","operational classifier F_{D,tau} distinguished from ideal f(E)","FORMAL","appendix-c C.2.0.1","NOT_NOVEL_INDIVIDUALLY; COMBINATION_NOT_FOUND_IN_VALIDATED_SET","PASS","Write f(E) only for the ideal case and F_{D,tau} for deployed behaviour","these constructs are globally unprecedented; no prior work has observation-resolution semantics","FREEZE"
"C1","C1-O4","operational-form semantics (grouped in candidate wording)","four distinguished bottom conditions with four responses","FORMAL","algorithm-specification.md sec.4 table; appendix-c C.2.0","NOT_NOVEL_INDIVIDUALLY; COMBINATION_NOT_FOUND_IN_VALIDATED_SET","PASS","Scoped literature statement only: within the validated comparison set, no prior work identified combines these operational semantics with advisory-type scope governed by a classified multi-component environmental state","these constructs are globally unprecedented; no prior work has observation-resolution semantics","FREEZE"
