id,file,locator,claim,classification,canonical_authority,action,status,notes
D-01,CLAUDE.md,F-7 framing decision,g_o (98.66% / 97.41% of daylight CAUTION),ACTIVE-CANONICAL-DRIFT,canonical_figures.py; empirical-findings 0a,Replaced with 98.71% / 97.66% and an explicit semantic label,REPAIRED,"Label added: g_o's share as DECIDING COMPONENT of daylight CAUTION - not a Go-recommendation share, AI recommendation frequency, overall CAUTION rate or Level 2 binding rate"
D-02,CLAUDE.md,Classification structure,"f(E) = max-severity(g_w(w), g_r(r), g_m(m), g_o(o,v), g_t(t))",ACTIVE-CANONICAL-DRIFT,appendix-c C.2,"Updated to g_r(r, kappa) and g_t(t, date)",REPAIRED,Scalar g_r and bare g_t in the primary instruction file
D-03,CLAUDE.md,"Condition components table, r row",r | R>=0 | Rainfall intensity (mm/hr),ACTIVE-CANONICAL-DRIFT,appendix-c C.2.0.1 and C.2.0.4a,"Retyped to R>=0 x K with kappa, chi, required-vs-derived and the non-escalating default",REPAIRED,Raw code c explicitly distinguished from derived kappa
D-04,scripts/canonical_figures.py,"Reporting trailer, print string",against a 22 kn threshold ... not an artefact,"ACTIVE-CANONICAL-DRIFT (Class B, prose only)","W_CAUTION = 21.6 at line 69, used line 126","Trailer rewritten to 21.6 kn, two activations, binds never",REPAIRED,VERIFIED NON-EXECUTABLE before edit: 22 appears only inside the print string; the executable constant is 21.6. Numerical outputs re-run and identical. Also corrected the inverted claim - the zero-activation reading WAS an artefact of the rounding
D-05,docs/justification/formal-model.md,"1.1 E vector, r","r in {none, light, moderate, heavy, storm} (ordinal categorical)",ACTIVE-CANONICAL-DRIFT,appendix-c C.2,"Retyped to R>=0 x K with kappa, chi, required-vs-derived",REPAIRED,Two amendments behind: categorical was retired 2026-09-08 before kappa was typed
D-06,docs/justification/formal-model.md,Section 2 classification step,S_r = g_r(r); g_o takes two arguments,ACTIVE-CANONICAL-DRIFT,appendix-c C.2,"Updated to g_r(r, kappa), g_t(t, date); arity note corrected for all three",REPAIRED,Escalation-only property of kappa stated
D-07,docs/justification/formal-model.md,Worked example E2,r=heavy -> g_r(heavy) = CAUTION,ACTIVE-CANONICAL-DRIFT,appendix-c C.2,"Replaced with r=(15.0 mm/hr, kappa=0) and the numeric band",REPAIRED,Example used a retired categorical value
D-08,docs/reference/explainer-per-component-classification-functions.md,Function signatures; aggregation; lookup table; summary table; two worked examples; intuition row,g_r over {none...storm}; g_r(r) in f(E),ACTIVE-CANONICAL-DRIFT,appendix-c C.2 and C.2.0.4a,All six loci retyped; raw c vs derived kappa and the non-escalating default added,REPAIRED,Pedagogical simplification would have led a reader to believe the storm route does not exist
D-09,docs/reference/explainer-per-component-classification-functions.md,g_t internal definition block,Fixed-clock lines presented as live with the canonical form spliced between them,ACTIVE-CANONICAL-DRIFT,appendix-c C.2; SDR-001,Canonical half-open definition stated; fixed clock moved into an explicit superseded blockquote,REPAIRED,Closure-criteria blocker: active fixed-clock g_t semantics AND active time-derived CAUTION
D-10,docs/reference/explainer-per-component-classification-functions.md,g_w definition; two worked examples; summary table; threshold-basis table,g_w SAFE if w <= 22; 22-27 kn; (approx 22 kn),ACTIVE-CANONICAL-DRIFT,canonical scripts W_CAUTION = 21.6,All five loci set to 21.6 / 27.0 with source values stated,REPAIRED,Worked-example classifications unchanged: 8 and 10 kn remain SAFE
D-11,docs/canonical/data-provenance.md,"w row, fit for threshold","threshold is 22.0 kn, missed by 0.2; g_w never fires either way",ACTIVE-CANONICAL-DRIFT,F-17; canonical scripts,"Rewritten: activates twice at 21.6 kn, binds never",REPAIRED,"Was factually false, not merely stale"
D-12,docs/canonical/data-provenance.md,"o row, fit for threshold",98.66% primary / 97.41% resolution; thresholds 1.0 m / 1.9 m,ACTIVE-CANONICAL-DRIFT,canonical_figures.py; appendix-c TABLE IIIb,Updated to 98.71 / 97.66 and 1.0 / 1.25 m,REPAIRED,Two independent stale values in one cell; 1.9 m was superseded 2026-09-06
D-13,docs/canonical/data-provenance.md,"r row, variables and fit",weather_code (WMO) listed as a classifier variable; zero thunderstorm codes,ACTIVE-CANONICAL-DRIFT,appendix-c C.2.0.4a,Raw c separated from derived kappa; new Derived-kappa row; evidence boundary stated,REPAIRED,"Explicitly records that zero activating codes is NOT evidence that no thunderstorms occurred, that they do not occur in Sabah, or that the route is unnecessary"
D-14,docs/canonical/data-provenance.md,raw_rainfall caveat,g_r contributes only 3.7% of non-SAFE hours,ACTIVE-CANONICAL-DRIFT,canonical_figures.py,Updated to 0.20% / 0.26% with configuration labels,REPAIRED,"Pre-anchoring, pre-migration figure"
D-15,docs/canonical/architecture-illustration.md,"Scenario walkthrough, two wind annotations",still <= 22 kn; below 22 kn threshold,ACTIVE-CANONICAL-DRIFT,canonical scripts W_CAUTION = 21.6,Both set to 21.6 kn,REPAIRED,Classifications unchanged: 18 and 12 kn remain SAFE
D-16,docs/canonical/empirical-findings-2026-09-06.md,3.4 What this means in the papers,Report g_o at 98.66% / 97.41% and g_t at 87.63% / 91.10%,ACTIVE-CANONICAL-DRIFT,0a; canonical_figures.py,Updated to 98.71 / 97.66 and 86.82 / 90.19 with a dated annotation,REPAIRED,"An ACTIVE DIRECTIVE telling the papers which figures to quote. Section is maintained post-migration (the adjacent g_w bullet was already corrected), so this was an oversight rather than protected history. 0a itself is generated and was NOT touched"
D-17,docs/canonical/decision-record-empirical-first.md,1. What prompted this,g_w thresholds are 22 kn and 27 kn; zero activations,"ACTIVE-CANONICAL-DRIFT (historical narrative, present tense)",F-17,"ANNOTATED, not overwritten","Per the project's own recomputation rule: annotate a finding computed under an old configuration, do not silently overwrite it. The decision below was taken on this basis, so the text is preserved and marked",
D-18,docs/canonical/evaluation-design-rq4.md,Threshold table; SC-16; SC-17,w < 22 kn; 22-27 kn; scenarios keyed to 22 kn,HISTORICAL-SUPERSEDED,Document header,NO EDIT,Carries a top-level SUPERSEDED 2026-09-06 banner - do not build from this document as-is. Unmistakably marked,
D-19,docs/canonical/finding-sdr-001-readiness-audit.md; report-c4/c6/c8-closure; finding-met-lower-boundary-gap; finding-unsafe-semantics-audit; session-log-2026-09-06,various,"98.66% / 97.41%, 87.63%",HISTORICAL-SUPERSEDED,-,NO EDIT,"All labelled incumbent/baseline/superseded, or are dated audit reports and session logs. Historical audit reports are outside the permitted scope",
D-20,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Result 4; Threats to Validity,22 kn described as the superseded value being corrected,ACTIVE-CORRECT,-,NO EDIT,"Correctly historical, and the manuscript is protected",
D-21,publications/active/ipsci-2026/submissions/v1 and v2.5; supervisor-feedback-response.md,various,22 kn; categorical g_r,HISTORICAL-SUPERSEDED,-,NO EDIT,Submitted manuscripts and historical response documents,
D-22,publications/active/journal-1/submissions/v1-initial-submission/manuscript.md; section-5-plan.md,TABLE rows; f(E); Theorem,scalar g_r(r); categorical g_r bands; g_w 22 kn; fixed-clock g_t,ACTIVE-CANONICAL-DRIFT,appendix-c C.2,DEFERRED - recorded only,"CRD-7: drift exists only in Journal 1. Recorded, not fixed. Journal 1 gets a separate task",
D-23,scripts/c6/build_reresolution_artefact.py; data/conference-reviewer-audit/*.py,evidence-generation scripts,98.66 labelled incumbent; drift recorded as a finding,IRRELEVANT,-,NO EDIT,"Evidence artefacts recording the drift, and a c6 script whose label is already correct",
