file,section_or_line,change_type,before,after,rationale
publications/active/journal-1/evaluation-baseline-decision.md,§12 Statistical treatment,wording_repair,"'complete enumeration over the full population' framing that invites generalisation to all future weather","'deterministic census of all hourly records in the predefined retrospective study window'; PRIMARY/RESOLUTION spread is a resolution-sensitivity result, not an error bar",task §5.1 — retrospective-window census wording correction
publications/active/journal-1/evaluation-baseline-decision.md,§14 Deferred question 4,wording_repair,"'If Layer 3 is built before submission, do H1/H2 become genuinely empirical? (Likely yes — the circularity is a consequence of the engine being unimplemented.)'","'How are H1/H2 reclassified? Layer 3 implementation makes compliance and violation rates implementation-fidelity measurements — does not convert a formal governance invariant into a behavioural hypothesis'",task §5.2 — Layer 3 does not automatically make H1/H2 empirical
publications/active/journal-1/research-design.md,Module 4 line 111,label_migration,"'C1 Ungated, C2 Binary-gated, C3 Graduated' with a collision warning and a link to the manuscript translation table","'C0 Ungated · C1 Binary-gated · C2 Proposed graduated architecture; C3 (Flehmig-style topology) is retained as a structural comparator, not a fourth experimental arm'",task §6 / §7 — label normalisation with pointer to evaluation-specification
publications/active/journal-1/research-design.md,Pre-Writing Checklist line 197,label_migration,"'why C1 (ungated) and C2 (binary-gated) are the right comparators' (Journal-local labels)","'why C0 (ungated) and C1 (binary-gated) are the right comparators for C2 (proposed graduated architecture)'",task §7 — canonical labels
publications/active/journal-1/research-design.md,Research Questions section,rq_reclassification,"Four RQs listed without evidence-type tagging; RQ-J3 phrased around 'advisory scope compliance' (mixed evidence type)","Four RQs listed with explicit evidence-type tags (FORMAL / PERFORMANCE / EMPIRICAL-TRACE); RQ-J2 rewritten to remove hidden acceptance threshold; RQ-J3 rewritten to a pure empirical-trace comparison",task §12 — RQ audit; §15 — H3 threshold OPEN
publications/active/journal-1/research-design.md,Hypotheses section,hypothesis_reclassification,"H1–H4 as behavioural comparative hypotheses","P1–P4 formal propositions; F1–F3 implementation-fidelity criteria; E1–E5 empirical/trace/performance results; H-DEFERRED-utility / H-DEFERRED-trust for human-outcome constructs. H1→F1, H2→F2, H3→E5/RQ-J2 with threshold OPEN, H4→E2 (Δ_L2)",task §13–§17 — hypothesis redesign per Option C
publications/active/journal-1/submissions/v1-initial-submission/manuscript.md,§10 Experimental Design,label_migration,"Three-condition table (C1 Ungated / C2 Binary-gated / C3 Graduated) with a full label-translation warning box","Canonical three-arm primary comparison (C0 / C1 / C2) plus a structural comparator row for C3 with pointer to J1-P1; translation table retired; concise provenance note included",task §6–§10 — Option C alignment with canonical labels
publications/active/journal-1/submissions/v1-initial-submission/manuscript.md,§10 Metrics block,metric_reclassification,"'Advisory scope compliance rate', 'False positive rate', 'Decision support utility', 'Governance overhead' as if all four are comparative behavioural metrics","Pairwise admissible-set divergence; isolated Level 2 contribution (Δ_L2); governance latency (performance); F1–F3 (deferred to Layer 3 build); decision-support utility OPEN",task §18 — metrics audit
publications/active/journal-1/submissions/v1-initial-submission/manuscript.md,§10 Baselines and Statistical analysis,statistical_treatment_repair,"'Baselines: C1 and C2 as per evaluation design'; 'Statistical analysis: [TBD — specify tests]'","'Baselines: C0 and C1 as comparators for C2'; deterministic-census framing; no significance tests / no CIs on full-window enumeration; PRIMARY/RESOLUTION spread as resolution-sensitivity",task §20–§21 — statistical treatment correction
publications/active/journal-1/submissions/v1-initial-submission/manuscript.md,§12 Ablation Study,ablation_redesign,"Four ablation targets listed without a primary ablation metric","Primary ablation = Δ_L2 = div(C0,C2) − div(C0,C1) with canonical values 5.81% PRIMARY / 4.48% RESOLUTION; hysteresis measured near-null; participation-gate ablation subsumed into C0 vs C1 comparison; worst-case aggregation via boundary scenarios",task §16 — H4 aligned to isolated Level 2 contribution
publications/active/journal-1/evaluation-specification.md,entire file,new_file,n/a,"Journal 1 Evaluation Specification — 18-section maintained authority for RQs, propositions, fidelity criteria, empirical hypotheses, metrics, ablation, performance evaluation, statistical treatment, PRIMARY/RESOLUTION reporting, Layer 3 dependency, human-validation boundary, threats, open items, final evaluation matrix",task §32 — decision document
data/journal1-evaluation-specification/,entire directory,new_directory,n/a,"Evidence directory: integrity-before/after.json, four audit CSVs, evaluation-specification.csv, change-map.csv, three verification JSONs, parser-test.json, build.py, closure.json",task §30 — evidence directory
