"rq_id","rq_text","contribution","claim_type","primary_evidence","supporting_evidence","excluded_evidence","allowed_interpretation","prohibited_interpretation","status"
"RQ1","How can graduated advisory-scope governance be specified and verified operationally, separating AI participation from admissible advisory scope under incomplete, stale or excluded environmental observations?","C1","FORMAL","appendix-c-formalisation.md: S=f(E) over five component classifiers; governance pair (G(S), A_AI(S)); operational classifier F_{D,tau} = f o rho_{D,tau}; Theorem C.1b operational totality; four distinguished bottom responses (invalid, absent, stale, unmeasured); declared exclusion set D with lower-bound propagation","algorithm-specification.md sec.8 RS(S) pre-reasoning supply with no post-generation filter; executable conformance: 292 episodes, 454 advisory records of conclusion type Delay, F1=F2=F3=0 violations","E5; H3; MacBook reference timing; target-hardware performance; human study; cross-domain demonstration","The governance contract is specified operationally over an observation space and verified by formal properties plus bounded implementation conformance","verification implies deployment validation, real-world effectiveness or safety validation; totality/monotonicity/containment are novel properties; the mechanism is new","FROZEN"
"RQ1-SUP","Executable conformance sub-question (not a separate RQ)","C1","IMPLEMENTATION_FIDELITY","data/journal1-layer3-prototype/batch5-fidelity-evaluation/fidelity-results.json: 292 primary episodes (32 SAFE, 260 CAUTION), 244 with advisory, 16 CAUTION empty-advisory, F1=0, F2=0, F3=0","rule-activation-summary.csv: R-CAUTION-001..004, all conclusion type Delay; state-space-manifest.json: 162 UNSAFE gate-off cases outside the 292 denominator","any SAFE-rule evidence (R-SAFE-001 = DEFERRED); real-world or deployment evidence","The executable implementation produced zero violations of the configured advisory admissibility contract within the bounded deterministic interface-contract fidelity state space","454 advisory types; complete SAFE advisory-space validation; all recommendation types exercised; strong empirical validation of containment; containment exercised on both sides","SUPPORTING_VERIFICATION_FOR_RQ1"
"RQ2","How often does graduated advisory-scope governance produce governance outcomes that differ from participation-only governance in retrospective environmental replay?","C2","EMPIRICAL_TRACE","Delta_L2 PRIMARY = 5.81% of departure-window hours (quantitative-provenance.csv, E2, scripts/condition_comparison.py); C1<->C3 PRIMARY = 0.00% as control (E6)","C0<->C1 = 42.88% and C0<->C2 = 48.69% PRIMARY as comparator context (E1); replay scale 43,848 hourly records","hysteresis (3,661 transitions, 26 oscillations, 10.36%); E5; H3; human study; C0<->C1 and C0<->C2 RESOLUTION (provenance incomplete)","The intermediate advisory-scope layer produces a measurable governance-outcome difference relative to participation-only governance, at the admissible-set level, under the evaluated comparator definitions","5.81% safer; 5.81% risk reduction; 5.81% improvement; improved decision quality; safety outcomes; decision outcomes; risk outcomes; effectiveness","FROZEN"
"RQ2-CTL","C1<->C3 control for RQ2","C2","EMPIRICAL_TRACE","C1<->C3 PRIMARY = 0.00% (quantitative-provenance.csv, E6, both configurations)","Flehmig et al. (2024) traffic-light degradation index as the structure C3 instantiates","any claim about traffic-light or three-state systems in general","Under the evaluated comparator definitions, adding an intermediate labelled governance state without advisory-scope differentiation produces no admissible-set divergence; this supports the interpretation that the measured Delta_L2 is associated with advisory-scope differentiation rather than with the existence of a third labelled state","all traffic-light systems are equivalent; all three-state systems add no value; advisory-scope governance is universally superior","FROZEN_PRIMARY_RQ2"
"RQ3","How does the measured governance-outcome divergence differ under the alternative environmental-data configuration?","C2","EMPIRICAL_TRACE","Delta_L2 RESOLUTION = 4.48% of departure-window hours (quantitative-provenance.csv, E2, RESOLUTION departure window)","C1<->C3 RESOLUTION = 0.00% as cross-configuration support; E3 mandatory dual-configuration scope {E1, E2, E6}","C0<->C1 = 41.08% and C0<->C2 = 45.56% RESOLUTION (PROVENANCE_INCOMPLETE); E4 hysteresis (PRIMARY-only by design); any RESOLUTION hysteresis result","The measured governance-outcome divergence differs between the PRIMARY and RESOLUTION environmental-data configurations, which use different wave models over different record lengths","preserved; robust; stable; replicated; 5.81 +/- 4.48; confidence interval; uncertainty bound; repeated trials; independent datasets","FROZEN"
"RQ3-SUP","C1<->C3 cross-configuration support","C2","EMPIRICAL_TRACE","C1<->C3 RESOLUTION = 0.00% (quantitative-provenance.csv, E6)","Reported alongside Delta_L2 RESOLUTION; primary home is RQ2","any generalisation beyond the evaluated comparator definitions","The zero-divergence control holds under the alternative environmental-data configuration","the control demonstrates robustness or replication","FROZEN_SECONDARY_SUPPORT"
"NONE-1","Performance / latency question — NOT CREATED","n/a","EXCLUDED","none","none","E5 = OPEN; E5_HARNESS = CLOSED; MACBOOK_REFERENCE = COMPLETE_REFERENCE_ONLY; E5_ANDROID_TARGET_BENCHMARK = DEFERRED_MANDATORY; H3 = OPEN_UNSUPPORTED","Target-hardware performance may be mentioned only as future work or as a limitation","smartphone feasibility demonstrated; low-resource deployment validated; real-time performance validated; target-hardware performance established; H3 pass","NOT_CREATED"
"NONE-2","Hysteresis question — NOT CREATED","n/a","EXCLUDED","none","none","E4: 3,661 transitions, 3,439 scheduled, 222 non-scheduled, 26 genuine oscillations, 10.36% reduction of non-scheduled transitions (PRIMARY only)","If space permits, hysteresis may be reported in Results or Discussion only as a precautionary stabilisation mechanism","hysteresis was required; a mode-chattering problem was observed; hysteresis supports novelty or effectiveness; any RESOLUTION hysteresis comparison","NOT_CREATED"
"NONE-3","Human-outcome question — NOT CREATED","n/a","EXCLUDED","none","none","HUMAN_STUDY = NOT_REQUIRED / DEFERRED; no trust, reliance, decision-quality or outcome data exists","none","trust; calibrated reliance; human decision quality; behavioural benefit; accident reduction; livelihood benefit; real-world operational safety improvement","NOT_CREATED"
"NONE-4","Novelty question — NOT CREATED","n/a","EXCLUDED","none","novelty-defence-matrix.md; novelty-audit-report.md; novelty-audit-addendum-001.md","MECHANISM_NOVELTY = WITHDRAWN","Novelty positioning is handled by the single canonical sentence in rq-narrative-freeze.md sec.15, not by a research question","first; first-ever; unprecedented; globally novel; no existing architecture; no prior system restricts advisory scope","NOT_CREATED"
