"change_id","artefact","change_type","description","rationale","batch"
"B2-C-001","data/journal1-layer3-prototype/recommendation-semantics-batch2.csv","CREATED","Defines semantic boundaries for all four recommendation types: Go Delay DepartureTime Duration. Distinguishes meaning from permission. Documents OPEN status for DepartureTime and Duration payloads.","Required by task §28 — semantics must be specified before rules can be verified against them. Prevents circular reasoning where Go simply means AI-enabled state.","2"
"B2-C-002","data/journal1-layer3-prototype/rule-evidence-matrix-batch2.csv","CREATED","Documents nine evidence sources (EV-01 through EV-09) with full provenance: study context population vessel context environmental context supported relationship recommendation implication transferability limitations candidate rule ids.","Required by task §29-31 — all candidate rules must have traceable evidence. Matrix enables independent verification of evidence claims.","2"
"B2-C-003","data/journal1-layer3-prototype/rule-candidate-register-batch2.csv","CREATED","Documents ten candidate rules: R-SAFE-001 (Go CONDITIONALLY SUPPORTED Level C) R-CAUTION-001 (Delay CONDITIONALLY SUPPORTED — P_ENV Level A; P_ADV Level C inferred) R-CAUTION-002 through R-CAUTION-004 (Delay CONDITIONALLY SUPPORTED Level C) and five REJECTED candidates R-REJ-001 through R-REJ-005. Each row includes 17 columns of provenance.","Required by task §32-34 — the concrete rule register constitutes the primary deliverable of Batch 2. The REJECTED candidates document the scientific reasoning about what cannot be defended.","2"
"B2-C-004","data/journal1-layer3-prototype/rule-conflict-analysis-batch2.csv","CREATED","Documents seven conflict scenarios (CONF-001 through CONF-007). Finds: no current conflict in RS_candidate(SAFE); multiple Delay rules COMPATIBLE in RS_candidate(CAUTION); future Go+Delay within SAFE would require ADVISORY_CONFLICT_POLICY_REQUIRED; cross-state conflict is architecturally impossible.","Required by task §35 — pre-emptive conflict analysis required before rule set can be considered specified.","2"
"B2-C-005","data/journal1-layer3-prototype/scientific-gap-register-batch2.csv","CREATED","Documents five evidence gaps (GAP-01 through GAP-05): DepartureTime (OPEN-L3-1C) Duration (OPEN-L3-1D) Go-in-CAUTION (unresolved tension) Delay-in-SAFE (absent evidence) marine warning archive (m data gap).","Required by task §36-37 — gaps must be formally registered rather than silently absent. OPEN-L3-1C and OPEN-L3-1D are the canonical successor items for unresolved recommendation types.","2"
"B2-C-006","data/journal1-layer3-prototype/semantic-verification-batch2.json","CREATED","27 semantic checks all PASS. Documents verification of: recommendation universe unchanged governance mapping preserved RS(UNSAFE) empty advisory semantics bounded evidence provenance complete no unsupported rule promoted no F1-F3 or E5 executed human authority unconditional OPEN-L3-2 preserved.","Required by task §43 — batch cannot close without verification pass.","2"
"B2-C-007","data/journal1-layer3-prototype/change-map-batch2.csv","CREATED","This file — documents all changes made in Batch 2.","Required by task §44.","2"
"B2-C-008","data/journal1-layer3-prototype/closure-batch2.json","CREATED","Formal closure record with PARTIALLY RESOLVED outcome for OPEN-L3-1 and explicit successor items OPEN-L3-1C and OPEN-L3-1D.","Required by task §45.","2"
"B2-C-009","data/journal1-layer3-prototype/report-batch2.md","CREATED","Human-readable report documenting Batch 2 scope scientific findings candidate rules evidence gaps open items and closure determination.","Required by task §46.","2"
"B2-C-010","publications/active/journal-1/layer3-prototype-specification.md","EXTENDED","Sections §16-§27 added: Batch 2 Scientific Rule-Specification Scope Evidence Hierarchy Recommendation Semantics Evidence Sources Candidate Rule Derivation Method SAFE Rule Candidates CAUTION Rule Candidates Rule Interaction and Conflict Analysis Payload Semantics Concrete Rule Register Evidence Gaps OPEN Scientific Decisions Batch 2 Traceability. Sections §1-§15 (Batch 1) preserved unchanged.","Required by task §47 — implementation authority document must carry the scientific specification.","2"
"B2-C-011","data/journal1-layer3-prototype/semantic-verification-batch1.json","NOT MODIFIED — PASS","OPEN-L3-1 status updated only in semantic-verification-batch2.json and closure artefacts, not in batch1 artefacts. Batch 1 verification remains as closed.","Batch 1 artefacts are canonical — they document the state at Batch 1 closure. Batch 2 artefacts carry the updated state.","2"
