reference_identifier,reference_section,reference_line,reference_context,target_identifier,target_section,semantic_target,status_before,repair_action,status_after
Theorem 5.1,§7,792,"Invariants of Algorithm 1: ""exactly one S is returned (Theorem 5.1 / operational totality, Appendix C Theorem C.1b)""",Theorem 6.1,§6.2,Totality of f,RESOLVED before repair; ORPHANED by the demotion of Theorem 5.1,CROSS_REFERENCE_REPAIR — repointed to the canonical Totality theorem,RESOLVES to Theorem 6.1
Theorem 5.2,§7,811,"Invariants of Algorithm 2: ""The strict containment A_AI(SAFE) ⊃ A_AI(CAUTION) ⊃ A_AI(UNSAFE) = ∅ (Theorem 5.2 / Monotonicity)""",Theorem 6.2,§6.3,Monotonicity of A_AI,DANGLING — Theorem 5.2 never declared,CROSS_REFERENCE_REPAIR — context names Monotonicity and states the containment chain,RESOLVES to Theorem 6.2
Theorem 5.2,§7,811,"Invariants of Algorithm 2: ""the finite mapping on which Theorem 5.2 is established""",Theorem 6.2,§6.3,Monotonicity of A_AI,DANGLING — Theorem 5.2 never declared,"CROSS_REFERENCE_REPAIR — same sentence pair, same semantic target",RESOLVES to Theorem 6.2
Theorem 5.3,§7,840,"Algorithm 4 pseudocode precondition: ""produces a conclusion type outside its own conclusion — Theorem 5.3 A4""",Theorem 6.3,§6.4,Safety Dominance Property (assumption A4),DANGLING — Theorem 5.3 never declared,CROSS_REFERENCE_REPAIR — A4 is an assumption of the Safety Dominance proof,RESOLVES to Theorem 6.3
Theorem 5.3,§7,849,"Invariants of Algorithm 4: ""subject to the stated rule-engine fidelity assumptions (Theorem 5.3, Safety Dominance)""",Theorem 6.3,§6.4,Safety Dominance Property,DANGLING — Theorem 5.3 never declared,CROSS_REFERENCE_REPAIR — context names Safety Dominance explicitly,RESOLVES to Theorem 6.3
Theorem 5.3,§7,849,"Invariants of Algorithm 4: ""the enforcement contract on which Theorem 5.3 depends""",Theorem 6.3,§6.4,Safety Dominance Property,DANGLING — Theorem 5.3 never declared,"CROSS_REFERENCE_REPAIR — same sentence pair, same semantic target",RESOLVES to Theorem 6.3
Theorem 5.3,§7,859,"Safety-Dominance dependency diagram, L3 column: ""(Theorem 5.3 A4; A4 pre)""",Theorem 6.3,§6.4,Safety Dominance Property (assumption A4),DANGLING — Theorem 5.3 never declared,"CROSS_REFERENCE_REPAIR — inside a fixed-width block; replacement is equal length, alignment preserved",RESOLVES to Theorem 6.3
Theorem 5.3,§7,859,"Safety-Dominance dependency diagram, L4 column: ""(Theorem 5.3)"" under ""formal theorem""",Theorem 6.3,§6.4,Safety Dominance Property,DANGLING — Theorem 5.3 never declared,"CROSS_REFERENCE_REPAIR — inside a fixed-width block; replacement is equal length, alignment preserved",RESOLVES to Theorem 6.3
Theorem 6.1,§5,459,"Demoted Totality statement: ""This result is proved canonically as Theorem 6.1 in Section 6.2.""",Theorem 6.1,§6.2,Totality of f,"DID NOT EXIST — the sentence read ""Proof deferred to Section 6.2.""",MINIMAL_GRAMMAR_REPAIR — forward reference added when the duplicate heading was removed,RESOLVES to Theorem 6.1
Corollary 6.3,§6,693,"Declaration: ""Corollary 6.3 (Properties 5.1 and 5.2)"" — derived from Theorem 6.2, sited in §6.3",Corollary 6.2b,§6.3,Corollary of Theorem 6.2 discharging Properties 5.1 and 5.2,AMBIGUOUS — identifier 6.3 collided with the independently declared Theorem 6.3 (Safety Dominance) in §6.4,NUMBERING_REPAIR — renumbered to associate with its parent theorem,"DECLARED as Corollary 6.2b; not referenced elsewhere, so no cascade"
