"algorithm","operation","current_fixed_model_bound","generalized_bound","space_bound","assumption","implementation_dependency","authority","claim_status"
"A1","operational safety classification (F_{D,tau})","O(1) + T_solar_lookup","O(n) + T_solar_lookup","O(1) fixed; O(n) generalized","n = 5 in the fixed architecture; frozen solar artefact is available","solar-lookup data structure","algorithm-specification.md §26","PARAMETERISED"
"A1","solar / clock / date resolution","T_solar_lookup","T_solar_lookup","O(1)","canonical g_t consumes the frozen artefact via scripts/canonical_gt.py; no astronomy computed","dict / binary search / linear scan of solar-events-daily.csv","algorithm-specification.md §26; §32 OPEN-B4-1","OPEN"
"A2","governance configuration switch","O(1)","O(1) lookup","O(1)","three constant cases","hash vs linear scan for the state lookup","algorithm-specification.md §27","DERIVED"
"A2","static A_AI(S) mapping storage","O(1) constant (12 bits)","O(|S| · |R|)","O(|S| · |R|) configuration","materialised as an explicit state-to-admissible-set map","representation of the admissible set","algorithm-specification.md §27","DERIVED"
"A3","rule-set selection","T_select(S) — parameterised; O(1) under state-indexed selector, O(k) under repository scan; k_S is variable, so O(1) alone is not the current-algorithm bound","T_select(S)","O(1) or O(k_S)","selector deterministic","prevalidated-at-configuration variant is a future optimisation, distinct from the specified pseudocode","algorithm-specification.md §28","PARAMETERISED"
"A3","compliance check (ConclusionTypes(RS_candidate) subset of A_AI(S))","O(k_S) — the specified pseudocode always runs lines 5–9; k_S is variable","O(k_S)","O(1)","every rule rho has a well-defined type(rho) in R","avoidable ONLY under a prevalidated-at-configuration implementation variant, which is not the current algorithm","algorithm-specification.md §28","DERIVED (currently specified pseudocode)"
"A4","governance wrapper (G(S) short-circuit)","O(1)","O(1)","O(1)","G(S) is available in constant time from A2","binary branch","algorithm-specification.md §29","DERIVED"
"A4","rule-engine reasoning","T_engine(k_S, q, c)","T_engine(k_S, q, c)","M_engine","engine fidelity: fires only rules in the active RS(S)","rule-engine evaluation strategy — OPEN-B3-2","algorithm-specification.md §29","PARAMETERISED"
"A4","illustrative naïve forward-chaining linear scan","O(k_S · c)","O(k_S · c)","M_engine","chosen as an example only; not the architecture's official complexity","forward chaining with linear scan","algorithm-specification.md §29","ILLUSTRATIVE ONLY"
"PIPELINE","end-to-end per decision episode","O(1) + T_solar_lookup + T_select(S) + O(k_S) + T_engine(k_S, q, c)","O(n) + T_solar_lookup + T_select(S) + O(k_S) + T_engine(k_S, q, c)","O(1) fixed / O(n) generalized wrapper; plus per-episode engine memory M_engine","engine term retained explicitly","cannot be collapsed to O(1) without fixing engine strategy","algorithm-specification.md §30","PARAMETERISED"
"REPLAY","classification-and-governance-only replay","O(N · (n + T_solar_lookup))","O(N · (n + T_solar_lookup))","per-decision working memory reusable","Layer 3 not invoked in this mode","N = replay record count; separate variable from per-decision complexity","algorithm-specification.md §30","DERIVED"
"REPLAY","full-pipeline replay","O(N · T_episode)","O(N · T_episode)","per-decision working memory reusable + M_engine","engine invoked once per record","only applicable once Layer 3 is built","algorithm-specification.md §30","PARAMETERISED"
"A3","future optimisation — prevalidated state-indexed rule set","IMPLEMENTATION VARIANT — moves the compliance check to configuration time and removes lines 5–9 from runtime","T_select(S) alone under an O(1) selector","O(1) reference","current specified algorithm always runs the runtime compliance scan; the variant is a future optimisation","requires a distinct implementation realisation","algorithm-specification.md §28","IMPLEMENTATION VARIANT / FUTURE OPTIMISATION"
