"id","item","inherited_from","scope","current_status","implementation_action_this_batch","blocks","do_not_invent"
"OPEN-B1-1","Freshness parameters (age_i for each component classifier)","Algorithm Specification Batch 1","Classifier operational behaviour — how long a reading remains valid","OPEN — unchanged","None. Freshness machinery exists; parameters unspecified. Not needed for Layer 3 contract.","Live deployment configuration","A freshness value"
"OPEN-B1-2","Runtime provenance capture (reasons field)","Algorithm Specification Batch 1","Operational logging — capturing fault/hazard/policy reasons per episode","OPEN — unchanged","None. Provenance reasons are annotations; do not alter governance.","Audit logging implementation","A reason taxonomy"
"OPEN-B1-3","Medium vessel evidence limitation","Algorithm Specification Batch 1","Domain validity — wave height thresholds for medium vessels","OPEN — unchanged","None. Vessel category is a configuration parameter; threshold values are closed upstream.","Deployment validity","An unsourced medium-vessel threshold"
"OPEN-B1-4","Layer 3 prototype / concrete rule contents","Algorithm Specification Batch 1","Implementation — concrete IF-THEN rule antecedents and conclusion payloads","OPEN — superseded by OPEN-L3-1. OPEN-B1-4 is replaced by the more specific OPEN-L3-1.","None.","Full prototype completion","Concrete advisory rule conditions or payloads"
"OPEN-B1-5","Live g_m configuration (marine warning feed)","Algorithm Specification Batch 1","Deployment — data source for m; currently D={m} in replay","OPEN — unchanged","None. D={m} is a replay configuration; live deployment would require a feed. Out of scope for Layer 3 contract.","Live deployment only","A marine warning data source"
"OPEN-B1-6","Latency acceptance threshold (H3 = X ms)","Algorithm Specification Batch 1","Evaluation — RQ-J2 acceptance criterion","OPEN — unchanged. Evaluation-specification.md §11 confirms no externally justified threshold exists.","None. Layer 3 contract design does not require a latency threshold.","E5 / RQ-J2 acceptance-hypothesis form","A latency value"
"OPEN-B1-7","Decision-support utility construct definition","Algorithm Specification Batch 1","Evaluation — RQ5 scope; advisory utility metric","OPEN — unchanged. Out of Journal 1 scope.","None.","Future user study (thesis RQ5)","A utility formula"
"OPEN-B1-8","State/rule-set consistency enforcement mechanism (concurrency primitive)","Algorithm Specification Batch 1 Transition Consistency Repair","Implementation — how consistency is enforced when S transitions","OPEN — interface defined without choosing concurrency primitive. execute_episode() receives one (S; RS(S)) pair; concurrent runtime can pass a frozen repository snapshot without API change.","Interface designed to allow later enforcement without choosing atomic swap/lock/transaction unless runtime requires it.","Production deployment concurrency model","An atomic swap; lock; or transaction primitive"
"OPEN-B3-1","Invalid rule-repository runtime handling","Algorithm Specification Batch 3","Implementation — what Layer 3 does when RS_candidate fails validation","PARTIALLY CLOSED for prototype implementation. EpisodeResult returned with advisories=[]; trace with configuration_failure=True; error=ConfigurationError(structured record). Does not change S; does not create advisory; does not silently continue.","Implementation handling chosen via EpisodeResult contract. Scientific state model unchanged. See layer3-prototype-specification.md §12.","None (implementation handling chosen)","A new safety state or advisory output on invalid repository"
"OPEN-B3-2","Rule engine evaluation strategy","Algorithm Specification Batch 3","Implementation — forward/backward chaining; RETE; agenda priority; salience; first-match; all-match","PARTIALLY CLOSED for prototype. Linear scan: iterate all enabled rules in RS(S); evaluate each condition predicate against decision context; collect fired rules. O(k_S × c). Sufficient to test governance contract (F1/F2/F3). Production strategy remains OPEN.","Linear scan selected for prototype. Documented: closes T_engine = O(k_S; q; c) Batch 4 bound; does not select production chaining strategy; does not affect Safety Dominance (Theorem C.3 holds from rule-set content; not engine strategy).","Production deployment optimisation only","A production engine strategy"
"OPEN-B3-3","Decision-episode implementation boundary","Algorithm Specification Batch 3","Implementation — what constitutes one episode; episode duration; polling interval","PARTIALLY CLOSED for prototype. ReasoningEpisode{state; governance; rule_set; context} defined. One episode = one execute_episode() call. Duration/polling/refresh not specified.","ReasoningEpisode struct defined. Invariant: all four fields from same classification event.","Production scheduling model","An episode duration; polling interval; or refresh frequency"
"OPEN-B4-1","Solar lookup data structure (T_solar_lookup complexity)","Algorithm Specification Batch 4","Algorithm 1 complexity — lookup cost depends on implementation of solar artefact access","OPEN — unchanged. Layer 3 does not modify Algorithm 1 infrastructure.","None. OPEN-B4-1 is not Layer 3 scope.","Algorithm 1 complexity analysis","A solar lookup data structure or complexity value"
"OPEN-L3-1","Concrete Layer 3 advisory rule content requires scientific specification","Batch 1 (new item)","Implementation — concrete condition predicates and conclusion payloads for RS(SAFE) and RS(CAUTION)","OPEN. No authoritative concrete rule antecedents exist in any closed upstream authority document. Layer 2 thresholds do not automatically define Layer 3 advisory rule conditions.","OPEN-L3-1 recorded. Engine contract; interface; and schema are complete. Scientific specification of rule content is required before any concrete rule can be added to the repository.","Full prototype completion and F1–F3 execution (does not block Batch 1 contract-design closure)","A concrete rule such as IF wave < 1.0 AND rain < 10 THEN Go"
"OPEN-L3-2","Rule-condition evaluation failure handling","Batch 1 repair (new item)","Implementation — what the engine does when a condition predicate raises an exception during evaluation","OPEN. A predicate evaluation failure must not be silently reinterpreted as a false predicate (condition==False) without separate justification. Whether the engine aborts the episode; skips the rule; continues evaluating remaining rules; returns partial advisories; or returns an error result is not yet decided.","OPEN-L3-2 introduced. Permitted behaviour until resolved: episode reports evaluation failure; no unsupported advisory emitted from the failed evaluation. The condition-evaluates-to-false assumption removed from layer3-prototype-specification.md §12.","Concrete engine implementation (does not block Batch 1 contract-design closure)","A specific failure policy without authority"
