file,section,line,item_type,metric_name,current_text,expected_canonical,status,action,rationale,continuation_status,edit_references
publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Deployment Challenges and Limitations,504,number,hardware price ceiling,"Four deployment challenges are anticipated in the target context. **Connectivity.** The architecture is designed offline-first: the governance classifier f(E) and reasoning engine RS(S) must operate without real-time API access. Environmental data may be pre-cached or sourced from local sensors. The fail-safe rule — if any component resolves to ⊥, f(E) = UNSAFE — ensures graceful degradation when a data feed is unavailable; the system defaults to the most restrictive governance state rather than failing open. This is a **derived corollary** of operational totality (Theorem C.1b), not a separate pre-condition check: ⊥ classifies UNSAFE and UNSAFE is maximal under the severity order, so the fail-safe follows from the aggregation rule itself. A permanently unavailable data source is treated differently — as a **declared scope exclusion** rather than a continuous fault — because treating it as a fault would classify every hour UNSAFE and make the system unusable. **Hardware constraints.** The target deployment hardware is commodity smartphones or low-cost single-board computers (under USD 50). The O(1) governance layer and O(n) rule engine both execute without GPU or cloud compute, and the storage footprint for RS(SAFE) and RS(CAUTION) is minimal. **Threshold maintenance.** Classification thresholds (g_w, g_o, and others) are anchored to MET Malaysia published criteria. As climate patterns shift or MET Malaysia revises its warning thresholds, the gᵢ definitions and corresponding RS(S) must be recalibrated. Any recalibration must preserve the containment property A_AI(SAFE) ⊃ A_AI(CAUTION) ⊃ A_AI(UNSAFE) = ∅, which is a structural constraint on the recalibration process rather than a property of the thresholds themselves. **Mode-chattering.** At classification boundaries, rapid oscillation of S would in principle produce unstable advisory output, and dual-threshold hysteresis is the standard mitigation: a transition from SAFE to CAUTION requires exceedance of the upper threshold, and the return transition requires recovery below a lower one. **Measured against five years of hourly environmental data at the deployment site, this concern is not borne out.** Of 5,416 state transitions, 95.8% are scheduled clock events at the time-of-day boundaries; only 227 are condition-driven, and genuine A→B→A round trips within three hours number 70 across the whole period — fourteen per year. Adding dual-threshold hysteresis with a 10% return margin reduces condition-driven transitions by 6.2%. Hysteresis is therefore retained as a low-cost precaution rather than a demonstrated necessity. This result is bounded by the hourly resolution of the data: sub-hourly oscillation is invisible to it, and a deployment sampling at minute scale could reach a different conclusion.",No canonical price/requirement artefact located. A dated bill of materials or explicit canonical budget assumption is needed.,UNSUPPORTED,flagged,SC-3 stop: repetitions in the submitted v2.5 paper and supervisor response are not canonical provenance. No replacement value selected.,RESOLVED — Outcome C; parenthesis removed in 8c2e836,"[{""file"": ""publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md"", ""before"": ""Of 5,416 state transitions, 95.8% are scheduled clock events at the time-of-day boundaries; only 227 are condition-driven, and genuine A→B→A round trips within three hours number 70 across the whole period — fourteen per year. Adding dual-threshold hysteresis with a 10% return margin reduces condition-driven transitions by 6.2%."", ""after"": ""Of 3,661 state transitions, 3,439 (93.9%) occur at hourly steps where g_t changes and are classified as scheduled; the remaining 222 are non-scheduled. This coincidence criterion does not establish that time is the sole driver. Genuine non-scheduled A→B→A round trips within three hours number 26 across 2020–2024 — approximately 5.2 per year. Dual-threshold hysteresis with a 10% return margin reduces non-scheduled transitions from 222 to 199 (10.36%)."", ""canonical_source"": ""docs/canonical/report-c8-migration-2026-09-08.md; data/c8/canonical-results-post-migration.txt; data/c5/c5-three-stage-deltas.json"", ""occurrences"": 1}, {""file"": ""publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md"", ""before"": ""if any component resolves to ⊥, f(E) = UNSAFE"", ""after"": ""if any required non-excluded component resolves to ⊥, F_{D,τ} = UNSAFE"", ""canonical_source"": ""docs/canonical/appendix-c-formalisation.md C.1b"", ""occurrences"": 1}, {""file"": ""publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md"", ""before"": ""Classification thresholds (g_w, g_o, and others) are anchored to MET Malaysia published criteria."", ""after"": ""Threshold provenance differs by component: MET wind/warning criteria, JPS/DID and MET rainfall bands, vessel-specific wave evidence and conservative interpolation, and a nighttime architecture policy."", ""canonical_source"": ""docs/canonical/appendix-c-formalisation.md C.2/C.9"", ""occurrences"": 1}]"
publications/active/ipsci-2026/supervisor-feedback-response.md,Point 7 — Expand discussion on deployment challenges and limitations,204,number,hardware price ceiling,**Hardware constraints.** Target deployment: commodity smartphones or low-cost single-board computers (< $50). O(1) governance layer and O(n) rule engine both execute without GPU. Storage footprint for RS(SAFE) and RS(CAUTION) is minimal.,Same unresolved provenance as manuscript-v3.md:504,UNSUPPORTED,flagged,Supporting repetition; does not establish cost or a canonical requirement.,RESOLVED — Outcome C; parenthesis removed in 8c2e836,[]
publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,83,number,abstract headline and prediction outcomes,"*Abstract--- How should AI advisory behaviour adapt as operational conditions deteriorate? Existing governance mechanisms are uniformly binary, meaning that the AI either generates its full recommendation set or is blocked entirely. This paper explores the available literature for the areas of AI governance, runtime assurance, human-AI collaboration, and deployment in low-resource settings, identifying how existing architectures limit the scope of AI advisory as environmental risk increases and providing motivation for a new governance architecture. Mechanistic studies show that there are three limitations: the inference pipeline is structurally fixed, the exploration of reasoning is a property of the decoding procedure and not a content-conditioned adaptation, and self-assessed confidence is unreliable and insensitive to past performance. Large-scale systematic reviews revealed that no architectural tactic demonstrated a formally positive impact on safety, while the most detailed guardrail taxonomy did not include a mechanism for restricting advisory scope based on environmental risk. Binary governance thus leaves intermediate-risk conditions structurally unaddressed: operators in low-resource settings either get full-scope tactical recommendations, or they do not get any. To address this gap, we propose a graduated safety-state-gated architecture, in which a participation gate and an AI advisory gate, both conditioned on the environmental safety state, produce an intermediate caution mode with formally restricted advisory scope. Three properties are proved: totality of the classifier, monotonic contraction of advisory scope, and safety dominance by construction. The architecture is instantiated for small-scale coastal fisheries and its governance layer executed against five years of hourly environmental data for the deployment site. The caution mode binds in 7.7% of departure-window hours for the operative vessel class over the full five-year record, and 6.0% when the wave input is replaced by a higher-resolution model covering a shorter period — conditions under which a binary architecture supplies its full recommendation set and this architecture withholds tactical output. Against the same record, a traffic-light baseline built on the closest structural precedent in the reviewed literature is shown to be output-equivalent to a plain binary gate, diverging from it in 0.00% of hours, which establishes the governance gap as a measurement rather than a claim. Predictions were pre-registered with numeric bounds before each analysis; twenty-two of twenty-four were confirmed and two refuted. Two predictions were additionally re-resolved when threshold provenance audits changed the specification they had been scored against — in one case reversing a refutation into a confirmation, in the other the reverse. Because no incident record exists for the site, the evaluation is a characterisation of governance behaviour and not a validation of classification correctness.*",5.81% / 4.48%; 15 confirmed / 9 refuted; 3 SDR-001 flips and 4 earlier corrections. C-8 §§7–13.,STALE,flagged,Current abstract says 7.7% / 6.0% and 22/2; not corrected because the audit stopped.,CORRECTED — see exact replacements in edit-log.json,"[{""file"": ""publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md"", ""before"": ""The caution mode binds in 7.7% of departure-window hours"", ""after"": ""The caution mode binds in 5.81% of departure-window hours"", ""canonical_source"": ""docs/canonical/report-c8-migration-2026-09-08.md; data/c8/canonical-results-post-migration.txt"", ""occurrences"": 1}, {""file"": ""publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md"", ""before"": ""and 6.0% when the wave input"", ""after"": ""and 4.48% when the wave input"", ""canonical_source"": ""docs/canonical/report-c8-migration-2026-09-08.md; data/c8/canonical-results-post-migration.txt"", ""occurrences"": 1}, {""file"": ""publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md"", ""before"": ""twenty-two of twenty-four were confirmed and two refuted. Two predictions were additionally re-resolved when threshold provenance audits changed the specification they had been scored against — in one case reversing a refutation into a confirmation, in the other the reverse."", ""after"": ""fifteen of twenty-four are confirmed and nine refuted under the canonical specification. Of seven status changes across the migration history, three follow from the time-classifier decision and four had already been refuted by earlier threshold and data corrections; registered predictions and bounds were preserved."", ""canonical_source"": ""docs/canonical/report-c8-migration-2026-09-08.md; data/c8/canonical-results-post-migration.txt"", ""occurrences"": 1}, {""file"": ""publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md"", ""before"": ""a binary architecture supplies its full recommendation set"", ""after"": ""the instantiated binary baseline permits its full recommendation set"", ""canonical_source"": ""docs/canonical/appendix-c-formalisation.md"", ""occurrences"": 1}]"
publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Empirical Characterisation,440,number,"prediction outcomes, Methods","**Method.** Environmental data are drawn from the ERA5 reanalysis archive at the grid cell nearest the deployment site, selected over water rather than land — a distinction that materially affects surface wind and is returned to below. Two configurations are reported throughout, because the wave input proved to be resolution-sensitive and reporting a single figure would conceal that. The **primary** configuration covers the full five years (2020–2024, 43,848 hourly records) with wave height from ERA5-Ocean at approximately 50 km. The **resolution** configuration substitutes the MeteoFrance MFWAM model at approximately 8 km, which is available only from October 2021 and therefore covers 3.25 years (28,501 hours). Neither is presented as the single correct answer: the primary configuration buys record length, the resolution configuration buys spatial fidelity, and the difference between them is itself reported as a result. Predictions were registered before each analysis was run, in machine-comparable form with numeric bounds, so that confirmation or refutation is checked rather than narrated. Twenty-four predictions were registered; twenty-three were confirmed and one refuted.","data/prediction-register.csv: 24 entries, 15 CONFIRMED / 9 REFUTED",STALE,flagged,Known issue A confirmed; remains unedited after stop.,CORRECTED — see exact replacements in edit-log.json,"[{""file"": ""publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md"", ""before"": ""Twenty-four predictions were registered; twenty-three were confirmed and one refuted."", ""after"": ""Twenty-four predictions were registered; fifteen are confirmed and nine refuted under the canonical specification. Re-resolution preserved the registered text, bounds and original scope rather than adjusting predictions to observed results."", ""canonical_source"": ""docs/canonical/report-c8-migration-2026-09-08.md; data/c8/canonical-results-post-migration.txt"", ""occurrences"": 1}]"
publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Domain Instantiation,383,number,prototype hysteresis,"The architecture is being developed as a formally specified prototype for AI departure decision support in small-scale coastal fisheries in Malaysia (Kota Kinabalu, Sabah). *E* = {*w, r, m, o, v, t*} where *w* is wind speed (sustained, knots), *r* is rainfall intensity in mm/hr, *m* is marine warning level, *o* is ocean state (significant wave height), *v* is vessel category by gross registered tonnage and *t* is time of day. Thresholds for *w*, *r* and *m* are anchored to MET Malaysia published warning criteria; the vessel-conditional rows of *g*_o draw on seakeeping analysis of Malaysian hulls and a length-dependent capsizing formula derived from a 23-year Korean accident record. The deployment population operates vessels below 40 GRT, so the small-vessel row of TABLE IIIb is the operative case. The Symbolic AI Reasoning Engine enforces the Safety Dominance Property by construction, satisfying the offline-first and computationally lightweight requirements of the low-resource deployment context. A dual-threshold hysteresis smoothing layer over the discrete state transitions is available at the deployment floor, drawing on the runtime-gating stability of Ghaleb et al. [24], to damp mode-chattering at the classification boundaries of *S* = *f*(*E*). Measured on five years of site data, however, chattering occurs approximately fourteen times per year and hysteresis reduces condition-driven transitions by 6.2%; the layer is retained as a precaution rather than a demonstrated requirement.",C-8 §9: 26 oscillations / 5 yr = 5.2 per year; 10.36% reduction in non-scheduled transitions,STALE,flagged,Prototype still says approximately fourteen per year and 6.2%; known issue B.,CORRECTED — see exact replacements in edit-log.json,"[{""file"": ""publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md"", ""before"": ""chattering occurs approximately fourteen times per year and hysteresis reduces condition-driven transitions by 6.2%"", ""after"": ""26 oscillations occur over 2020–2024 (approximately 5.2 per year) and hysteresis reduces non-scheduled transitions by 10.36%"", ""canonical_source"": ""docs/canonical/report-c8-migration-2026-09-08.md; data/c8/canonical-results-post-migration.txt"", ""occurrences"": 1}, {""file"": ""publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md"", ""before"": ""Thresholds for *w*, *r* and *m* are anchored to MET Malaysia published warning criteria;"", ""after"": ""Wind and marine-warning criteria draw on MET Malaysia; rainfall uses the JPS/DID 10.0 mm/hr lower boundary and the MET 20.0 mm/hr trigger;"", ""canonical_source"": ""docs/canonical/appendix-c-formalisation.md C.2"", ""occurrences"": 1}]"
publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Deployment Challenges and Limitations,504,number,Deployment Challenges transition metrics,"Four deployment challenges are anticipated in the target context. **Connectivity.** The architecture is designed offline-first: the governance classifier f(E) and reasoning engine RS(S) must operate without real-time API access. Environmental data may be pre-cached or sourced from local sensors. The fail-safe rule — if any component resolves to ⊥, f(E) = UNSAFE — ensures graceful degradation when a data feed is unavailable; the system defaults to the most restrictive governance state rather than failing open. This is a **derived corollary** of operational totality (Theorem C.1b), not a separate pre-condition check: ⊥ classifies UNSAFE and UNSAFE is maximal under the severity order, so the fail-safe follows from the aggregation rule itself. A permanently unavailable data source is treated differently — as a **declared scope exclusion** rather than a continuous fault — because treating it as a fault would classify every hour UNSAFE and make the system unusable. **Hardware constraints.** The target deployment hardware is commodity smartphones or low-cost single-board computers (under USD 50). The O(1) governance layer and O(n) rule engine both execute without GPU or cloud compute, and the storage footprint for RS(SAFE) and RS(CAUTION) is minimal. **Threshold maintenance.** Classification thresholds (g_w, g_o, and others) are anchored to MET Malaysia published criteria. As climate patterns shift or MET Malaysia revises its warning thresholds, the gᵢ definitions and corresponding RS(S) must be recalibrated. Any recalibration must preserve the containment property A_AI(SAFE) ⊃ A_AI(CAUTION) ⊃ A_AI(UNSAFE) = ∅, which is a structural constraint on the recalibration process rather than a property of the thresholds themselves. **Mode-chattering.** At classification boundaries, rapid oscillation of S would in principle produce unstable advisory output, and dual-threshold hysteresis is the standard mitigation: a transition from SAFE to CAUTION requires exceedance of the upper threshold, and the return transition requires recovery below a lower one. **Measured against five years of hourly environmental data at the deployment site, this concern is not borne out.** Of 5,416 state transitions, 95.8% are scheduled clock events at the time-of-day boundaries; only 227 are condition-driven, and genuine A→B→A round trips within three hours number 70 across the whole period — fourteen per year. Adding dual-threshold hysteresis with a 10% return margin reduces condition-driven transitions by 6.2%. Hysteresis is therefore retained as a low-cost precaution rather than a demonstrated necessity. This result is bounded by the hourly resolution of the data: sub-hourly oscillation is invisible to it, and a deployment sampling at minute scale could reach a different conclusion.","C-8 §9: 3,661 total, 222 non-scheduled, 26 oscillations, 10.36% reduction",STALE,flagged,"Contains 5,416 / 95.8% / 227 / 70 / fourteen / 6.2%. No global numeric replacement is warranted; 95.8% needs its own metric mapping.",CORRECTED — see exact replacements in edit-log.json,"[{""file"": ""publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md"", ""before"": ""Of 5,416 state transitions, 95.8% are scheduled clock events at the time-of-day boundaries; only 227 are condition-driven, and genuine A→B→A round trips within three hours number 70 across the whole period — fourteen per year. Adding dual-threshold hysteresis with a 10% return margin reduces condition-driven transitions by 6.2%."", ""after"": ""Of 3,661 state transitions, 3,439 (93.9%) occur at hourly steps where g_t changes and are classified as scheduled; the remaining 222 are non-scheduled. This coincidence criterion does not establish that time is the sole driver. Genuine non-scheduled A→B→A round trips within three hours number 26 across 2020–2024 — approximately 5.2 per year. Dual-threshold hysteresis with a 10% return margin reduces non-scheduled transitions from 222 to 199 (10.36%)."", ""canonical_source"": ""docs/canonical/report-c8-migration-2026-09-08.md; data/c8/canonical-results-post-migration.txt; data/c5/c5-three-stage-deltas.json"", ""occurrences"": 1}, {""file"": ""publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md"", ""before"": ""if any component resolves to ⊥, f(E) = UNSAFE"", ""after"": ""if any required non-excluded component resolves to ⊥, F_{D,τ} = UNSAFE"", ""canonical_source"": ""docs/canonical/appendix-c-formalisation.md C.1b"", ""occurrences"": 1}, {""file"": ""publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md"", ""before"": ""Classification thresholds (g_w, g_o, and others) are anchored to MET Malaysia published criteria."", ""after"": ""Threshold provenance differs by component: MET wind/warning criteria, JPS/DID and MET rainfall bands, vessel-specific wave evidence and conservative interpolation, and a nighttime architecture policy."", ""canonical_source"": ""docs/canonical/appendix-c-formalisation.md C.2/C.9"", ""occurrences"": 1}]"
publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Empirical Characterisation,474,number,TABLE VII C0 divergence row,| **C0 ungated** | — | 24.64% | 24.64% | 32.36% |,C-8 output departure PRIMARY: 42.88% / 42.88% / 48.69%,STALE,flagged,24.64% / 24.64% / 32.36% retained in C0 row while reciprocal rows have current values; matrix is asymmetric.,CORRECTED — see exact replacements in edit-log.json,"[{""file"": ""publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md"", ""before"": ""| **C0 ungated** | — | 24.64% | 24.64% | 32.36% |"", ""after"": ""| **C0 ungated** | — | 42.88% | 42.88% | 48.69% |"", ""canonical_source"": ""docs/canonical/report-c8-migration-2026-09-08.md; data/c8/canonical-results-post-migration.txt"", ""occurrences"": 1}]"
publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Empirical Characterisation,470,number,TABLE VII denominator,"**TABLE VII.** Admissible-set divergence between conditions, departure window 05:00–09:00, small vessel, primary configuration (9,133 hours). The resolution configuration gives the same structure with Level 2 at 4.48%.","C-8 output: PRIMARY departure 05:00–09:00 n=9,135",STALE,flagged,"Caption says 9,133; historical F-15 had that denominator. Same window label is not enough to reuse an earlier sample count.",CORRECTED — see exact replacements in edit-log.json,"[{""file"": ""publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md"", ""before"": ""primary configuration (9,133 hours)"", ""after"": ""primary configuration (9,135 hourly records; hours 05:00 through 09:00 inclusive)"", ""canonical_source"": ""docs/canonical/report-c8-migration-2026-09-08.md; data/c8/canonical-results-post-migration.txt"", ""occurrences"": 1}]"
publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Empirical Characterisation,456,number,TABLE VI rainfall binding shares,| *g*_r (rainfall) | 1.55% / 2.99% | 0.19% / 0.24% | Binds |,"Current daylight CAUTION: 1.48% / 2.70%, empirical findings §0a; all-hours shares require separate C-8 mapping",STALE,flagged,Daylight row retains 1.55% / 2.99%. Do not substitute daylight percentages into all-hours columns.,CORRECTED — see exact replacements in edit-log.json,"[{""file"": ""publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md"", ""before"": ""| *g*_r (rainfall) | 1.55% / 2.99% | 0.19% / 0.24% |"", ""after"": ""| *g*_r (rainfall) | 1.48% / 2.70% | 0.20% / 0.26% |"", ""canonical_source"": ""docs/canonical/report-c8-migration-2026-09-08.md; data/c8/canonical-results-post-migration.txt"", ""occurrences"": 1}]"
publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Formal Properties,267,definition,totality theorem statement,"**Theorem 1 (Totality).** *For all E in its domain, f(E) is defined and returns exactly one element of* {SAFE, CAUTION, UNSAFE}.",docs/canonical/appendix-c-formalisation.md C.7 ideal and operational distinction,AMBIGUOUS,flagged,The following proof mixes superseded intervals and ideal/raw-fault treatment; statement and scope require joint review.,CORRECTED — ideal theorem plus explicit operational resolution extension,[]
